,FIPS,JHU_Orig,JHU_Z_T,JHU_Z_L,JHU_N_T,JHU_N_L,NYT_F_Orig,NYT_F_Z_T,NYT_F_Z_L,NYT_F_N_T,NYT_F_N_L,NYT_F_N_L_L,NYT_W_Orig,NYT_W_Z_T,NYT_W_Z_L,NYT_W_N_T,NYT_W_N_L
0.0,1001.0,1.0,2.0,4.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,6.0,2.0,6.0
1.0,1003.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,5.0,2.0,5.0,9.0,1.0,1.0,1.0,1.0,2.0
2.0,1005.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,4.0,2.0,4.0,7.0,1.0,2.0,7.0,2.0,7.0
3.0,1007.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,4.0,2.0,4.0,7.0,1.0,2.0,7.0,2.0,7.0
4.0,1009.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
5.0,1011.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,4.0,2.0,4.0,7.0,1.0,2.0,7.0,2.0,7.0
6.0,1013.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,2.0,5.0,8.0,1.0,1.0,2.0,1.0,1.0
7.0,1015.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,4.0,2.0,4.0,6.0,1.0,2.0,7.0,2.0,7.0
8.0,1017.0,1.0,2.0,4.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,6.0,2.0,6.0
9.0,1019.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
10.0,1021.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,4.0,2.0,4.0,7.0,1.0,2.0,7.0,2.0,7.0
11.0,1023.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0
12.0,1025.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,2.0,5.0,8.0,1.0,1.0,2.0,1.0,1.0
13.0,1027.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,2.0,5.0,8.0,1.0,1.0,2.0,1.0,1.0
14.0,1029.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,4.0,2.0,4.0,7.0,1.0,2.0,7.0,2.0,7.0
15.0,1031.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,4.0,2.0,4.0,6.0,1.0,2.0,7.0,2.0,7.0
16.0,1033.0,1.0,2.0,6.0,2.0,6.0,1.0,2.0,4.0,2.0,4.0,6.0,1.0,2.0,7.0,2.0,7.0
17.0,1035.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
18.0,1037.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,4.0,2.0,4.0,7.0,1.0,2.0,7.0,2.0,7.0
19.0,1039.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,4.0,2.0,4.0,6.0,1.0,2.0,7.0,2.0,7.0
20.0,1041.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,4.0,2.0,4.0,7.0,1.0,2.0,7.0,2.0,7.0
21.0,1043.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,4.0,2.0,4.0,7.0,1.0,2.0,7.0,2.0,7.0
22.0,1045.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
23.0,1047.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,4.0,2.0,4.0,7.0,1.0,2.0,7.0,2.0,7.0
24.0,1049.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,4.0,2.0,4.0,7.0,1.0,2.0,7.0,2.0,7.0
25.0,1051.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,5.0,2.0,5.0,9.0,1.0,1.0,1.0,1.0,2.0
26.0,1053.0,1.0,2.0,6.0,2.0,6.0,1.0,2.0,4.0,2.0,4.0,6.0,1.0,2.0,7.0,2.0,7.0
27.0,1055.0,1.0,2.0,4.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,6.0,2.0,6.0
28.0,1057.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
29.0,1059.0,1.0,2.0,6.0,2.0,6.0,1.0,2.0,4.0,2.0,4.0,6.0,1.0,2.0,7.0,2.0,7.0
30.0,1061.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
31.0,1063.0,1.0,2.0,4.0,2.0,4.0,1.0,2.0,4.0,2.0,4.0,6.0,1.0,2.0,6.0,2.0,6.0
