FIPS,Cluster
1001,5
1003,2
1005,2
1007,5
1009,5
1011,5
1013,5
1015,0
1017,2
1019,0
1021,0
1023,5
1025,0
1027,0
1029,0
1031,2
1033,5
1035,5
1037,0
1039,0
1041,5
1043,5
1045,2
1047,0
1049,0
1051,5
1053,5
1055,0
1057,5
1059,5
1061,0
1063,0
1065,0
1067,2
1069,2
1071,0
1073,5
1075,5
1077,2
1079,0
1081,2
1083,2
1085,5
1087,0
1089,2
1091,0
1093,0
1095,5
1097,2
1099,5
1101,5
1103,0
1105,5
1107,5
1109,5
1111,0
1113,2
1115,5
1117,8
1119,5
1121,0
1123,2
1125,5
1127,0
1129,5
1131,5
1133,5
2013,6
2016,6
2020,6
2050,6
2060,3
2068,3
2070,6
2090,8
2100,6
2105,9
2110,3
2122,9
2130,6
2150,3
2164,3
2170,6
2180,6
2185,6
2188,0
2195,5
2198,9
2220,8
2230,3
2240,5
2261,5
2270,9
2275,5
2282,5
2290,5
4001,2
4003,0
4005,5
4007,5
4009,2
4011,9
4012,2
4013,0
4015,5
4017,0
4019,0
4021,2
4023,2
4025,9
4027,2
5001,2
5003,2
5005,5
5007,5
5009,0
5011,0
5013,9
5015,0
5017,0
5019,9
5021,5
5023,2
5025,0
5027,0
5029,0
5031,0
5033,2
5035,0
5037,2
5039,5
5041,0
5043,0
5045,0
5047,5
5049,9
5051,5
5053,2
5055,5
5057,5
5059,0
5061,0
5063,9
5065,2
5067,2
5069,0
5071,0
5073,2
5075,2
5077,9
5079,2
5081,0
5083,0
5085,9
5087,5
5089,2
5091,9
5093,0
5095,0
5097,0
5099,3
5101,6
5103,8
5105,8
5107,8
5109,8
5111,8
5113,8
5115,6
5117,3
5119,8
5121,5
5123,6
5125,8
5127,3
5129,8
5131,9
5133,9
5135,7
5137,8
5139,6
5141,8
5143,8
5145,2
5147,9
5149,8
6001,6
6003,3
6005,6
6007,6
6009,6
6011,8
6013,8
6015,3
6017,6
6019,8
6021,3
6023,6
6025,2
6027,8
6029,6
6031,6
6033,6
6035,6
6037,9
6039,8
6041,8
6043,8
6045,6
6047,2
6049,8
6051,8
6053,8
6055,8
6057,8
6059,6
6061,8
6063,5
6065,6
