FIPS,Cluster
1001,3
1003,3
1005,3
1007,3
1009,3
1011,3
1013,3
1015,3
1017,3
1019,3
1021,3
1023,3
1025,3
1027,3
1029,3
1031,3
1033,3
1035,3
1037,3
1039,3
1041,3
1043,3
1045,3
1047,3
1049,3
1051,3
1053,3
1055,3
1057,3
1059,3
1061,3
1063,3
1065,3
1067,3
1069,3
1071,3
1073,3
1075,3
1077,3
1079,3
1081,3
1083,3
1085,3
1087,3
1089,3
1091,3
1093,3
1095,3
1097,3
1099,3
1101,3
1103,3
1105,3
1107,3
1109,3
1111,3
1113,3
1115,3
1117,3
1119,3
1121,3
1123,3
1125,3
1127,3
1129,3
1131,3
1133,3
2013,1
2016,1
2020,1
2050,1
2060,1
2068,1
2070,1
2090,1
2100,1
2105,1
2110,1
2122,1
2130,1
2150,1
2164,1
2170,1
2180,1
2185,1
2188,1
2195,1
2198,1
2220,1
2230,1
2240,1
2261,1
2270,1
2275,1
2282,1
2290,1
4001,4
4003,2
4005,4
4007,4
4009,2
4011,2
4012,4
4013,4
4015,4
4017,4
4019,4
4021,4
4023,4
4025,4
4027,4
5001,3
5003,3
5005,3
5007,2
5009,2
5011,3
5013,2
5015,2
5017,3
5019,2
5021,3
5023,3
5025,3
5027,2
5029,2
5031,3
5033,2
5035,3
5037,3
5039,2
5041,3
5043,3
5045,3
5047,2
5049,3
5051,2
5053,3
5055,3
5057,2
5059,2
5061,2
5063,3
5065,3
5067,3
5069,3
5071,2
5073,2
5075,3
5077,3
5079,3
5081,2
5083,2
5085,3
5087,2
5089,2
5091,2
5093,3
5095,3
5097,2
5099,2
5101,2
5103,2
5105,2
5107,3
5109,2
5111,3
5113,2
5115,2
5117,3
5119,3
5121,3
5123,3
5125,2
5127,2
5129,2
5131,2
5133,2
5135,3
5137,3
5139,2
5141,3
5143,2
5145,3
5147,3
5149,2
6001,4
6003,4
6005,4
6007,4
6009,4
6011,4
6013,4
6015,4
6017,4
6019,4
6021,4
6023,4
6025,4
6027,4
6029,4
6031,4
6033,4
6035,4
6037,4
6039,4
6041,4
6043,4
6045,4
6047,4
6049,4
6051,4
6053,4
6055,4
6057,4
6059,4
6061,4
6063,4
6065,4
6067,4
6069,4
6071,4
6073,4
6075,4
6077,4
6079,4
6081,4
6083,4
6085,4
6087,4
6089,4
6091,4
6093,4
6095,4
6097,4
6099,4
6101,4
6103,4
6105,4
6107,4
6109,4
6111,4
6113,4
6115,4
8001,2
8003,2
8005,2
8007,2
8009,2
8011,2
8013,2
8014,2
8015,2
8017,2
8019,2
8021,2
8023,2
8025,2
8027,2
8029,4
8031,2
8033,4
8035,2
8037,2
8039,2
8041,2
8043,2
8045,4
8047,2
8049,2
8051,2
8053,2
8055,2
8057,4
8059,2
8061,2
8063,2
8065,2
8067,2
8069,2
8071,2
8073,2
8075,2
