FIPS,Cluster
1001,2
1003,4
1005,3
1007,2
1009,2
1011,3
1013,5
1015,4
1017,5
1019,5
1021,2
1023,6
1025,3
1027,6
1029,1
1031,2
1033,2
1035,5
1037,6
1039,5
1041,6
1043,2
1045,4
1047,4
1049,3
1051,2
1053,5
1055,2
1057,5
1059,3
1061,2
1063,1
1065,2
1067,2
1069,2
1071,3
1073,2
1075,6
1077,2
1079,4
1081,4
1083,4
1085,4
1087,3
1089,4
1091,5
1093,3
1095,4
1097,2
1099,3
1101,4
1103,4
1105,1
1107,2
1109,3
1111,5
1113,4
1115,2
1117,2
1119,6
1121,4
1123,5
1125,4
1127,2
1129,6
1131,6
1133,3
2013,3
2016,4
2020,4
2050,4
2060,6
2068,3
2070,3
2090,2
2100,4
2105,4
2110,2
2122,2
2130,4
2150,4
2164,4
2170,3
2180,3
2185,5
2188,2
2195,5
2198,5
2220,6
2230,3
2240,5
2261,3
2270,5
2275,3
2282,2
2290,3
4001,5
4003,0
4005,4
4007,2
4009,5
4011,5
4012,5
4013,3
4015,2
4017,5
4019,1
4021,4
4023,2
4025,4
4027,5
5001,5
5003,3
5005,3
5007,6
5009,3
5011,4
5013,3
5015,1
5017,5
5019,5
5021,4
5023,4
5025,5
5027,2
5029,4
5031,6
5033,2
5035,4
5037,5
5039,6
5041,3
5043,1
5045,3
5047,2
5049,5
5051,1
5053,2
5055,5
5057,5
5059,1
5061,4
5063,5
5065,3
5067,2
5069,3
5071,1
5073,4
5075,3
5077,5
5079,1
5081,3
5083,1
5085,2
5087,2
5089,1
5091,3
5093,2
5095,6
5097,3
5099,2
5101,3
5103,5
5105,2
5107,6
5109,4
5111,2
5113,5
5115,5
5117,4
5119,6
5121,2
5123,4
5125,2
5127,3
5129,2
5131,2
5133,4
5135,6
5137,4
5139,0
5141,3
5143,6
5145,4
5147,4
5149,4
6001,0
6003,4
6005,6
6007,4
6009,4
6011,2
6013,2
6015,2
6017,2
6019,2
6021,4
6023,2
6025,0
6027,4
6029,4
6031,2
6033,6
6035,5
6037,2
6039,4
6041,0
6043,0
6045,2
6047,6
6049,2
6051,4
6053,2
6055,0
6057,4
6059,0
6061,6
6063,0
6065,6
6067,1
6069,0
6071,0
6073,0
6075,6
6077,1
6079,2
6081,1
6083,1
6085,6
6087,6
6089,3
6091,2
6093,1
6095,0
6097,3
6099,0
6101,0
6103,4
6105,0
6107,4
6109,6
6111,3
6113,6
6115,6
8001,1
8003,2
8005,1
8007,5
8009,3
8011,4
8013,4
8014,5
8015,6
8017,0
8019,2
8021,6
8023,3
8025,5
8027,2
8029,3
8031,5
8033,6
8035,4
8037,1
8039,6
8041,5
8043,2
8045,1
8047,5
8049,6
8051,1
8053,6
8055,6
8057,1
8059,3
8061,4
8063,1
8065,2
8067,5
8069,2
8071,2
8073,2
8075,2
8077,2
8079,2
8081,4
8083,0
8085,4
8087,2
8089,4
8091,4
8093,4
8095,4
8097,4
8099,5
8101,2
8103,2
8105,3
8107,4
8109,2
8111,2
8113,4
8115,0
8117,5
8119,3
8121,0
8123,2
8125,2
9001,3
9003,4
9005,0
9007,5
9009,0
9011,3
9013,5
9015,2
10001,2
10003,2
10005,0
11001,3
12001,4
12003,3
12005,4
12007,6
12009,2
12011,4
12013,4
12015,5
12017,6
12019,5
12021,4
12023,2
12027,4
12029,2
12031,4
12033,4
12035,2
12037,2
12039,4
12041,4
12043,4
12045,2
12047,2
12049,2
12051,2
12053,4
12055,2
12057,2
12059,4
12061,2
12063,4
12065,5
12067,3
12069,5
12071,2
12073,0
12075,4
12077,3
12079,5
12081,6
12083,5
12085,0
12086,4
12087,1
12089,0
12091,4
12093,3
12095,5
12097,2
12099,3
12101,0
12103,2
12105,2
12107,4
12109,2
12111,2
12113,1
12115,4
12117,5
12119,2
12121,2
12123,5
12125,2
12127,2
12129,3
12131,2
12133,4
13001,6
13003,2
13005,3
13007,2
13009,5
13011,5
13013,2
13015,5
13017,2
13019,2
13021,5
13023,2
13025,4
13027,5
13029,2
13031,3
13033,3
13035,4
13037,2
13039,3
13043,2
13045,0
13047,3
13049,3
13051,3
13053,6
13055,2
13057,2
13059,2
13061,1
13063,2
13065,3
13067,1
13069,4
13071,4
13073,5
13075,6
13077,2
13079,3
13081,4
13083,3
13085,4
13087,4
13089,5
13091,2
13093,2
13095,4
13097,5
13099,4
13101,2
13103,3
13105,5
13107,0
13109,3
13111,2
13113,4
13115,2
13117,3
13119,2
13121,4
13123,4
13125,2
13127,2
13129,3
13131,4
13133,4
13135,3
13137,2
13139,4
13141,4
13143,1
13145,3
13147,4
13149,1
13151,2
13153,4
13155,2
13157,4
13159,2
13161,2
13163,2
13165,4
13167,4
13169,5
13171,2
13173,4
13175,2
13177,3
13179,1
13181,6
13183,5
13185,4
13187,2
13189,6
13191,3
13193,5
13195,2
13197,5
13199,6
13201,3
13205,1
13207,1
13209,3
13211,1
13213,3
13215,2
13217,2
13219,5
13221,5
13223,6
13225,5
13227,4
13229,5
13231,4
13233,6
13235,5
13237,4
13239,2
13241,5
13243,1
13245,6
13247,3
13249,6
13251,1
13253,3
13255,4
13257,1
13259,5
13261,1
13263,2
13265,2
13267,6
13269,4
13271,6
13273,5
13275,2
13277,6
13279,4
13281,6
13283,2
13285,5
13287,2
13289,1
13291,2
13293,3
13295,5
13297,1
13299,3
13301,1
13303,5
13305,2
13307,3
13309,2
13311,0
13313,3
13315,2
13317,5
13319,4
13321,4
15001,6
15003,1
15005,1
15007,5
15009,5
16001,2
16003,1
16005,2
16007,5
16009,5
16011,3
16013,6
16015,5
16017,6
16019,5
16021,5
16023,4
16025,4
16027,4
16029,5
16031,5
16033,2
16035,5
16037,3
16039,4
16041,5
16043,3
16045,3
16047,2
16049,3
16051,2
16053,3
16055,1
16057,4
16059,2
16061,3
16063,2
16065,3
16067,1
16069,5
16071,5
16073,2
16075,2
16077,5
16079,1
16081,5
16083,2
16085,5
16087,5
17001,1
17003,1
17005,0
17007,5
17009,4
17011,5
17013,5
17015,2
17017,0
17019,6
17021,2
17023,2
17025,2
17027,2
17029,2
17031,2
17033,3
17035,5
17037,2
17039,5
17041,3
17043,2
17045,2
17047,4
17049,2
17051,2
17053,2
17055,4
17057,5
17059,6
17061,2
17063,2
17065,2
17067,5
17069,2
17071,3
17073,2
17075,2
17077,3
17079,2
17081,5
17083,6
17085,6
17087,6
17089,3
17091,5
17093,2
17095,2
17097,3
17099,4
17101,3
17103,1
17105,5
17107,2
17109,4
17111,4
17113,3
17115,2
17117,3
17119,3
17121,5
17123,5
17125,3
17127,4
17129,2
17131,4
17133,4
17135,4
17137,3
17139,2
17141,4
17143,2
17145,3
17147,0
17149,4
17151,4
17153,4
17155,2
17157,4
17159,3
17161,1
17163,5
17165,4
17167,3
17169,4
17171,4
17173,3
17175,4
17177,5
17179,2
17181,3
17183,5
17185,3
17187,3
17189,4
17191,5
17193,2
17195,2
17197,4
17199,2
17201,2
17203,4
18001,3
18003,4
18005,2
18007,3
18009,3
18011,3
18013,2
18015,3
18017,4
18019,3
18021,2
18023,2
18025,5
18027,2
18029,2
18031,3
18033,3
18035,3
18037,4
18039,3
18041,2
18043,2
18045,3
18047,4
18049,3
18051,4
18053,3
18055,3
18057,1
18059,4
18061,4
18063,3
18065,2
18067,3
18069,5
18071,5
18073,2
18075,4
18077,4
18079,1
18081,5
18083,3
18085,4
18087,6
18089,4
18091,5
18093,2
18095,2
18097,4
18099,2
18101,3
18103,1
18105,2
18107,4
18109,5
18111,4
18113,3
18115,4
18117,1
18119,6
18121,5
18123,5
18125,1
18127,2
18129,4
18131,5
18133,2
18135,5
18137,3
18139,1
18141,1
18143,5
18145,5
18147,5
18149,5
18151,3
18153,3
18155,3
18157,5
18159,1
18161,4
18163,3
18165,2
18167,1
18169,1
18171,3
18173,3
18175,6
18177,2
18179,5
18181,5
18183,3
19001,5
19003,6
19005,5
19007,2
19009,2
19011,5
19013,3
19015,5
19017,2
19019,3
19021,5
19023,3
19025,6
19027,3
19029,5
19031,5
19033,5
19035,4
19037,2
19039,1
19041,5
19043,3
19045,2
19047,6
19049,5
19051,1
19053,2
19055,5
19057,3
19059,4
19061,4
19063,3
19065,5
19067,3
19069,5
19071,4
19073,5
19075,5
19077,5
19079,5
19081,4
19083,1
19085,2
19087,2
19089,5
19091,1
19093,1
19095,2
19097,5
19099,3
19101,4
19103,5
19105,1
19107,3
19109,1
19111,3
19113,2
19115,2
19117,1
19119,5
19121,5
19123,5
19125,2
19127,1
19129,5
19131,3
19133,5
19135,3
19137,1
19139,3
19141,5
19143,5
19145,2
19147,1
19149,1
19151,3
19153,1
19155,1
19157,5
19159,5
19161,5
19163,1
19165,4
19167,2
19169,1
19171,5
19173,2
19175,4
19177,1
19179,1
19181,3
19183,5
19185,3
19187,3
19189,5
19191,3
19193,1
19195,1
19197,3
20001,1
20003,1
20005,3
20007,1
20009,1
20011,2
20013,1
20015,1
20017,2
20019,2
20021,1
20023,2
20025,1
20027,4
20029,1
20031,5
20033,1
20035,4
20037,1
20039,2
20041,1
20043,4
20045,3
20047,5
20049,5
20051,1
20053,2
20055,5
20057,3
20059,1
20061,1
20063,3
20065,5
20067,1
20069,5
20071,2
20073,1
20075,1
20077,3
20079,5
20081,2
20083,3
20085,1
20087,2
20089,1
20091,5
20093,4
20095,1
20097,1
20099,3
20101,5
20103,5
20105,4
20107,3
20109,4
20111,1
20113,5
20115,1
20117,1
20119,1
20121,5
20123,2
20125,5
20127,1
20129,2
20131,1
20133,1
20135,1
20137,3
20139,1
20141,2
20143,5
20145,2
20147,3
20149,6
20151,3
20153,1
20155,3
20157,2
20159,4
20161,2
20163,5
20165,4
20167,3
20169,1
20171,2
20173,4
20175,5
20177,6
20179,4
20181,1
20183,3
20185,5
20187,1
20189,2
20191,2
20193,3
20195,6
20197,5
20199,1
20201,2
20203,4
20205,6
20207,5
20209,4
21001,5
21003,3
21005,4
21007,1
21009,4
21011,5
21013,2
21015,5
21017,5
21019,1
21021,2
21023,0
21025,4
21027,3
21029,3
21031,6
21033,4
21035,2
21037,1
21039,5
21041,1
21043,2
21045,2
21047,5
21049,2
21051,1
21053,5
21055,2
21057,5
21059,5
21061,1
21063,1
21065,1
21067,1
21069,5
21071,1
21073,3
21075,6
21077,5
21079,6
21081,2
21083,4
21085,1
21087,3
21089,3
21091,1
21093,5
21095,2
21097,6
21099,3
21101,6
21103,1
21105,3
21107,6
21109,3
21111,3
21113,1
21115,3
21117,2
21119,1
21121,1
21123,2
21125,3
21127,3
21129,5
21131,5
21133,6
21135,5
21137,3
21139,6
21141,4
21143,4
21145,3
21147,2
21149,5
21151,1
21153,4
21155,2
21157,3
21159,2
21161,6
21163,3
21165,1
21167,5
21169,1
21171,2
21173,2
21175,3
21177,2
21179,3
21181,5
21183,5
21185,3
21187,2
21189,2
21191,2
21193,1
21195,2
21197,1
21199,3
21201,5
21203,4
21205,4
21207,5
21209,4
21211,5
21213,5
21215,4
21217,4
21219,4
21221,5
21223,2
21225,5
21227,4
21229,2
21231,3
21233,4
21235,2
21237,5
21239,5
22001,3
22003,4
22005,2
22007,2
22009,2
22011,2
22013,1
22015,5
22017,5
22019,2
22021,4
22023,2
22025,4
22027,4
22029,2
22031,4
22033,3
22035,2
22037,2
22039,1
22041,2
22043,4
22045,4
22047,3
22049,3
22051,2
22053,2
22055,1
22057,0
22059,5
22061,2
22063,5
22065,4
22067,3
22069,3
22071,4
22073,6
22075,6
22077,3
22079,2
22081,6
22083,4
22085,5
22087,3
22089,5
22091,4
22093,4
22095,4
22097,2
22099,4
22101,5
22103,2
22105,2
22107,2
22109,5
22111,2
