FIPS,Cluster
1001,5
1003,5
1005,5
1007,5
1009,5
1011,5
1013,5
1015,5
1017,5
1019,5
1021,5
1023,5
1025,5
1027,5
1029,5
1031,5
1033,5
1035,5
1037,5
1039,5
1041,5
1043,5
1045,5
1047,5
1049,5
1051,5
1053,5
1055,5
1057,5
1059,5
1061,5
1063,5
1065,5
1067,5
1069,5
1071,5
1073,5
1075,5
1077,5
1079,5
1081,5
1083,5
1085,5
1087,5
1089,5
1091,5
1093,5
1095,5
1097,5
1099,5
1101,5
1103,5
1105,5
1107,5
1109,5
1111,5
1113,5
1115,5
1117,5
1119,5
1121,5
1123,5
1125,5
1127,5
1129,5
1131,5
1133,5
2013,4
2016,4
2020,4
2050,4
2060,4
2068,4
2070,4
2090,4
2100,4
2105,4
2110,4
2122,4
2130,4
2150,4
2164,4
2170,4
2180,4
2185,4
2188,4
2195,4
2198,4
2220,4
2230,4
2240,4
2261,4
2270,4
2275,4
2282,4
2290,4
4001,1
4003,1
4005,1
4007,1
4009,1
4011,1
4012,1
4013,1
4015,1
4017,1
4019,1
4021,1
4023,1
4025,1
4027,1
5001,6
5003,6
5005,6
5007,6
5009,6
5011,6
5013,6
5015,6
5017,6
5019,6
5021,0
5023,6
5025,6
5027,6
5029,6
5031,0
5033,6
5035,5
5037,0
5039,6
5041,6
5043,6
5045,6
5047,6
5049,0
5051,6
5053,6
5055,0
5057,6
5059,6
5061,6
5063,6
5065,6
5067,6
5069,6
5071,6
5073,6
5075,0
5077,6
5079,6
5081,6
5083,6
5085,6
5087,6
5089,6
5091,6
5093,5
5095,6
5097,6
5099,6
5101,6
5103,6
5105,6
5107,6
5109,6
5111,0
5113,6
5115,6
5117,6
5119,6
5121,0
5123,5
5125,6
5127,6
5129,6
5131,6
5133,6
5135,0
5137,6
5139,6
5141,6
5143,6
5145,6
5147,6
5149,6
6001,1
6003,1
6005,1
6007,1
6009,1
6011,1
6013,1
6015,1
6017,1
6019,1
6021,1
6023,1
6025,1
6027,1
6029,1
6031,1
6033,1
6035,1
6037,1
6039,1
6041,1
6043,1
6045,1
6047,1
6049,1
6051,1
6053,1
6055,1
6057,1
6059,1
6061,1
6063,1
6065,1
6067,1
6069,1
6071,1
6073,1
6075,1
6077,1
6079,1
6081,1
6083,1
6085,1
6087,1
6089,1
6091,1
6093,1
6095,1
6097,1
6099,1
6101,1
6103,1
6105,1
6107,1
6109,1
6111,1
6113,1
6115,1
8001,3
8003,3
8005,3
8007,3
8009,3
8011,3
8013,3
8014,3
8015,3
8017,3
8019,3
8021,3
8023,3
8025,3
8027,3
8029,3
8031,3
8033,3
8035,3
8037,3
8039,3
8041,3
8043,3
8045,3
8047,3
8049,3
8051,3
8053,3
8055,3
8057,3
8059,3
8061,3
8063,3
8065,3
8067,3
8069,3
8071,3
8073,3
8075,3
8077,3
8079,3
8081,3
8083,3
8085,3
8087,3
8089,3
8091,3
8093,3
8095,3
8097,3
8099,3
8101,3
8103,3
8105,3
8107,3
8109,3
8111,3
8113,3
8115,3
8117,3
8119,3
8121,3
8123,3
8125,3
9001,2
9003,2
9005,2
9007,2
9009,2
9011,2
9013,2
9015,2
10001,2
10003,2
10005,2
11001,2
12001,5
12003,5
12005,5
12007,5
12009,5
12011,5
12013,5
12015,5
12017,5
12019,5
12021,5
12023,5
12027,5
12029,5
12031,5
12033,5
12035,5
12037,5
12039,5
12041,5
12043,5
12045,5
12047,5
12049,5
12051,5
12053,5
12055,5
12057,5
12059,5
12061,5
12063,5
