FIPS,Cluster
1001,2
1003,1
1005,5
1007,2
1009,2
1011,5
1013,0
1015,1
1017,0
1019,0
1021,2
1023,6
1025,5
1027,6
1029,6
1031,2
1033,2
1035,0
1037,4
1039,0
1041,4
1043,2
1045,1
1047,1
1049,5
1051,2
1053,0
1055,2
1057,0
1059,5
1061,2
1063,6
1065,2
1067,2
1069,2
1071,5
1073,2
1075,4
1077,2
1079,1
1081,1
1083,1
1085,1
1087,5
1089,1
1091,0
1093,5
1095,1
1097,2
1099,5
1101,1
1103,1
1105,6
1107,2
1109,5
1111,0
1113,1
1115,2
1117,2
1119,4
1121,1
1123,0
1125,1
1127,2
1129,5
1131,6
1133,5
2013,5
2016,1
2020,1
2050,1
2060,4
2068,5
2070,4
2090,2
2100,1
2105,1
2110,2
2122,2
2130,1
2150,1
2164,1
2170,5
2180,5
2185,0
2188,2
2195,0
2198,0
2220,4
2230,5
2240,0
2261,4
2270,0
2275,4
2282,2
2290,5
4001,0
4003,3
4005,1
4007,2
4009,0
4011,0
4012,0
4013,5
4015,2
4017,0
4019,6
4021,1
4023,2
4025,1
4027,0
5001,0
5003,5
5005,5
5007,4
5009,5
5011,1
5013,5
5015,6
5017,0
5019,0
5021,1
5023,1
5025,0
5027,2
5029,1
5031,4
5033,2
5035,1
5037,0
5039,4
5041,5
5043,6
5045,4
5047,2
5049,0
5051,6
5053,2
5055,0
5057,0
5059,6
5061,1
5063,0
5065,5
5067,2
5069,5
5071,6
5073,1
5075,5
5077,0
5079,6
5081,5
5083,6
5085,2
5087,2
5089,6
5091,5
5093,2
5095,4
5097,4
5099,2
5101,4
5103,0
5105,2
5107,4
5109,1
5111,2
5113,0
5115,0
5117,1
5119,4
5121,2
5123,1
5125,2
5127,5
5129,2
5131,2
5133,1
5135,4
5137,1
5139,3
5141,5
5143,4
5145,1
5147,1
5149,1
6001,3
6003,1
6005,4
6007,1
6009,1
6011,2
6013,2
6015,2
6017,2
6019,2
6021,1
6023,2
6025,3
6027,1
6029,3
6031,2
6033,4
6035,0
6037,2
6039,1
6041,3
6043,2
6045,2
6047,4
6049,2
6051,1
6053,2
6055,3
6057,1
6059,3
6061,4
6063,3
6065,4
6067,6
6069,3
6071,3
6073,3
6075,4
6077,6
6079,2
6081,6
6083,6
6085,4
6087,4
6089,5
6091,2
6093,6
6095,3
6097,5
6099,2
6101,3
6103,1
6105,3
6107,1
6109,4
6111,5
6113,4
6115,4
8001,6
8003,2
8005,6
8007,0
8009,5
8011,1
8013,1
8014,0
8015,4
8017,3
8019,2
8021,4
8023,5
8025,0
8027,2
8029,5
8031,0
8033,4
8035,1
8037,6
8039,4
8041,0
8043,2
8045,6
8047,0
8049,4
8051,6
8053,4
8055,4
8057,6
8059,5
8061,1
8063,6
8065,2
8067,0
8069,2
8071,2
8073,2
8075,2
8077,2
8079,2
8081,1
8083,3
8085,1
8087,2
8089,1
8091,1
8093,1
8095,1
8097,1
8099,0
8101,2
8103,2
8105,5
8107,1
8109,2
8111,2
8113,1
8115,3
8117,0
8119,5
8121,3
8123,2
8125,2
9001,5
9003,1
9005,3
9007,0
9009,3
9011,5
9013,0
9015,2
10001,2
10003,2
10005,3
11001,5
12001,1
12003,5
12005,1
12007,4
12009,2
12011,1
12013,1
12015,0
12017,4
12019,0
12021,1
12023,2
12027,1
12029,2
12031,1
12033,1
12035,2
12037,2
12039,1
12041,1
12043,1
12045,2
12047,2
12049,2
12051,2
12053,1
12055,2
12057,2
12059,1
12061,2
12063,1
12065,0
12067,5
12069,0
12071,2
12073,3
12075,1
12077,5
12079,0
12081,4
12083,0
12085,3
12086,1
12087,6
12089,3
12091,1
12093,5
12095,0
12097,2
12099,5
12101,3
12103,2
12105,2
12107,1
12109,2
12111,2
12113,6
12115,1
12117,0
12119,2
12121,2
12123,0
12125,2
12127,2
12129,5
12131,2
12133,1
13001,4
13003,2
13005,5
13007,2
13009,0
13011,0
13013,2
13015,0
13017,2
13019,2
13021,0
13023,2
13025,1
13027,0
13029,2
13031,5
13033,5
13035,1
13037,2
13039,5
13043,2
13045,3
13047,5
13049,5
13051,5
13053,4
13055,2
13057,2
13059,2
13061,6
13063,2
13065,4
13067,6
13069,1
13071,1
13073,0
13075,4
13077,2
13079,5
13081,1
13083,5
13085,1
13087,1
13089,0
13091,2
13093,2
13095,1
13097,0
13099,1
13101,2
13103,5
13105,0
13107,3
13109,4
13111,2
13113,1
13115,2
13117,5
13119,2
13121,1
13123,1
13125,2
13127,2
13129,5
13131,1
13133,1
13135,5
13137,2
13139,1
13141,1
13143,6
13145,5
13147,1
13149,6
13151,2
13153,1
13155,2
13157,1
13159,2
13161,2
13163,2
13165,1
13167,1
13169,0
13171,2
13173,1
13175,2
13177,4
13179,6
13181,4
13183,0
13185,1
13187,2
13189,5
13191,5
13193,0
13195,2
13197,0
13199,4
13201,5
13205,6
13207,6
13209,5
13211,6
13213,5
13215,2
13217,2
13219,0
13221,0
13223,4
13225,0
13227,1
13229,0
13231,1
13233,4
13235,0
13237,1
13239,2
13241,0
13243,6
13245,4
13247,5
13249,4
13251,6
13253,4
13255,1
13257,6
13259,0
13261,6
13263,2
13265,2
13267,4
13269,1
13271,4
13273,0
13275,2
13277,4
13279,1
13281,4
13283,2
13285,0
13287,2
13289,6
13291,2
13293,5
13295,0
13297,6
13299,5
13301,6
13303,0
13305,2
13307,5
13309,2
13311,3
13313,5
13315,2
13317,0
13319,1
13321,1
15001,4
15003,6
15005,6
15007,0
15009,0
16001,2
16003,6
16005,2
16007,0
16009,0
16011,5
16013,4
16015,0
16017,4
16019,0
16021,0
16023,1
16025,1
16027,1
16029,0
16031,0
16033,2
16035,0
16037,5
16039,1
16041,0
16043,5
16045,5
16047,2
16049,5
16051,2
16053,5
16055,6
16057,1
16059,2
16061,5
16063,2
