FIPS,Cluster
1001,1
1003,1
1005,1
1007,1
1009,1
1011,1
1013,1
1015,1
1017,1
1019,1
1021,1
1023,1
1025,1
1027,1
1029,1
1031,1
1033,1
1035,1
1037,1
1039,1
1041,1
1043,1
1045,1
1047,1
1049,1
1051,1
1053,1
1055,1
1057,1
1059,1
1061,1
1063,1
1065,1
1067,1
1069,1
1071,1
1073,1
1075,1
1077,1
1079,1
1081,1
1083,1
1085,1
1087,1
1089,1
1091,1
1093,1
1095,1
1097,1
1099,1
1101,1
1103,1
1105,1
1107,1
1109,1
1111,1
1113,1
1115,1
1117,1
1119,1
1121,1
1123,1
1125,1
1127,1
1129,1
1131,1
1133,1
2013,3
2016,3
2020,3
2050,3
2060,3
2068,3
2070,3
2090,3
2100,3
2105,3
2110,3
2122,3
2130,3
2150,3
2164,3
2170,3
2180,3
2185,3
2188,3
2195,3
2198,3
2220,3
2230,3
2240,3
2261,3
2270,3
2275,3
2282,3
2290,3
4001,6
4003,6
4005,6
4007,6
4009,6
4011,6
4012,6
4013,6
4015,6
4017,6
4019,6
4021,6
4023,6
4025,6
4027,6
5001,0
5003,0
5005,0
5007,0
5009,0
5011,0
5013,0
5015,0
5017,0
5019,0
5021,4
5023,0
5025,0
5027,0
5029,0
5031,4
5033,0
5035,1
5037,4
5039,0
5041,0
5043,0
5045,0
5047,0
5049,4
5051,0
5053,0
5055,4
5057,0
5059,0
5061,0
5063,4
5065,4
5067,4
5069,0
5071,0
5073,0
5075,4
5077,1
5079,0
5081,0
5083,0
5085,0
5087,0
5089,0
5091,0
5093,1
5095,0
5097,0
5099,0
5101,0
5103,0
5105,0
5107,1
5109,0
5111,4
5113,0
5115,0
5117,0
5119,0
5121,4
5123,1
5125,0
5127,0
5129,0
5131,0
5133,0
5135,4
5137,0
5139,0
5141,0
5143,0
5145,0
5147,0
5149,0
6001,6
6003,6
6005,6
6007,6
6009,6
6011,6
6013,6
6015,6
6017,6
6019,6
6021,6
6023,6
6025,6
6027,6
6029,6
6031,6
6033,6
6035,6
6037,6
6039,6
6041,6
6043,6
6045,6
6047,6
6049,6
6051,6
6053,6
6055,6
6057,6
6059,6
6061,6
6063,6
6065,6
6067,6
6069,6
6071,6
6073,6
6075,6
6077,6
6079,6
6081,6
6083,6
6085,6
6087,6
6089,6
6091,6
6093,6
6095,6
6097,6
6099,6
6101,6
6103,6
6105,6
6107,6
6109,6
6111,6
6113,6
6115,6
8001,5
8003,5
8005,5
8007,5
8009,5
8011,5
8013,5
8014,5
8015,5
8017,5
8019,5
8021,5
8023,5
8025,5
8027,5
8029,5
8031,5
8033,6
8035,5
8037,5
8039,5
8041,5
8043,5
8045,5
8047,5
8049,5
8051,5
8053,5
8055,5
8057,5
8059,5
8061,5
8063,5
8065,5
8067,5
8069,5
8071,5
8073,5
8075,5
8077,6
8079,5
8081,5
8083,6
8085,5
8087,5
8089,5
8091,5
8093,5
8095,5
8097,5
8099,5
8101,5
8103,5
8105,5
8107,5
8109,5
8111,5
8113,5
8115,5
8117,5
8119,5
8121,5
8123,5
8125,5
9001,2
9003,2
9005,2
9007,2
9009,2
9011,2
9013,2
9015,2
10001,2
10003,2
10005,2
11001,2
12001,1
12003,1
12005,1
12007,1
12009,1
12011,1
12013,1
12015,1
12017,1
12019,1
12021,1
12023,1
12027,1
12029,1
12031,1
12033,1
12035,1
12037,1
12039,1
12041,1
12043,1
12045,1
12047,1
12049,1
12051,1
12053,1
12055,1
12057,1
12059,1
12061,1
12063,1
12065,1
12067,1
12069,1
12071,1
12073,1
12075,1
12077,1
12079,1
12081,1
12083,1
12085,1
12086,1
12087,1
12089,1
12091,1
12093,1
12095,1
12097,1
12099,1
12101,1
12103,1
12105,1
12107,1
12109,1
12111,1
12113,1
12115,1
12117,1
12119,1
12121,1
12123,1
12125,1
12127,1
12129,1
12131,1
12133,1
13001,1
13003,1
13005,1
13007,1
13009,1
13011,1
13013,1
13015,1
13017,1
13019,1
13021,1
13023,1
13025,1
13027,1
13029,1
13031,1
13033,1
13035,1
13037,1
13039,1
13043,1
13045,1
13047,1
13049,1
13051,1
13053,1
13055,1
13057,1
13059,1
13061,1
13063,1
13065,1
13067,1
13069,1
13071,1
13073,1
13075,1
13077,1
13079,1
13081,1
13083,1
13085,1
13087,1
13089,1
13091,1
13093,1
13095,1
13097,1
13099,1
13101,1
13103,1
13105,1
13107,1
13109,1
13111,1
13113,1
13115,1
13117,1
13119,1
13121,1
13123,1
13125,1
13127,1
13129,1
13131,1
13133,1
13135,1
13137,1
13139,1
13141,1
13143,1
13145,1
13147,1
13149,1
13151,1
13153,1
13155,1
13157,1
13159,1
13161,1
13163,1
13165,1
13167,1
13169,1
13171,1
13173,1
13175,1
13177,1
13179,1
13181,1
13183,1
13185,1
13187,1
13189,1
13191,1
13193,1
13195,1
13197,1
13199,1
13201,1
13205,1
13207,1
13209,1
13211,1
13213,1
13215,1
13217,1
13219,1
13221,1
13223,1
13225,1
13227,1
13229,1
13231,1
13233,1
13235,1
13237,1
13239,1
13241,1
13243,1
13245,1
13247,1
13249,1
13251,1
13253,1
13255,1
13257,1
13259,1
13261,1
13263,1
13265,1
13267,1
13269,1
13271,1
13273,1
13275,1
13277,1
13279,1
13281,1
13283,1
13285,1
13287,1
13289,1
13291,1
13293,1
13295,1
13297,1
13299,1
13301,1
13303,1
13305,1
13307,1
13309,1
13311,1
13313,1
13315,1
13317,1
13319,1
13321,1
15001,3
15003,3
15005,3
15007,3
15009,3
16001,6
16003,6
16005,6
16007,6
16009,6
16011,6
16013,6
16015,6
16017,6
16019,6
16021,6
16023,6
16025,6
16027,6
16029,6
16031,6
16033,6
16035,6
16037,6
16039,6
16041,6
16043,6
16045,6
16047,6
16049,6
16051,6
16053,6
16055,6
16057,6
16059,6
16061,6
16063,6
16065,6
16067,6
16069,6
16071,6
