FIPS,Cluster
1001,2
1003,2
1005,2
1007,2
1009,2
1011,2
1013,2
1015,2
1017,2
1019,2
1021,2
1023,2
1025,2
1027,2
1029,2
1031,2
1033,2
1035,2
1037,2
1039,2
1041,2
1043,2
1045,2
1047,2
1049,2
1051,2
1053,2
1055,2
1057,2
1059,2
1061,2
1063,2
1065,2
1067,2
1069,2
1071,2
1073,2
1075,2
1077,2
1079,2
1081,2
1083,2
1085,2
1087,2
1089,2
1091,2
1093,2
1095,2
1097,2
1099,2
1101,2
1103,2
1105,2
1107,2
1109,2
1111,2
1113,2
1115,2
1117,2
1119,2
1121,2
1123,2
1125,2
1127,2
1129,2
1131,2
1133,2
2013,3
2016,3
2020,3
2050,3
2060,3
2068,3
2070,3
2090,3
2100,3
2105,3
2110,3
2122,3
2130,3
2150,3
2164,3
2170,3
2180,3
2185,3
2188,3
2195,3
2198,3
2220,3
2230,3
2240,3
2261,3
2270,3
2275,3
2282,3
2290,3
4001,6
4003,6
4005,6
4007,6
4009,6
4011,6
4012,6
4013,6
4015,6
4017,6
4019,6
4021,6
4023,6
4025,6
4027,6
5001,4
5003,4
5005,4
5007,4
5009,4
5011,4
5013,4
5015,4
5017,4
5019,4
5021,1
5023,4
5025,4
5027,4
5029,4
5031,1
5033,4
5035,2
5037,1
5039,4
5041,4
5043,4
5045,4
5047,4
5049,1
5051,4
5053,4
5055,1
5057,4
5059,4
5061,4
5063,4
5065,4
5067,1
5069,4
5071,4
5073,4
5075,1
5077,2
5079,4
5081,4
5083,4
5085,4
5087,4
5089,4
5091,4
5093,2
5095,4
5097,4
5099,4
5101,4
5103,4
5105,4
5107,2
5109,4
5111,1
5113,4
5115,4
5117,4
5119,4
5121,1
5123,2
5125,4
5127,4
5129,4
5131,4
5133,4
5135,1
5137,4
5139,4
5141,4
5143,4
5145,4
5147,4
5149,4
6001,6
6003,6
6005,6
6007,6
6009,6
6011,6
6013,6
6015,6
6017,6
6019,6
6021,6
6023,6
6025,6
6027,6
6029,6
6031,6
6033,6
6035,6
6037,6
6039,6
6041,6
6043,6
6045,6
6047,6
6049,6
6051,6
6053,6
6055,6
6057,6
6059,6
