FIPS,Cluster
1001,6
1003,1
1005,0
1007,2
1009,1
1011,5
1013,0
1015,6
1017,7
1019,2
1021,2
1023,0
1025,0
1027,2
1029,2
1031,1
1033,6
1035,0
1037,0
1039,2
1041,2
1043,1
1045,1
1047,5
1049,2
1051,1
1053,0
1055,2
1057,2
1059,2
1061,2
1063,5
1065,5
1067,2
1069,6
1071,2
1073,7
1075,2
1077,2
1079,2
1081,6
1083,6
1085,5
1087,5
1089,6
1091,7
1093,2
1095,1
1097,7
1099,0
1101,5
1103,1
1105,5
1107,0
1109,0
1111,2
1113,7
1115,1
1117,4
1119,5
1121,0
1123,2
1125,6
1127,1
1129,0
1131,5
1133,2
2013,0
2016,7
2020,5
2050,5
2060,6
2068,5
2070,0
2090,6
2100,0
2105,0
2110,7
2122,1
2130,0
2150,7
2164,0
2170,5
2180,0
2185,7
2188,6
2195,6
2198,2
2220,0
2230,2
2240,0
2261,6
2270,0
2275,7
2282,7
2290,2
4001,2
4003,2
4005,6
4007,0
4009,0
4011,2
4012,7
4013,0
4015,7
4017,7
4019,0
4021,6
4023,1
4025,2
4027,0
5001,2
5003,2
5005,6
5007,0
5009,0
5011,2
5013,2
5015,0
5017,5
5019,0
5021,0
5023,2
5025,7
5027,6
5029,2
5031,2
5033,2
5035,2
5037,2
5039,2
5041,7
5043,7
5045,2
5047,0
5049,2
5051,7
5053,2
5055,5
5057,2
5059,2
5061,1
5063,2
5065,2
5067,7
5069,2
5071,7
5073,6
5075,2
5077,2
5079,0
5081,2
5083,2
5085,2
5087,0
5089,2
5091,7
5093,4
5095,7
5097,1
5099,5
5101,5
5103,0
5105,3
5107,0
5109,4
5111,5
5113,0
5115,7
5117,0
5119,6
5121,5
5123,5
5125,7
5127,7
5129,7
5131,7
5133,4
5135,5
5137,7
5139,5
5141,0
5143,5
5145,3
5147,4
5149,7
6001,3
6003,3
6005,7
6007,7
6009,6
6011,4
6013,7
6015,3
6017,3
6019,7
6021,3
6023,3
6025,3
6027,3
6029,3
6031,5
6033,5
6035,5
6037,4
6039,4
6041,6
6043,5
6045,5
6047,7
6049,0
6051,6
6053,3
6055,7
6057,6
6059,3
6061,5
6063,4
6065,7
6067,7
6069,7
6071,4
6073,4
6075,6
6077,5
6079,3
6081,7
6083,2
6085,7
6087,7
6089,5
6091,4
6093,6
6095,4
6097,3
6099,4
6101,6
6103,5
6105,4
6107,6
6109,4
6111,7
6113,7
6115,0
8001,5
8003,4
8005,7
8007,1
8009,7
8011,1
8013,1
8014,7
8015,7
8017,7
8019,7
8021,1
8023,1
8025,6
8027,6
8029,1
8031,6
8033,6
8035,6
8037,6
8039,3
8041,6
8043,1
8045,5
8047,2
8049,3
8051,2
8053,6
8055,3
8057,7
8059,3
8061,5
8063,1
8065,3
8067,6
8069,4
8071,4
8073,4
8075,3
8077,3
8079,7
8081,3
8083,7
8085,7
8087,3
8089,7
8091,3
8093,5
8095,6
8097,5
8099,5
8101,1
8103,6
8105,2
8107,6
8109,5
8111,1
8113,4
8115,6
8117,2
8119,0
8121,6
8123,6
8125,1
9001,7
9003,0
9005,0
9007,2
9009,5
9011,2
9013,0
9015,2
10001,6
10003,0
10005,7
11001,0
12001,6
12003,7
12005,2
12007,0
12009,6
12011,7
12013,1
12015,0
12017,0
12019,5
12021,6
12023,2
12027,6
12029,7
12031,6
12033,6
12035,5
12037,7
12039,1
12041,1
12043,6
12045,5
12047,5
12049,7
12051,0
12053,3
12055,7
12057,6
12059,6
12061,7
12063,2
12065,7
12067,7
12069,6
12071,1
12073,1
12075,1
12077,7
12079,2
12081,2
12083,2
12085,2
12086,2
12087,2
12089,7
12091,7
12093,2
12095,2
12097,2
12099,0
12101,2
12103,5
12105,4
12107,1
12109,0
12111,2
12113,0
12115,7
12117,2
12119,7
12121,6
12123,2
12125,6
12127,2
12129,2
12131,3
12133,0
13001,2
13003,2
13005,5
13007,3
13009,5
13011,2
13013,3
13015,2
13017,4
13019,6
13021,0
13023,6
13025,4
13027,0
13029,1
13031,2
13033,0
13035,5
13037,6
13039,7
13043,5
13045,7
13047,0
13049,2
13051,2
13053,6
13055,4
13057,0
13059,4
13061,0
13063,4
13065,2
13067,2
13069,5
13071,2
13073,2
13075,0
13077,1
13079,6
13081,6
13083,0
13085,2
13087,4
13089,5
13091,2
13093,4
13095,6
13097,2
13099,3
13101,6
13103,2
13105,2
13107,2
13109,2
13111,7
13113,0
13115,0
13117,0
13119,6
13121,6
13123,0
13125,1
13127,5
13129,6
13131,0
13133,7
13135,2
13137,7
13139,0
13141,5
13143,2
13145,0
13147,7
13149,2
13151,7
13153,2
13155,2
13157,6
13159,4
13161,7
13163,3
13165,6
13167,6
13169,2
13171,7
13173,2
13175,2
13177,2
13179,2
13181,0
13183,0
13185,7
13187,1
13189,7
13191,5
13193,5
13195,2
13197,0
13199,0
13201,0
13205,2
13207,5
13209,7
13211,5
