FIPS,Cluster
1001,7
1003,3
1005,0
1007,1
1009,3
1011,4
1013,0
1015,7
1017,2
1019,1
1021,1
1023,0
1025,0
1027,1
1029,1
1031,3
1033,7
1035,0
1037,0
1039,1
1041,1
1043,3
1045,3
1047,4
1049,1
1051,3
1053,0
1055,1
1057,1
1059,1
1061,1
1063,4
1065,4
1067,1
1069,7
1071,1
1073,2
1075,1
1077,1
1079,1
1081,7
1083,7
1085,4
1087,4
1089,7
1091,2
1093,1
1095,3
1097,2
1099,0
1101,4
1103,3
1105,4
1107,0
1109,0
1111,1
1113,2
1115,3
1117,6
1119,4
1121,0
1123,1
1125,7
1127,3
1129,0
1131,4
1133,1
2013,0
2016,2
2020,4
2050,4
2060,7
2068,4
2070,0
2090,7
2100,0
2105,0
2110,2
2122,3
2130,0
2150,2
2164,0
2170,4
2180,0
2185,2
2188,6
2195,7
2198,1
2220,0
2230,1
2240,0
2261,7
2270,0
2275,2
2282,2
2290,1
4001,1
4003,1
4005,7
4007,0
4009,0
4011,1
4012,2
4013,0
4015,2
4017,2
4019,0
4021,7
4023,1
4025,1
4027,0
5001,1
5003,1
5005,7
5007,0
5009,0
5011,1
5013,1
5015,0
5017,4
5019,0
5021,0
5023,1
5025,2
5027,7
5029,1
5031,1
5033,1
5035,1
5037,1
5039,1
5041,2
5043,2
5045,1
5047,0
5049,1
5051,2
5053,1
5055,4
5057,1
5059,1
5061,3
5063,1
5065,1
5067,2
5069,1
5071,2
5073,7
5075,1
5077,1
5079,0
5081,1
5083,1
5085,1
5087,0
5089,1
5091,2
5093,6
5095,2
5097,3
5099,4
5101,4
5103,0
5105,5
5107,7
5109,6
5111,4
5113,0
5115,2
5117,0
5119,7
5121,4
5123,4
5125,2
5127,2
5129,2
5131,2
5133,6
5135,4
5137,2
5139,4
5141,0
5143,4
5145,5
5147,6
5149,2
6001,5
6003,5
6005,2
6007,2
6009,7
6011,6
6013,2
6015,5
6017,5
6019,2
6021,5
6023,5
6025,5
6027,5
6029,5
6031,4
6033,4
6035,4
6037,6
6039,6
6041,7
6043,4
6045,4
6047,2
6049,0
6051,7
6053,5
6055,2
6057,7
6059,5
6061,4
6063,6
6065,2
6067,2
6069,2
6071,6
6073,6
6075,7
6077,4
6079,5
6081,2
6083,1
6085,2
6087,2
6089,4
6091,6
6093,7
6095,6
6097,5
6099,6
6101,7
6103,4
6105,6
6107,7
6109,6
6111,2
6113,2
6115,0
8001,4
8003,6
8005,2
8007,3
8009,2
8011,3
8013,3
8014,2
8015,2
8017,2
8019,2
8021,3
8023,3
8025,7
8027,7
8029,3
8031,7
8033,6
8035,6
8037,7
8039,5
8041,7
8043,3
8045,4
8047,1
8049,5
8051,1
8053,7
8055,5
8057,2
8059,5
8061,4
8063,3
8065,5
8067,7
8069,6
8071,6
8073,6
8075,5
8077,5
8079,2
8081,5
8083,2
8085,2
8087,5
8089,2
8091,5
8093,4
8095,7
8097,4
8099,4
8101,3
8103,7
8105,1
8107,7
8109,4
8111,3
8113,6
8115,7
8117,1
8119,0
8121,7
8123,7
8125,3
9001,2
9003,0
9005,0
9007,1
9009,4
9011,1
9013,0
9015,1
10001,7
10003,0
10005,2
11001,0
12001,7
12003,2
12005,1
12007,0
12009,7
12011,2
12013,3
12015,0
12017,0
12019,4
12021,7
12023,1
12027,7
12029,2
12031,7
12033,7
12035,4
12037,2
12039,3
12041,3
12043,7
12045,4
12047,4
12049,2
12051,0
12053,5
12055,2
12057,7
12059,7
12061,2
12063,1
12065,2
12067,2
12069,7
12071,3
12073,3
12075,3
12077,2
12079,1
12081,1
12083,1
12085,1
12086,1
12087,1
12089,2
12091,2
12093,1
12095,1
12097,1
12099,0
12101,1
12103,4
12105,6
12107,3
12109,0
12111,1
12113,0
12115,2
12117,1
12119,2
12121,7
12123,1
12125,7
12127,1
12129,1
12131,5
12133,0
13001,1
13003,1
13005,4
13007,5
13009,4
13011,1
13013,5
13015,1
13017,6
13019,7
13021,0
13023,7
13025,6
13027,0
13029,1
13031,1
13033,0
13035,4
13037,7
13039,2
13043,4
13045,2
13047,0
13049,1
13051,1
13053,7
13055,6
13057,0
13059,6
13061,0
13063,6
13065,1
13067,1
13069,4
13071,1
13073,1
13075,0
13077,6
13079,7
13081,7
13083,0
13085,1
13087,6
13089,4
13091,1
13093,6
13095,7
13097,1
13099,5
13101,7
13103,1
13105,1
13107,1
13109,1
13111,2
13113,0
13115,0
13117,0
13119,7
13121,7
13123,0
13125,3
13127,4
13129,7
13131,0
13133,2
13135,1
13137,2
13139,0
13141,4
