FIPS,Cluster
1001,4
1003,0
1005,4
1007,4
1009,4
1011,4
1013,4
1015,2
1017,0
1019,2
1021,2
1023,4
1025,2
1027,2
1029,2
1031,4
1033,4
1035,4
1037,2
1039,4
1041,4
1043,4
1045,2
1047,4
1049,2
1051,4
1053,4
1055,2
1057,4
1059,4
1061,2
1063,2
1065,4
1067,0
1069,0
1071,4
1073,4
1075,4
1077,4
1079,4
1081,0
1083,2
1085,4
1087,2
1089,0
1091,4
1093,4
1095,4
1097,2
1099,4
1101,4
1103,4
1105,4
1107,4
1109,4
1111,2
1113,4
1115,4
1117,0
1119,4
1121,2
1123,2
1125,4
1127,2
1129,4
1131,4
1133,4
2013,3
2016,3
2020,3
2050,3
2060,6
2068,6
2070,3
2090,3
2100,3
2105,3
2110,6
2122,2
2130,3
2150,6
2164,6
2170,3
2180,3
2185,3
2188,4
2195,4
2198,0
2220,0
2230,6
2240,4
2261,4
2270,0
2275,4
2282,4
2290,4
4001,0
4003,4
4005,4
4007,4
4009,2
4011,2
4012,4
4013,2
4015,4
4017,2
4019,2
4021,4
4023,2
4025,0
4027,2
5001,0
5003,4
5005,4
5007,4
5009,4
5011,2
5013,0
5015,2
5017,2
5019,2
5021,4
5023,2
5025,2
5027,2
5029,2
5031,2
5033,0
5035,2
5037,0
5039,4
5041,2
5043,4
5045,4
5047,4
5049,2
5051,4
5053,0
5055,4
5057,4
5059,2
5061,2
5063,0
5065,2
5067,0
5069,2
5071,4
5073,0
5075,2
5077,0
5079,0
5081,2
5083,2
5085,0
5087,4
5089,0
5091,2
5093,2
5095,2
5097,2
5099,6
5101,3
5103,0
5105,0
5107,0
5109,0
5111,3
5113,0
5115,3
5117,6
5119,0
5121,4
5123,3
5125,3
5127,6
5129,3
5131,0
5133,0
5135,5
5137,0
5139,3
5141,0
5143,3
5145,0
5147,0
5149,0
6001,3
6003,6
6005,3
6007,3
6009,3
6011,0
6013,3
6015,6
6017,3
6019,0
6021,6
6023,3
6025,0
6027,0
6029,3
6031,3
6033,3
6035,3
6037,0
6039,3
6041,0
6043,3
6045,3
6047,0
6049,0
6051,0
6053,0
6055,0
6057,0
6059,3
6061,3
6063,4
6065,3
6067,3
6069,3
6071,3
6073,3
6075,3
6077,3
6079,3
6081,3
6083,3
6085,3
6087,3
6089,3
6091,3
6093,3
6095,3
6097,3
6099,3
6101,3
6103,3
6105,3
6107,3
6109,3
6111,3
6113,3
6115,3
8001,3
8003,3
8005,3
8007,3
8009,6
8011,3
8013,3
8014,3
8015,3
8017,6
8019,3
8021,3
8023,3
8025,3
8027,3
8029,3
8031,3
8033,3
8035,3
8037,0
8039,3
8041,3
8043,3
8045,3
8047,3
8049,3
8051,3
8053,3
8055,3
8057,3
8059,3
8061,3
8063,3
8065,3
8067,3
8069,3
8071,3
8073,3
8075,3
8077,3
8079,6
8081,3
8083,3
8085,3
8087,3
8089,3
8091,0
8093,0
8095,0
8097,6
8099,6
8101,0
8103,6
8105,0
8107,0
8109,5
8111,0
8113,3
8115,4
8117,3
8119,3
8121,0
8123,3
8125,0
9001,0
9003,0
9005,3
9007,0
9009,0
9011,0
9013,3
9015,3
10001,0
10003,3
10005,3
11001,3
12001,3
12003,6
12005,2
12007,3
12009,0
12011,0
12013,0
12015,3
12017,3
12019,3
12021,0
12023,0
12027,2
12029,3
12031,3
12033,3
12035,3
12037,3
12039,0
12041,3
12043,2
12045,6
12047,0
12049,6
12051,0
12053,3
12055,0
12057,0
12059,3
12061,3
12063,0
12065,3
12067,0
12069,3
12071,2
12073,0
12075,2
12077,6
12079,0
12081,3
12083,2
12085,4
12086,4
12087,4
12089,4
12091,2
12093,0
12095,0
12097,0
12099,4
12101,2
12103,2
12105,0
12107,0
12109,0
12111,0
12113,4
12115,2
12117,4
12119,0
12121,3
12123,4
12125,4
12127,0
12129,3
12131,0
12133,4
13001,2
13003,3
13005,0
13007,0
13009,0
13011,2
13013,0
13015,4
13017,0
13019,3
13021,2
13023,3
13025,2
13027,0
13029,4
13031,0
13033,0
13035,0
13037,4
13039,0
13043,0
13045,0
13047,0
13049,0
13051,0
13053,0
13055,4
13057,2
13059,0
13061,6
13063,4
13065,3
13067,4
13069,6
13071,0
13073,2
13075,3
13077,4
13079,0
13081,0
13083,3
13085,3
13087,0
13089,2
13091,4
13093,0
13095,0
13097,2
13099,0
13101,0
13103,4
13105,4
13107,0
13109,4
13111,2
13113,4
13115,4
13117,0
13119,4
13121,0
13123,4
13125,0
13127,0
13129,0
13131,3
13133,0
13135,0
13137,0
13139,3
13141,4
13143,4
13145,2
13147,2
13149,4
13151,0
13153,0
13155,4
13157,0
13159,4
13161,2
13163,0
13165,0
13167,0
13169,0
13171,4
13173,0
13175,2
13177,4
13179,4
13181,0
13183,0
13185,0
13187,0
13189,0
13191,6
13193,0
13195,0
13197,0
13199,0
13201,4
13205,4
13207,4
13209,2
13211,4
13213,0
13215,4
13217,0
13219,4
13221,0
13223,0
13225,2
13227,4
13229,3
13231,4
13233,0
13235,4
13237,2
13239,0
13241,4
13243,2
13245,0
13247,2
13249,2
13251,2
13253,4
13255,0
13257,4
13259,0
13261,0
13263,2
13265,2
13267,2
13269,0
13271,0
13273,6
13275,3
13277,3
13279,3
13281,3
13283,0
13285,3
13287,0
13289,0
13291,3
13293,3
13295,0
13297,3
13299,0
13301,3
13303,3
13305,3
13307,0
13309,3
13311,3
13313,3
13315,3
13317,3
13319,3
13321,3
15001,3
15003,3
15005,3
15007,3
15009,0
16001,3
16003,3
16005,3
16007,3
16009,3
16011,0
16013,3
16015,0
16017,0
16019,3
16021,0
16023,0
16025,0
16027,3
16029,3
16031,3
16033,0
16035,3
16037,2
16039,0
16041,3
16043,3
16045,0
16047,3
16049,0
16051,0
16053,3
16055,0
16057,0
16059,0
16061,0
16063,0
16065,1
16067,4
16069,0
16071,3
16073,3
16075,0
16077,3
16079,2
16081,0
16083,0
16085,0
16087,0
17001,0
17003,0
17005,0
17007,0
17009,0
17011,0
17013,3
17015,0
17017,0
17019,0
17021,0
17023,3
17025,0
17027,0
17029,3
17031,3
17033,0
17035,3
17037,0
17039,3
17041,0
17043,3
17045,0
17047,0
17049,0
17051,0
17053,0
17055,0
17057,3
17059,3
17061,0
17063,0
17065,0
17067,2
17069,0
17071,0
17073,2
17075,0
17077,0
17079,0
17081,0
17083,0
17085,0
17087,3
17089,0
17091,0
17093,3
17095,3
17097,0
17099,2
17101,0
17103,0
17105,0
17107,3
17109,0
17111,0
17113,0
17115,0
17117,3
17119,0
17121,0
17123,3
17125,0
17127,0
17129,2
17131,0
17133,0
17135,0
17137,0
17139,0
17141,3
17143,0
17145,0
17147,6
17149,3
17151,0
17153,6
17155,0
17157,0
17159,0
17161,0
17163,3
17165,0
17167,0
17169,0
17171,2
17173,0
17175,0
17177,4
17179,0
17181,0
17183,0
17185,0
17187,0
17189,0
17191,4
17193,0
17195,0
17197,0
17199,0
17201,0
17203,0
18001,0
18003,3
18005,0
18007,0
18009,3
18011,4
18013,2
18015,0
18017,4
18019,2
18021,0
18023,4
18025,4
18027,0
18029,4
18031,0
18033,0
18035,0
18037,0
18039,0
18041,0
18043,6
18045,0
18047,0
18049,2
18051,3
18053,0
18055,0
18057,0
18059,0
18061,0
18063,0
18065,0
18067,4
18069,0
18071,4
18073,3
18075,0
18077,0
18079,0
18081,0
18083,0
18085,0
18087,0
18089,4
18091,0
18093,3
18095,2
18097,0
18099,2
18101,2
18103,0
18105,3
18107,0
18109,6
18111,4
18113,2
18115,0
18117,0
18119,3
18121,0
18123,0
18125,0
18127,0
18129,0
18131,3
18133,0
18135,3
18137,0
18139,0
18141,3
18143,3
18145,3
18147,3
18149,3
18151,3
18153,3
18155,0
18157,3
18159,0
18161,3
18163,3
18165,3
18167,3
18169,3
18171,3
18173,3
18175,0
18177,0
18179,3
18181,0
18183,3
19001,3
19003,0
19005,3
19007,3
19009,3
19011,3
19013,3
19015,3
19017,3
19019,3
19021,3
19023,3
19025,3
19027,3
19029,3
19031,3
19033,0
19035,3
