FIPS,01/01/20,01/02/20,01/03/20,01/04/20,01/05/20,01/06/20,01/07/20,01/08/20,01/09/20,01/10/20,01/11/20,01/12/20,01/13/20,01/14/20,01/15/20,01/16/20,01/17/20,01/18/20,01/19/20,01/20/20,01/21/20,01/22/20,01/23/20,01/24/20,01/25/20,01/26/20,01/27/20,01/28/20,01/29/20,01/30/20,01/31/20,02/01/20,02/02/20,02/03/20,02/04/20,02/05/20,02/06/20,02/07/20,02/08/20,02/09/20,02/10/20,02/11/20,02/12/20,02/13/20,02/14/20,02/15/20,02/16/20,02/17/20,02/18/20,02/19/20,02/20/20,02/21/20,02/22/20,02/23/20,02/24/20,02/25/20,02/26/20,02/27/20,02/28/20,02/29/20,03/01/20,03/02/20,03/03/20,03/04/20,03/05/20,03/06/20,03/07/20,03/08/20,03/09/20,03/10/20,03/11/20,03/12/20,03/13/20,03/14/20,03/15/20,03/16/20,03/17/20,03/18/20,03/19/20,03/20/20,03/21/20,03/22/20,03/23/20,03/24/20,03/25/20,03/26/20,03/27/20,03/28/20,03/29/20,03/30/20,03/31/20,04/10/20,04/11/20,04/12/20,04/13/20
1003,,,,,,,,,,,,,,,,,,,,,,,,,11.5,5.25,12.9375,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.375,27.125,30.5,33.1875,33.9375,29.4375,32.25,31.5,30.0,26.4375,20.5625,25.0,21.625,19.6875,18.5625,24.875,24.6875,19.9375,17.625,18.0,25.75,29.6875,29.375,30.9375,28.1875,29.625,35.1875,29.5625,29.875,34.9375,31.0625,28.727272727272727
1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.909090909090909,,,,,,,,,,,,,,,,32.0,24.0625,20.9375,32.5,27.9375,25.0625,33.8125,27.125,29.5,25.5625,26.9375,20.666666666666668,12.5625,16.6875,22.6875,14.3125,13.625,18.5625,16.75,14.375,14.9375,20.375,25.3125,16.375,12.3125,14.6875,26.0625,20.5,20.375,19.4375,27.0625,20.125,19.375,35.9375,22.75,18.3125,27.0
1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.625,,,,,,,,,,,,,,,33.8,23.0625,19.3125,21.3,,,,32.75,,,33.2,28.75,20.1875,33.25,33.6875,34.0,26.5,28.625,30.9375,21.0625,20.75,22.1875,27.8125,22.5625,15.4375,13.5,16.75,15.0625,24.0625,20.0,20.75,12.6875,12.3125,27.8125,19.8125,28.6875,23.25,32.1875,36.5,33.6875,41.8125,25.8125,23.25,36.27272727272727
1073,19.625,25.0,16.4375,30.6875,18.75,9.2,,,34.5,32.375,29.25,18.125,10.9375,14.5,14.3125,25.75,29.1875,30.5625,31.6875,26.5,26.875,23.75,23.9375,25.75,21.0625,9.9375,22.875,16.125,18.375,16.5,24.0625,19.25,20.0,30.6875,35.15384615384615,30.1875,15.6875,26.0625,27.5625,19.3125,28.6875,19.6875,12.8125,23.9375,29.0,24.6875,32.375,17.375,12.3125,21.6875,22.125,30.0625,20.0,21.25,24.0625,24.75,16.3125,33.75,23.0,27.8125,29.5625,33.875,29.532467532467532,19.2125,32.5,28.825,31.8375,29.7625,31.5,31.325,21.911392405063292,25.65,21.6,21.1125,19.4375,16.05,20.325,17.958904109589042,,28.276923076923076,19.175,19.8,16.975,19.0625,26.3,27.8375,38.5,28.3,35.4125,32.8375,31.4625,38.5,30.0,29.6,36.35849056603774
1089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,30.0,28.6875,31.75,35.80952380952381,32.71875,25.53125,21.96875,33.46875,32.625,29.34375,36.3125,30.90625,20.15625,23.625,27.375,26.25,21.78125,18.84375,17.25,16.28125,20.0625,26.28125,19.09375,20.34375,18.84375,17.53125,25.15625,21.5625,38.5,29.6875,36.15625,30.5,33.65625,38.40625,27.21875,35.03125,32.77272727272727
1097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5,28.9375,30.0625,32.75,35.875,32.86363636363637,30.96875,25.125,25.6875,21.806451612903224,24.9375,23.65625,20.5625,19.59375,16.90625,25.0625,23.28125,24.71875,20.875,16.625,22.8125,29.75,29.46875,23.625,28.5625,28.6875,30.21875,26.0,33.03125,32.09375,33.84375,26.045454545454547
1103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,3.0,1.0,1.0,1.0,1.1875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,37.0,28.11111111111111,25.5625,35.06666666666667,33.4375,25.75,35.875,31.0,22.875,22.8125,28.3125,22.9375,22.5,20.6875,19.125,17.6875,20.5,26.875,19.3125,22.25,18.5,17.375,24.0,22.6875,39.625,29.1875,37.0,30.75,34.375,38.6875,26.0625,29.375,31.90909090909091
1115,15.0625,22.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.333333333333332,18.6875,18.5625,16.4375,18.1875,27.0,39.375,37.875,27.9375,35.625,27.875,31.375,37.375,19.0,19.5,37.72727272727273
1117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.545454545454547,15.9,,,,,,,,,,,,,,18.0,19.75,25.285714285714285,18.6875,16.3125,27.8,,,,36.0,23.6875,22.4375,32.5,29.4375,23.25,35.1875,29.375,31.625,25.5,30.75,30.1875,21.1875,23.25,23.5625,16.0625,18.25,15.8125,21.0625,18.4375,18.375,26.1875,16.875,16.0,13.6875,13.3125,26.5625,20.625,32.8125,23.125,33.9375,31.0,31.1875,41.5,24.3125,26.75,37.0
1119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,26.8125,20.5,19.125,19.4,,,,36.875,22.9375,22.1875,32.375,27.25,28.9375,34.8125,24.25,27.4375,21.25,19.25,28.6875,21.4375,24.3125,24.3125,19.125,16.4375,18.625,15.875,12.6875,17.8125,25.6875,17.75,14.3125,17.25,17.5625,25.125,20.4375,26.625,25.5625,32.9375,24.875,23.4375,32.0625,21.1875,19.5625,27.636363636363637
