FIPS,01/01/20,01/02/20,01/03/20,01/04/20,01/05/20,01/06/20,01/07/20,01/08/20,01/09/20,01/10/20,01/11/20,01/12/20,01/13/20,01/14/20,01/15/20,01/16/20,01/17/20,01/18/20,01/19/20,01/20/20,01/21/20,01/22/20,01/23/20,01/24/20,01/25/20,01/26/20,01/27/20,01/28/20,01/29/20,01/30/20,01/31/20,02/01/20,02/02/20,02/03/20,02/04/20,02/05/20,02/06/20,02/07/20,02/08/20,02/09/20,02/10/20,02/11/20,02/12/20,02/13/20,02/14/20,02/15/20,02/16/20,02/17/20,02/18/20,02/19/20,02/20/20,02/21/20,02/22/20,02/23/20,02/24/20,02/25/20,02/26/20,02/27/20,02/28/20,02/29/20,03/01/20,03/02/20,03/03/20,03/04/20,03/05/20,03/06/20,03/07/20,03/08/20,03/09/20,03/10/20,03/11/20,03/12/20,03/13/20,03/14/20,03/15/20,03/16/20,03/17/20,03/18/20,03/19/20,03/20/20,03/21/20,03/22/20,03/23/20,03/24/20,03/25/20,03/26/20,03/27/20,03/28/20,03/29/20,03/30/20,03/31/20,04/10/20,04/11/20,04/12/20,04/13/20
1073,11.375,8.895833333333334,9.916666666666666,12.875,10.333333333333334,15.4375,23.604166666666668,28.229166666666668,28.458333333333332,19.458333333333332,12.895833333333334,10.395833333333334,18.285714285714285,9.153846153846153,12.333333333333334,9.875,7.625,12.583333333333334,5.791666666666667,8.604166666666666,10.951219512195122,12.1875,9.76923076923077,13.0,13.5,17.5,12.145833333333334,24.625,17.75,24.354166666666668,17.071428571428573,12.34375,8.875,17.3125,12.21951219512195,11.875,8.770833333333334,20.5625,12.1875,13.6875,8.9375,7.791666666666667,10.5,8.708333333333334,7.625,10.645833333333334,16.875,13.25,8.166666666666666,7.875,6.743589743589744,8.854166666666666,14.666666666666666,23.625,14.458333333333334,12.083333333333334,10.916666666666666,10.25,20.604166666666668,14.145833333333334,21.916666666666668,14.083333333333334,22.979166666666668,15.416666666666666,5.541666666666667,16.833333333333332,7.833333333333333,15.5625,23.375,12.520833333333334,14.0,18.125,17.333333333333332,16.395833333333332,7.854166666666667,15.145833333333334,31.583333333333332,27.979166666666668,19.3125,23.458333333333332,10.583333333333334,10.25,14.604166666666666,17.729166666666668,13.416666666666666,24.208333333333332,29.979166666666668,20.416666666666668,20.833333333333332,18.354166666666668,13.416666666666666,17.645833333333332,20.333333333333332,24.708333333333332,15.0
2020,10.46875,5.609375,9.984375,15.140625,18.890625,14.828125,12.890625,10.734375,9.46875,,,,,7.2,8.609375,6.8125,10.296875,11.796875,10.40625,3.953125,5.59375,4.015625,3.328125,8.859375,8.890625,7.71875,8.15625,6.640625,4.78125,4.765625,7.625,5.71875,5.859375,2.5,4.28125,4.875,3.359375,3.8125,3.609375,5.03125,6.015625,10.375,5.546875,4.78125,7.431372549019608,5.645833333333333,9.8125,4.75,0.86,0.890625,1.40625,2.71875,3.296875,2.3728813559322033,7.791666666666667,7.59375,5.984375,8.15625,11.40625,11.203125,3.0545454545454547,2.86,3.71875,4.390625,4.328125,15.265625,5.90625,2.40625,2.140625,3.328125,13.03125,18.546875,21.375,13.65625,14.78125,12.0625,9.921875,6.046875,7.671875,4.540983606557377,6.75,1.9583333333333333,33.229166666666664,19.15686274509804,15.17741935483871,7.241379310344827,10.015625,7.75,11.15625,12.765625,16.84375,22.21875,20.21875,13.03125,2.477272727272727
2050,7.6875,6.625,4.125,3.3125,3.75,3.0,2.875,2.6875,2.9375,,,,,7.0,6.9375,3.4375,3.1875,3.0,4.75,5.0625,3.0,3.0,3.625,4.5625,3.5,3.1875,4.0,3.5,3.75,5.1875,6.0,5.5625,3.875,2.75,2.5625,1.6875,5.875,6.0,5.625,6.625,5.75,4.9375,5.9375,3.5625,3.9375,6.0,4.0,2.5625,3.1875,8.5,3.0,6.3125,6.9375,10.625,4.0625,3.625,4.0625,2.375,3.3125,3.0,4.1875,6.4375,6.25,3.8125,7.25,4.625,4.8125,2.5625,3.1875,4.125,5.375,1.75,4.125,7.0,6.125,5.625,0.375,11.5,3.625,14.0625,3.625,9.6875,3.625,4.5,0.375,3.5625,3.0625,5.1875,5.6875,11.125,24.3125,5.3125,11.5625,3.5,2.1818181818181817
2090,20.0625,14.875,31.1875,25.75,26.75,32.0,30.3125,41.875,41.5625,,,,,14.0,18.9375,31.0625,37.6875,28.5,33.25,33.25,18.75,22.9375,22.3125,14.6875,18.5625,31.75,22.0625,21.0,26.0,18.3125,14.625,20.4375,21.6875,30.6875,21.6875,23.4375,18.0,12.75,16.8125,13.0625,11.8125,20.1875,18.375,19.1875,25.1875,21.5,19.75,23.5625,21.6875,15.8125,17.25,14.0,14.8125,9.8125,22.4375,30.5,26.8125,35.1875,29.3125,27.3125,17.0625,10.0,23.4375,27.875,26.75,30.5625,18.75,16.8125,10.3125,10.8125,31.6875,22.5,18.0,18.125,16.6875,11.375,20.625,10.3125,9.625,8.625,8.6875,8.375,,11.1875,5.9375,7.5625,16.5,9.875,10.3125,18.3125,9.3125,15.75,10.5,14.8125,10.363636363636363
2110,10.4375,2.4375,3.6875,6.0,7.3125,5.0,2.5,5.6875,4.5,,,,,8.8,6.625,3.6153846153846154,3.9375,7.875,7.25,8.75,7.125,9.75,5.9375,1.0625,2.875,0.875,0.8125,0.0,1.25,1.625,1.6875,2.8125,2.3125,3.25,2.5,3.25,5.0,5.3125,4.0,4.375,2.5,3.1875,0.875,4.875,4.6875,5.25,3.625,4.111111111111111,,1.1875,0.6875,0.6875,2.8125,1.5625,2.375,2.0,2.0,1.125,1.25,4.0625,2.6875,2.8125,1.6875,3.6875,5.5625,3.9375,4.875,2.875,0.5,2.6875,5.0625,5.5,8.625,12.25,14.75,14.125,11.5,13.75,6.875,12.5,6.25,2.4375,7.3125,18.9375,24.3125,3.0,3.9375,2.75,3.25,7.3125,20.125,5.0,12.625,14.9375,4.909090909090909
4003,8.09375,5.03125,8.40625,12.3125,16.5,12.8125,5.739130434782608,27.03125,28.0,10.28125,10.59375,12.34375,20.0,27.34375,34.1875,16.125,5.6875,4.28125,6.96875,11.96875,7.96875,4.0,7.5625,13.125,14.875,11.5,21.25,20.0,19.90625,14.28125,7.5625,8.5,13.28125,24.6875,37.285714285714285,10.0,15.90625,13.40625,18.0625,23.625,14.53125,3.71875,2.9375,7.59375,12.96875,10.875,6.46875,13.40625,17.21875,16.8125,24.875,30.5,7.59375,3.09375,5.65625,9.9375,11.34375,9.84375,14.75,18.71875,10.1875,15.548387096774194,3.6875,3.875,9.083333333333334,6.483870967741935,11.96875,4.96875,3.59375,6.34375,3.8125,4.481481481481482,2.375,4.96875,9.517241379310345,8.875,12.71875,6.2272727272727275,3.40625,5.15625,10.40625,6.78125,18.09375,8.3125,16.09375,16.59375,12.34375,5.0,9.1875,8.3125,10.8125,9.3125,10.34375,4.0476190476190474,6.5
4007,21.09375,12.28125,19.875,19.5,9.8125,17.666666666666668,18.64,27.34375,26.53125,7.40625,12.5625,19.40625,25.9375,25.28125,27.21875,28.0625,7.96875,17.28125,13.25,12.75,6.84375,4.25,17.0,20.6875,22.8125,16.8125,12.53125,11.625,16.8125,9.28125,10.1875,17.40625,17.125,20.71875,14.03125,8.875,24.5,24.53125,22.25,20.625,12.15625,4.0625,15.875,18.5,18.8125,18.21875,17.0625,21.21875,23.9375,26.0625,25.75,19.75,6.3125,8.5,12.9375,12.59375,6.5,16.09375,18.71875,16.6875,12.125,11.21875,7.78125,12.90625,18.34375,9.6875,18.0625,8.5,13.65625,8.375,1.09375,1.8125,2.46875,3.8125,9.90625,12.6875,15.3125,7.375,1.375,9.10344827586207,8.71875,12.28125,14.09375,13.3125,15.90625,12.0,11.6875,9.0625,11.59375,13.09375,16.5625,10.625,14.09375,4.5,6.7272727272727275
4012,4.3125,3.75,2.727272727272727,2.875,2.625,4.5,3.4375,3.25,6.25,6.0625,5.4375,7.1875,9.0,6.4375,5.1875,6.5,10.25,5.6875,6.4375,7.25,6.0,4.875,5.25,4.3125,4.8125,7.0,5.8125,3.375,4.625,5.0,5.0,5.25,4.75,20.4375,6.0625,5.5625,5.375,8.125,10.4375,10.8125,9.25,6.0,5.0,4.625,6.0,8.1875,11.5,9.6875,11.25,12.4375,10.25,14.6875,13.125,6.375,4.625,7.25,3.5,4.0,7.3125,19.5625,14.125,16.3125,3.9375,4.875,5.4375,8.3125,8.125,5.8125,7.25,6.3125,0.8125,2.4375,1.875,3.75,2.4375,3.5,6.75,3.3125,4.0625,4.625,3.25,4.6875,4.3125,9.375,5.75,6.75,13.214285714285714,5.3125,7.4375,5.3125,5.3125,4.375,4.9375,5.5625,7.818181818181818
4013,37.01190476190476,20.25925925925926,18.508522727272727,20.809248554913296,20.31845238095238,21.447293447293447,20.897727272727273,24.857954545454547,24.40340909090909,15.690340909090908,15.965909090909092,18.720238095238095,25.105413105413106,26.634218289085545,29.533527696793,33.5014245014245,16.606936416184972,23.419254658385093,21.471875,21.728125,13.605970149253732,10.205128205128204,18.397727272727273,20.201704545454547,19.633522727272727,18.741477272727273,21.636363636363637,17.03988603988604,23.701704545454547,18.357954545454547,22.678977272727273,24.21875,20.12784090909091,46.96022727272727,18.110795454545453,17.676136363636363,25.46590909090909,32.32386363636363,32.148148148148145,26.521472392638035,24.38483965014577,5.7020057306590255,10.971428571428572,17.06534090909091,20.59090909090909,19.988636363636363,18.81534090909091,25.076704545454547,29.818181818181817,31.644886363636363,30.06413994169096,35.5406976744186,11.196531791907514,12.711309523809524,12.824046920821115,17.11627906976744,9.823863636363637,20.821022727272727,25.130681818181817,22.198863636363637,17.258522727272727,19.631123919308358,17.638483965014576,16.70605187319885,23.3768115942029,24.917142857142856,23.286931818181817,15.525568181818182,22.138235294117646,15.603498542274053,4.11661807580175,5.619335347432024,3.8126801152737753,4.829545454545454,9.184659090909092,11.817391304347826,12.02608695652174,9.8121387283237,4.498575498575499,10.6189111747851,11.957386363636363,11.739766081871345,18.202898550724637,18.20639534883721,16.589970501474927,15.994117647058824,14.553977272727273,14.622159090909092,16.022727272727273,18.0,24.008670520231213,19.73699421965318,13.342857142857143,6.165242165242165,13.066666666666666
4015,2.625,3.5,1.6875,4.5625,2.9375,2.4375,1.6923076923076923,,11.25,6.3125,5.625,8.4375,18.75,20.6875,13.5,13.875,11.875,4.166666666666667,4.0,1.875,8.125,8.375,5.875,5.9375,6.0,8.8125,8.4375,3.1875,10.5625,2.9375,1.8125,1.375,7.0,28.25,9.3125,3.1875,10.375,15.0625,20.25,17.8125,9.75,17.3125,6.75,10.6875,12.75,17.1875,22.1875,16.1875,16.0,14.1875,6.9375,6.4375,12.0,5.8,7.0,11.8125,4.125,3.4375,3.75,12.75,15.5,6.8125,2.4375,0.9,7.25,11.4375,17.384615384615383,6.875,9.8,8.25,0.0625,3.5,2.0625,4.666666666666667,4.25,8.9,8.0625,4.0,2.8125,1.0,0.9375,3.0,5.75,6.125,7.1875,3.125,5.4375,5.9375,8.3125,5.125,4.357142857142857,2.6875,3.4,,13.545454545454545
