,totalvotes,totalvotes,totalvotes,totalvotes,totalvotes,Prop_Blue,Prop_Blue,Prop_Blue,Prop_Blue,Prop_Blue
year,2000,2004,2008,2012,2016,2000,2004,2008,2012,2016
FIPS,,,,,,,,,,
1001.0,17208.0,20081.0,23641.0,23932.0,24973.0,0.2871920037192004,0.2369403914147702,0.25773021445793326,0.2658783219120842,0.2376967124494454
1003.0,56480.0,69320.0,81413.0,85338.0,95215.0,0.24782223796033995,0.22502885170225043,0.23811921928930269,0.21589444327263352,0.193856010082445
1005.0,10395.0,10777.0,11630.0,11509.0,10469.0,0.4990860990860991,0.4483622529460889,0.48985382631126395,0.5136849422191329,0.46527844111185407
1007.0,7101.0,7600.0,8644.0,8420.0,8819.0,0.381636389240952,0.2748684210526316,0.2659648310967145,0.261520190023753,0.21249574781721284
1009.0,17973.0,21504.0,24267.0,24006.0,25588.0,0.2769153730595894,0.18312872023809523,0.14513536901965632,0.12371907023244189,0.08425824605283727
1011.0,4904.0,4717.0,5415.0,5322.0,4710.0,0.6922920065252854,0.6805172779308882,0.7407202216066482,0.7630590003757985,0.7494692144373672
1013.0,7803.0,8416.0,9709.0,9496.0,8732.0,0.46212995001922336,0.405537072243346,0.43135235348645584,0.4606149957877001,0.4267063673843335
1015.0,38909.0,45249.0,49242.0,46257.0,47864.0,0.40558739623223417,0.3333333333333333,0.331708703951911,0.33532222150161056,0.2766588667892362
1017.0,11834.0,13032.0,14956.0,14611.0,13900.0,0.47456481324995775,0.41029772866789443,0.4546001604707141,0.4702621312709602,0.41611510791366907
1019.0,7823.0,9049.0,9745.0,9779.0,10733.0,0.4470152115556692,0.33594872361586914,0.2366341713699333,0.21801820227017077,0.14413491102208142
1021.0,15092.0,16693.0,17785.0,17462.0,18369.0,0.3184468592631858,0.2263224105912658,0.20657857745290975,0.19453670828083838,0.15847351516141325
1023.0,7374.0,7227.0,7894.0,7968.0,7292.0,0.5027122321670735,0.45703611457036114,0.46060298961236384,0.4751506024096386,0.4263576522216127
1025.0,10752.0,11394.0,13435.0,13851.0,13031.0,0.43517485119047616,0.40609092504827105,0.44019352437662823,0.4572955021298101,0.4411787276494513
1027.0,5883.0,6576.0,6819.0,6662.0,6624.0,0.34761176270610233,0.28786496350364965,0.25810236105000733,0.26673671570099067,0.1867451690821256
1029.0,5092.0,5798.0,6492.0,6305.0,6593.0,0.3267871170463472,0.2399103139013453,0.17991373998767715,0.15400475812846948,0.1037463976945245
1031.0,15434.0,17616.0,20128.0,19770.0,20767.0,0.3382143319942983,0.254314259763851,0.25233505564387915,0.24911482043500252,0.20325516444358838
1033.0,21532.0,23935.0,24843.0,23385.0,24915.0,0.4896433215678989,0.44278253603509504,0.39057279716620374,0.3919606585418003,0.2934778246036524
1035.0,5551.0,6021.0,6943.0,7022.0,6585.0,0.5013511079084849,0.4515861152632453,0.49387872677516925,0.5062660210766163,0.4677296886864085
1037.0,4567.0,5001.0,5563.0,5269.0,5252.0,0.46069629954017954,0.41091781643671266,0.408592486068668,0.41582843044220913,0.3392993145468393
1039.0,13613.0,14627.0,15787.0,15423.0,15940.0,0.3261588187761698,0.23401927941478087,0.20523215303730918,0.20475912598067822,0.14974905897114177
1041.0,4795.0,5500.0,6291.0,6418.0,6267.0,0.4033368091762252,0.30872727272727274,0.30805913209346686,0.31941414770956683,0.2655177916068294
1043.0,29525.0,35191.0,35305.0,34457.0,37873.0,0.3304995766299746,0.22860958767866785,0.16609545390171362,0.14661752328989755,0.10028252316954031
1045.0,15806.0,18231.0,19320.0,18557.0,18749.0,0.3103884600784512,0.2459546925566343,0.2727743271221532,0.28485207738319773,0.23537255320283748
1047.0,18464.0,18573.0,20852.0,20953.0,18792.0,0.5939666377816292,0.6016798578581812,0.6707270285823902,0.6973703049682624,0.6830566198382291
1049.0,20285.0,24135.0,24015.0,23863.0,25826.0,0.3478432339166872,0.29384711000621505,0.23560274828232355,0.21954490214977163,0.1402462634554325
1051.0,23804.0,28680.0,34315.0,35485.0,37260.0,0.2794488321290539,0.2256276150627615,0.2419058720676089,0.25233197125546003,0.22659688674181427
1053.0,11660.0,12395.0,14674.0,14869.0,14845.0,0.3879073756432247,0.30770471964501817,0.35355049747853345,0.36915730714910217,0.3102054563826204
1055.0,39348.0,42680.0,44737.0,42530.0,44164.0,0.4430466605672461,0.3591377694470478,0.3016965822473568,0.3010345638372913,0.2364369169459288
1057.0,7808.0,8002.0,7957.0,7946.0,8249.0,0.39241803278688525,0.30092476880779806,0.25059695865275855,0.22866851245909892,0.165110922536065
1059.0,11103.0,12269.0,11693.0,10859.0,12040.0,0.43168513014500587,0.36791914581465485,0.29667322329598905,0.2920158393958928,0.18247508305647842
1061.0,9559.0,10520.0,11657.0,11320.0,11758.0,0.28967465216026783,0.2008555133079848,0.18306596894569788,0.18012367491166079,0.12969892838918184
1063.0,4396.0,4748.0,5305.0,5340.0,4880.0,0.7970882620564149,0.7927548441449032,0.830914231856739,0.846629213483146,0.8223360655737705
1065.0,7731.0,7945.0,8214.0,8643.0,8040.0,0.6017332815935843,0.5828823159219635,0.6065254443632822,0.6260557676732617,0.5939054726368159
1067.0,6932.0,7361.0,8648.0,8760.0,8072.0,0.4013271783035199,0.3331069148213558,0.3489824236817761,0.3519406392694064,0.2839444995044599
1069.0,32057.0,36201.0,41735.0,41918.0,42639.0,0.29360202139938235,0.25258970746664455,0.292919611836588,0.29502838875900567,0.25009967400736416
1071.0,17906.0,20321.0,20874.0,20577.0,20984.0,0.506310733832235,0.42492987549825306,0.3053559451949794,0.282937260047626,0.17503812428516966
1073.0,273763.0,292967.0,318524.0,303918.0,304191.0,0.4744578339658756,0.4515389105257589,0.5215336991875024,0.5260497897459183,0.5157055928676391
1075.0,7249.0,6885.0,7075.0,7166.0,6966.0,0.3659815146916816,0.2840958605664488,0.22812720848056536,0.22969578565447948,0.14872236577662934
1077.0,32137.0,37107.0,38104.0,36924.0,39525.0,0.4317453402620033,0.3942113347885844,0.34980579466722656,0.33883111255551945,0.25179000632511067
1079.0,12185.0,14001.0,14680.0,14112.0,14829.0,0.5167008617152237,0.43961145632454823,0.3517711171662125,0.35919784580498865,0.24458830669633824
1081.0,38264.0,44610.0,54325.0,54359.0,59191.0,0.38088020071085094,0.3637525218560861,0.3957294063506673,0.3933295314483342,0.35866939230626277
1083.0,23634.0,29073.0,33551.0,35459.0,40294.0,0.3804688161123805,0.3138994943762254,0.28422401716789364,0.27719337826785867,0.23497294882612796
1085.0,6243.0,6021.0,7278.0,7521.0,6684.0,0.7299375300336377,0.7030393622321873,0.7486946963451497,0.7641271107565484,0.7305505685218432
1087.0,8831.0,9407.0,10877.0,10394.0,9140.0,0.8679651228626429,0.8291697671946423,0.8688057368759768,0.8702135847604388,0.8277899343544858
1089.0,113318.0,131062.0,152899.0,155059.0,163389.0,0.42534284050195026,0.4016724908821779,0.41934218013198254,0.39994453724066326,0.38449344815134434
1091.0,9608.0,10322.0,11471.0,11537.0,10994.0,0.5038509575353872,0.4879868242588646,0.5166070961555226,0.5345410418653029,0.5107331271602692
1093.0,11756.0,12875.0,12355.0,12105.0,12984.0,0.39128955427015993,0.29576699029126213,0.2104411169566977,0.18579099545642297,0.11028958718422674
1095.0,27989.0,31491.0,33166.0,32566.0,35316.0,0.3708957090285469,0.2683941443587057,0.21220527045769763,0.19342258797518885,0.1392286782195039
1097.0,139745.0,156771.0,181424.0,174864.0,172737.0,0.4196214533614798,0.40652926880609297,0.4529775553399771,0.45040717357489246,0.417895413258306
1099.0,8951.0,9534.0,11252.0,10708.0,10271.0,0.41794212937102,0.38451856513530525,0.4465872733736225,0.45890922674635787,0.4217700321292961
1101.0,80328.0,89650.0,104743.0,101924.0,95878.0,0.5025769345682701,0.5037367540435025,0.5935098288191096,0.6189415643028139,0.6144892467510795
1103.0,42681.0,47007.0,50542.0,49323.0,50644.0,0.37627984349007754,0.3006148020507584,0.2749198686241146,0.27246923342051377,0.22221783429428954
1105.0,5787.0,5523.0,6159.0,6099.0,5278.0,0.6946604458268533,0.6820568531595148,0.7236564377333983,0.7489752418429251,0.7245168624478969
1107.0,8540.0,9132.0,10067.0,9611.0,9542.0,0.4851288056206089,0.42871222076215504,0.4563425052150591,0.463531370304859,0.41626493397610564
1109.0,10544.0,11883.0,13955.0,14107.0,13168.0,0.4132207890743551,0.3647227131195826,0.42128269437477606,0.4278018005245623,0.3839611178614824
1111.0,7919.0,9001.0,10384.0,10398.0,10187.0,0.3907058972092436,0.3129652260859904,0.2950693374422188,0.2960184650894403,0.2248944733483852
1113.0,14775.0,16809.0,18915.0,18879.0,19256.0,0.5682571912013537,0.49824498780415255,0.5331747290510177,0.5561735261401557,0.49745533859576235
1115.0,24090.0,29161.0,34088.0,35148.0,38400.0,0.2691988376919884,0.18709920784609582,0.17868458108425253,0.16504495277113918,0.145546875
1117.0,62128.0,78906.0,90643.0,92507.0,101254.0,0.2121909605974762,0.18819861607482322,0.22754101254371545,0.2167511647767196,0.22692436842001304
1119.0,6088.0,6433.0,7020.0,7027.0,6411.0,0.7251971090670171,0.7037152184050988,0.7498575498575498,0.7714529671267967,0.740290126345344
1121.0,25451.0,29898.0,34204.0,33373.0,33407.0,0.4425759302188519,0.3804267844002943,0.40284762016138465,0.4166541815239865,0.3628281497889664
1123.0,16253.0,17952.0,19311.0,18829.0,19486.0,0.3804220759244447,0.30364304812834225,0.31396613329190615,0.3355993414413936,0.2832289849122447
