FIPS,Area in square miles - Total area,Area in square miles - Land area,2010 Density per square mile of land area - Population,2010 Density per square mile of land area - Housing units
1001,604.39,594.44,91.8,37.2
1003,2027.31,1589.78,114.6,65.5
1005,904.52,884.88,31.0,13.4
1007,626.17,622.58,36.8,14.4
1009,650.63,644.78,88.9,37.0
1011,625.14,622.8,17.5,7.2
1013,777.88,776.83,27.0,12.8
1015,612.29,605.87,195.7,88.0
1017,603.11,596.53,57.4,28.5
1019,599.98,553.7,46.9,29.4
1021,700.8,692.85,63.0,27.8
1023,920.86,913.5,15.2,8.0
1025,1252.57,1238.46,20.9,10.2
1027,606.0,603.96,23.1,11.2
1029,561.01,560.1,26.7,12.0
1031,680.49,678.97,73.6,32.9
1033,622.13,592.62,91.8,43.5
1035,852.72,850.16,15.6,8.3
1037,666.35,650.93,17.7,10.0
1039,1043.79,1030.46,36.6,18.3
1041,610.92,608.84,22.8,11.1
1043,755.02,734.84,109.4,50.4
1045,562.7,561.15,89.6,40.4
1047,993.8,978.69,44.8,20.6
1049,778.69,777.09,91.5,40.0
1051,657.04,618.48,128.2,52.8
1053,953.14,945.08,40.5,17.4
1055,548.63,534.99,195.2,88.7
1057,629.36,627.66,27.5,13.4
1059,646.52,633.82,50.0,22.1
1061,578.95,574.41,46.6,22.1
1063,659.94,647.11,14.0,7.7
1065,656.5,643.94,24.5,11.9
1067,568.31,561.75,30.8,15.8
1069,581.65,579.82,175.1,78.2
1071,1126.77,1077.87,49.4,23.0
1073,1123.81,1111.28,592.5,270.5
1075,605.46,604.85,24.1,12.2
1077,720.99,667.7,138.8,65.6
1079,717.2,690.68,49.7,22.0
1081,615.85,607.54,230.8,102.7
1083,607.19,559.94,147.8,62.5
1085,725.07,715.91,15.8,7.2
1087,613.21,608.89,35.2,16.8
1089,812.7,801.59,417.7,182.7
1091,982.67,976.88,21.5,10.5
1093,743.57,742.29,41.5,19.9
1095,623.18,565.84,164.4,71.3
1097,1644.01,1229.44,335.9,144.9
1099,1034.42,1025.67,22.5,11.0
1101,799.91,784.25,292.5,129.6
1103,599.05,579.34,206.3,88.4
1105,723.88,719.66,14.7,6.6
1107,890.13,881.41,22.4,10.8
1109,673.01,672.09,48.9,22.7
1111,584.13,580.55,39.5,20.6
1113,647.19,641.14,82.6,38.4
1115,653.64,631.9,132.3,56.2
1117,809.53,784.93,248.5,103.2
1119,913.32,903.89,15.2,7.5
1121,760.31,736.78,111.7,50.3
1123,766.25,716.52,58.1,30.9
1125,1351.25,1321.75,147.3,64.2
1127,805.19,791.19,84.7,38.9
1129,1088.57,1080.21,16.3,7.8
1131,907.41,888.5,13.1,6.4
1133,631.87,612.98,39.9,22.0
2013,15009.86,6981.94,0.4,0.1
2016,14116.44,4390.28,1.3,0.4
2020,1961.0,1704.68,171.2,66.3
2050,45504.21,40570.0,0.4,0.1
2060,887.56,503.84,2.0,1.9
2068,12776.92,12751.41,0.1,0.1
2070,20915.21,18568.78,0.3,0.1
2090,7443.69,7338.21,13.3,5.7
2100,2725.5,2318.6,1.1,0.7
2105,10914.15,7524.91,0.3,0.2
2110,3253.89,2701.93,11.6,4.8
2122,24752.32,16075.33,3.4,1.9
2130,6653.56,4858.41,2.8,1.3
2150,12021.83,6549.58,2.1,0.8
2164,32922.5,23652.01,0.1,0.1
2170,25257.61,24607.9,3.6,1.7
2180,28277.62,22961.76,0.4,0.2
2185,94796.28,88695.41,0.1,0.0
2188,40748.94,35572.58,0.2,0.1
2195,5684.07,3281.98,1.2,0.6
2198,7683.28,3922.87,1.4,0.8
2220,4811.43,2870.34,3.1,1.4
2230,464.04,452.32,2.1,1.4
2240,25059.46,24768.81,0.3,0.2
2261,40340.17,34239.88,0.3,0.2
2270,19672.95,17081.43,0.4,0.1
2275,3462.06,2541.48,0.9,0.6
2282,9462.87,7649.46,0.1,0.1
2290,147804.63,145504.79,0.0,0.0
4001,11218.44,11197.52,6.4,2.9
4003,6218.6,6165.69,21.3,9.6
4005,18661.34,18618.89,7.2,3.4
4007,4795.43,4757.93,11.3,6.9
4009,4641.07,4622.6,8.1,2.8
4011,1848.43,1843.13,4.6,2.4
4012,4513.75,4499.63,4.6,3.6
4013,9224.39,9200.14,414.9,178.2
4015,13460.65,13311.08,15.0,8.3
4017,9959.72,9950.42,10.8,5.7
4019,9189.1,9187.04,106.7,48.0
4021,5374.23,5365.61,70.0,29.7
4023,1238.11,1236.92,38.3,14.6
4025,8127.94,8123.5,26.0,13.6
4027,5519.11,5513.99,35.5,15.9
5001,1033.75,988.77,19.2,9.5
5003,940.53,925.35,23.6,11.0
5005,586.71,554.28,74.9,40.7
5007,883.91,847.36,261.2,109.9
5009,601.83,590.23,62.5,28.5
5011,652.92,649.23,17.7,9.0
5013,632.41,628.58,8.5,4.6
5015,638.8,630.09,43.6,21.5
5017,690.79,644.3,18.3,8.4
5019,882.83,866.07,26.6,12.0
5021,641.44,639.46,25.2,12.6
5023,591.92,553.69,46.9,28.6
5025,598.75,597.78,14.5,6.8
5027,766.75,766.05,32.1,15.1
5029,566.67,552.25,38.5,17.6
5031,712.67,707.21,136.4,57.3
5033,604.24,593.09,104.4,44.0
5035,636.38,609.76,83.5,35.2
5037,622.31,616.38,29.0,12.7
5039,668.11,667.39,12.2,6.5
5041,819.53,768.15,16.9,8.2
5043,835.66,828.36,22.3,10.2
5045,664.07,647.88,174.8,71.9
5047,619.64,608.86,29.8,13.2
5049,620.33,618.19,19.8,11.0
5051,734.62,677.78,141.7,74.6
5053,632.93,631.81,28.3,12.3
5055,579.56,577.7,72.9,31.0
5057,741.18,727.52,31.1,14.3
5059,622.17,615.2,53.5,23.3
5061,595.31,588.55,23.4,10.6
5063,771.52,763.95,48.0,21.2
5065,584.02,580.58,23.6,12.5
5067,641.5,633.94,28.4,12.0
5069,913.78,870.75,88.9,37.9
5071,682.74,659.8,38.7,17.1
5073,545.08,528.27,14.5,8.2
5075,592.34,587.61,29.6,13.6
5077,619.5,602.62,17.3,7.2
5079,572.18,561.52,25.2,8.7
5081,564.77,532.25,24.7,12.1
