FIPS,Rural_urban_continuum_code_2013,Urban_influence_code_2013,Metro_2013,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018
1001,2,2,1,"25,957","25,015",942,3.6,"$59,338 ",119.0
1003,3,2,1,"93,849","90,456","3,393",3.6,"$57,588 ",115.5
1005,6,6,0,"8,373","7,940",433,5.2,"$34,382 ",68.9
1007,1,1,1,"8,661","8,317",344,4.0,"$46,064 ",92.3
1009,1,1,1,"25,006","24,128",878,3.5,"$50,412 ",101.1
1011,6,6,0,"4,776","4,552",224,4.7,"$29,267 ",58.7
1013,6,6,0,"8,914","8,487",427,4.8,"$37,365 ",74.9
1015,3,2,1,"45,972","43,833","2,139",4.7,"$45,400 ",91.0
1017,6,5,0,"15,276","14,679",597,3.9,"$39,917 ",80.0
1019,6,6,0,"11,622","11,207",415,3.6,"$42,132 ",84.5
1021,1,1,1,"19,476","18,773",703,3.6,"$47,547 ",95.3
1023,9,10,0,"4,694","4,434",260,5.5,"$39,907 ",80.0
1025,7,11,0,"7,627","7,057",570,7.5,"$40,741 ",81.7
1027,9,10,0,"5,963","5,730",233,3.9,"$39,201 ",78.6
1029,8,4,0,"5,743","5,499",244,4.2,"$46,495 ",93.2
1031,4,5,0,"20,817","19,995",822,3.9,"$55,122 ",110.5
1033,3,2,1,"23,258","22,184","1,074",4.6,"$49,055 ",98.3
1035,7,11,0,"4,494","4,259",235,5.2,"$32,613 ",65.4
1037,8,3,0,"4,376","4,193",183,4.2,"$42,423 ",85.0
1039,6,6,0,"15,617","14,902",715,4.6,"$40,203 ",80.6
1041,8,6,0,"6,298","6,041",257,4.1,"$39,057 ",78.3
1043,4,3,0,"37,830","36,589","1,241",3.3,"$45,796 ",91.8
1045,4,5,0,"20,120","19,274",846,4.2,"$45,309 ",90.8
1047,4,5,0,"14,860","13,887",973,6.5,"$34,035 ",68.2
1049,6,6,0,"30,129","28,979","1,150",3.8,"$39,491 ",79.2
1051,2,2,1,"37,215","35,932","1,283",3.4,"$60,367 ",121.0
1053,6,6,0,"14,352","13,696",656,4.6,"$38,418 ",77.0
1055,3,2,1,"43,096","41,328","1,768",4.1,"$44,903 ",90.0
1057,6,6,0,"6,482","6,215",267,4.1,"$39,254 ",78.7
1059,6,6,0,"14,203","13,673",530,3.7,"$39,388 ",79.0
1061,3,2,1,"10,851","10,425",426,3.9,"$37,823 ",75.8
1063,8,6,0,"2,838","2,647",191,6.7,"$28,524 ",57.2
1065,3,2,1,"5,991","5,686",305,5.1,"$34,724 ",69.6
1067,3,2,1,"6,766","6,466",300,4.4,"$46,027 ",92.3
1069,3,2,1,"45,150","43,325","1,825",4.0,"$47,993 ",96.2
1071,6,5,0,"23,241","22,286",955,4.1,"$41,929 ",84.1
1073,1,1,1,"314,014","302,359","11,655",3.7,"$55,013 ",110.3
1075,8,7,0,"5,721","5,503",218,3.8,"$40,936 ",82.1
1077,3,2,1,"42,141","40,375","1,766",4.2,"$48,707 ",97.6
1079,3,2,1,"13,919","13,336",583,4.2,"$43,909 ",88.0
1081,3,2,1,"74,654","71,951","2,703",3.6,"$48,937 ",98.1
1083,2,2,1,"42,393","40,890","1,503",3.5,"$64,863 ",130.0
1085,2,2,1,"3,625","3,360",265,7.3,"$33,973 ",68.1
1087,6,6,0,"7,816","7,389",427,5.5,"$32,495 ",65.1
1089,2,2,1,"179,752","173,532","6,220",3.5,"$63,755 ",127.8
1091,7,11,0,"7,589","7,209",380,5.0,"$37,733 ",75.6
1093,7,11,0,"12,549","12,036",513,4.1,"$37,887 ",76.0
1095,4,5,0,"42,598","41,157","1,441",3.4,"$46,233 ",92.7
1097,2,2,1,"187,406","178,608","8,798",4.7,"$43,598 ",87.4
1099,7,11,0,"7,158","6,716",442,6.2,"$39,556 ",79.3
1101,2,2,1,"105,579","101,360","4,219",4.0,"$49,640 ",99.5
1103,3,2,1,"56,339","54,356","1,983",3.5,"$52,797 ",105.8
1105,8,4,0,"3,397","3,175",222,6.5,"$26,814 ",53.8
1107,3,2,1,"7,805","7,449",356,4.6,"$37,586 ",75.4
1109,6,5,0,"15,230","14,544",686,4.5,"$37,259 ",74.7
1111,6,4,0,"9,538","9,155",383,4.0,"$40,546 ",81.3
1113,2,2,1,"23,753","22,798",955,4.0,"$39,104 ",78.4
1115,1,1,1,"39,683","38,296","1,387",3.5,"$57,284 ",114.8
1117,1,1,1,"112,891","109,672","3,219",2.9,"$75,663 ",151.7
1119,8,6,0,"4,768","4,487",281,5.9,"$27,859 ",55.9
1121,4,3,0,"34,978","33,481","1,497",4.3,"$41,630 ",83.5
1123,6,6,0,"17,772","17,028",744,4.2,"$42,205 ",84.6
1125,3,2,1,"101,569","97,855","3,714",3.7,"$52,557 ",105.4
1127,1,1,1,"25,132","24,064","1,068",4.2,"$45,434 ",91.1
1129,8,7,0,"6,667","6,278",389,5.8,"$44,424 ",89.1
1131,9,10,0,"2,734","2,472",262,9.6,"$25,385 ",50.9
1133,6,4,0,"9,781","9,371",410,4.2,"$41,156 ",82.5
2013,9,12,0,"2,321","2,252",69,3.0,"$70,081 ",93.6
2016,9,11,0,"3,615","3,487",128,3.5,"$82,633 ",110.3
2020,2,2,1,"151,950","143,602","8,348",5.5,"$82,113 ",109.6
2050,7,11,0,"7,400","6,455",945,12.8,"$44,304 ",59.1
