FIPS,staffed_beds,licensed_beds,icu_beds
1001,55,85,6
1003,362,410,44
1005,30,74,5
1007,25,35,0
1009,25,40,6
1011,30,61,0
1013,44,72,7
1015,413,486,24
1017,0,115,0
1019,45,60,0
1021,26,30,6
1023,25,25,0
1025,56,85,0
1027,46,53,4
1031,99,131,7
1033,300,363,22
1035,44,58,0
1039,128,187,13
1041,57,93,0
1043,185,185,12
1045,77,89,6
1047,109,175,23
1049,97,134,12
1051,70,138,5
1053,95,142,14
1055,590,739,40
1057,45,61,8
1059,74,125,7
1061,73,83,6
1063,20,20,0
1065,28,39,0
1069,769,782,66
1071,92,170,10
1073,3945,4750,281
1077,233,358,36
1079,43,98,6
1081,372,314,20
1083,97,102,10
1087,143,143,0
1089,1280,1241,58
1091,37,99,5
1093,97,120,8
1095,240,240,20
1097,1490,1929,76
1099,49,94,8
1101,1018,1226,58
1103,320,393,23
1109,97,97,9
1111,15,0,0
1113,105,128,8
1115,40,40,6
1117,246,286,32
1119,33,33,0
1121,207,285,14
1123,80,127,6
1125,981,1087,52
1127,207,267,12
1129,15,25,0
1131,21,30,0
1133,49,59,4
2020,1077,1014,60
2050,34,50,0
2070,16,16,0
2090,145,152,13
2110,45,73,9
2122,76,77,6
2130,25,25,4
2150,24,25,0
2170,74,74,14
2180,18,18,0
2185,20,14,0
2188,17,17,0
2220,25,27,0
2261,24,24,0
2280,12,12,0
2280,8,8,0
4001,162,50,0
4003,135,160,12
4005,396,381,41
4007,58,196,8
4009,49,49,0
4012,42,42,3
4013,10040,10105,715
4015,551,610,80
4017,176,170,12
4019,3108,3206,287
4021,262,214,24
4023,25,25,0
4025,374,364,39
4027,447,51,42
5001,74,74,0
5003,25,33,6
5005,170,268,17
5007,439,524,30
5009,120,174,24
5011,25,33,0
5015,40,40,0
5017,35,25,0
5019,25,25,0
5021,25,25,0
5023,25,25,0
5027,30,49,6
5029,25,25,0
5031,553,666,66
5033,35,103,8
5035,63,52,0
5037,15,25,0
5039,22,25,0
5041,50,50,0
5043,49,49,5
5045,355,371,25
5047,25,25,0
5049,25,25,0
5051,423,522,41
5055,114,129,8
5057,67,0,8
5059,64,72,6
5061,20,20,0
5063,184,224,12
5065,25,25,0
5067,133,133,0
5069,271,471,34
5071,57,90,8
5075,25,25,0
5081,25,25,0
