,Transit stations,Transit stations
Date,2020-03-29,2020-04-05
FIPS,,
1001,,
1003,-24.0,-39.0
1005,,
1007,,
1009,,
1011,,
1013,-45.0,-64.0
1015,,
1017,-12.0,-29.0
1019,,
1021,-27.0,-45.0
1023,,
1025,,
1027,,
1029,-36.0,-48.0
1031,,
1033,-20.0,-23.0
1035,-33.0,-44.0
1037,,
1039,,
1041,,
1043,-33.0,-38.0
1045,-17.0,-39.0
1047,,
1049,-33.0,-49.0
1051,,
1053,,
1055,-27.0,-35.0
1057,,
1059,,
1061,,
1063,-32.0,-40.0
1065,,
1067,,
1069,-27.0,-44.0
1071,,
1073,-43.0,-46.0
1075,,
1077,,
1079,,
1081,,
1083,,
1085,-29.0,-44.0
1087,-42.0,-54.0
1089,-39.0,-53.0
1091,,
1093,,
1095,,
1097,-30.0,-37.0
1099,,
1101,-14.0,-30.0
1103,-27.0,-32.0
1105,,
1107,,
1109,,
1111,,
1113,,
1115,-24.0,-32.0
1117,,
1119,,
1121,-12.0,-29.0
1123,,
1125,-29.0,-38.0
1127,-32.0,-40.0
1129,,
1131,,
1133,,
2122,,
4001,-8.0,-16.0
4003,-23.0,-30.0
4005,-34.0,-36.0
4007,,
4009,,
4011,,
4012,-50.0,-54.0
4013,-44.0,-50.0
4015,-23.0,-30.0
4017,-12.0,-21.0
4019,-43.0,-48.0
4021,-28.0,-39.0
4023,-25.0,-31.0
4025,-27.0,-30.0
4027,-53.0,-61.0
5001,,
5003,,
5005,,
5007,-65.0,-74.0
5009,,
5011,,
5015,,
5017,,
5019,-23.0,-35.0
5021,,
5023,,
5025,,
5027,,
5029,-2.0,-21.0
5031,-5.0,-9.0
5033,-11.0,-16.0
5035,-17.0,-22.0
5037,,
5039,,
5041,,
5043,,
5045,,
5047,8.0,-19.0
5049,,
5051,,
5053,,
5055,,
5057,,
5059,-28.0,-30.0
5061,,
5063,,
5065,,
5067,,
5069,-14.0,-18.0
5071,,
5075,,
5079,,
5081,,
5083,,
5085,,
5087,,
5089,,
5091,-24.0,-38.0
5093,-18.0,-24.0
5095,,
5097,,
5099,-23.0,-36.0
5101,,
5103,,
5105,,
5107,,
5109,,
5111,,
5113,,
5115,-11.0,-25.0
5117,,
5119,-38.0,-45.0
5121,,
5123,-22.0,-29.0
5125,-10.0,-22.0
5127,,
5129,,
5131,-41.0,-41.0
5133,,
5135,,
5137,,
5139,,
5141,,
5143,-10.0,-29.0
5145,4.0,-6.0
5149,,
6001,-64.0,-72.0
6005,,
6007,-45.0,-53.0
6009,,
6011,-32.0,-42.0
6013,-49.0,-60.0
6015,,
6017,-50.0,-53.0
6019,-43.0,-53.0
6021,-20.0,-27.0
6023,-48.0,-58.0
6025,-62.0,-64.0
6027,,
6029,-37.0,-40.0
6031,-43.0,-59.0
6033,-42.0,-32.0
6035,,
6037,-54.0,-57.0
6039,-30.0,-28.0
6041,-61.0,-65.0
6043,,
6045,-44.0,-56.0
6047,-37.0,-48.0
6049,,
6051,,
6053,-45.0,-50.0
6055,-45.0,-55.0
6057,-73.0,-83.0
6059,-55.0,-59.0
6061,-55.0,-70.0
6063,,
6065,-41.0,-45.0
6067,-57.0,-68.0
6069,,
6071,-42.0,-46.0
6073,-64.0,-69.0
6075,-66.0,-70.0
6077,-31.0,-45.0
6079,-58.0,-73.0
6081,-83.0,-86.0
6083,-51.0,-63.0
6085,-71.0,-78.0
6087,-57.0,-68.0
6089,-22.0,-34.0
6093,9.0,-25.0
6095,-37.0,-48.0
6097,-54.0,-55.0
6099,-28.0,-41.0
6101,-43.0,-50.0
6103,-22.0,-27.0
6105,,
6107,-28.0,-33.0
6109,,
6111,-40.0,-50.0
6113,-34.0,-47.0
6115,-34.0,-37.0
8001,-30.0,-24.0
8003,,
8005,-36.0,-31.0
8007,,
8011,,
8013,-44.0,-42.0
8015,,
8019,,
8021,,
8029,,
8031,-75.0,-76.0
8035,-50.0,-50.0
8037,-67.0,-67.0
8039,,
8041,-55.0,-51.0
8043,,
8045,-34.0,-34.0
8047,,
8049,-43.0,-43.0
8051,,
8055,,
8059,-39.0,-30.0
8063,-18.0,-28.0
8065,,
8067,-68.0,-66.0
8069,-38.0,-33.0
8071,,
8073,-31.0,-30.0
8075,,
8077,-35.0,-24.0
8081,,
8083,,
8085,,
8087,-23.0,-29.0
8089,,
8091,,
8093,,
8097,-85.0,-86.0
8099,-33.0,-32.0
8101,-32.0,-30.0
8103,,
8105,,
8107,-65.0,-65.0
8109,,
8113,,
8117,-67.0,-67.0
8119,,
8121,,
8123,-32.0,-29.0
8125,,
9001,-72.0,-71.0
9003,-61.0,-56.0
9005,,
9007,-60.0,-53.0
9009,-62.0,-58.0
9011,-67.0,-60.0
9013,-38.0,-43.0
9015,-69.0,-66.0
10001,-50.0,-26.0
10003,-60.0,-56.0
10005,-40.0,-48.0
12001,-48.0,-54.0
12003,-45.0,-55.0
12005,-50.0,-62.0
12007,,
12009,-37.0,-55.0
12011,-72.0,-77.0
12013,,
12015,-33.0,-51.0
12017,,
12019,,
12021,-56.0,-63.0
12023,-25.0,-41.0
12027,,
12029,,
12031,-40.0,-52.0
12033,-47.0,-55.0
12035,,
12037,,
12039,-36.0,-48.0
12041,,
12043,-39.0,-50.0
12045,,
12047,-28.0,-45.0
12049,,
12051,,
12053,-37.0,-41.0
12055,,
12057,-67.0,-74.0
12059,,
12061,-47.0,-64.0
12063,-32.0,-44.0
12065,,
12067,,
12069,-57.0,-68.0
12071,-69.0,-75.0
12073,-50.0,-62.0
12075,,
12077,,
12079,-26.0,-45.0
12081,-63.0,-74.0
12083,-31.0,-46.0
12085,-59.0,-63.0
12086,-71.0,-73.0
12087,-76.0,-80.0
12089,-68.0,-68.0
12091,-62.0,-67.0
12093,-84.0,-89.0
12095,-80.0,-84.0
12097,-65.0,-73.0
12099,-61.0,-68.0
12101,-25.0,-43.0
12103,-44.0,-58.0
12105,-29.0,-41.0
12107,,
12109,-34.0,-47.0
12111,-52.0,-62.0
12113,,
12115,-28.0,-46.0
12117,-74.0,-83.0
12119,-36.0,-50.0
12121,-42.0,-50.0
12123,,
12125,,
12127,-39.0,-59.0
12129,,
12131,-21.0,-41.0
12133,,
13001,,
13003,,
13005,,
13009,,
13011,,
13013,,
13015,-25.0,-31.0
13017,,
13019,,
13021,-27.0,-40.0
13023,,
13025,,
13027,,
13029,-29.0,-43.0
13031,,
13033,,
13035,-13.0,-26.0
13039,-29.0,-41.0
13043,,
13045,-25.0,-23.0
13047,,
13049,,
13051,-48.0,-56.0
13053,,
13055,,
13057,,
13059,-30.0,-24.0
13063,-80.0,-85.0
13065,,
13067,-38.0,-48.0
13069,,
13071,,
13073,-44.0,-47.0
13075,-21.0,-67.0
13077,-15.0,-15.0
13079,,
13081,-10.0,-33.0
13083,-16.0,-32.0
13085,,
13087,,
13089,-27.0,-34.0
13091,,
13093,-28.0,-36.0
13095,-30.0,-51.0
13097,-28.0,-39.0
13099,,
13103,,
13105,,
13107,,
13109,,
13111,,
13113,,
13115,,
13117,,
13119,-22.0,-28.0
13121,-47.0,-53.0
13123,,
13127,-39.0,-53.0
13129,-20.0,-30.0
13131,,
13133,,
13135,-42.0,-54.0
13137,,
13139,-20.0,-17.0
13141,,
13143,-22.0,-36.0
13145,,
13147,,
13149,,
13151,,
13153,,
13155,,
13157,-22.0,-16.0
13159,,
13161,,
13163,,
13165,,
13167,,
13169,,
13171,,
13173,,
13175,-27.0,-37.0
13177,,
13179,-22.0,-28.0
13181,,
13183,,
13185,-21.0,-37.0
13187,,
13189,-21.0,-44.0
13191,,
13193,,
13195,,
13197,,
13199,,
13201,,
13205,,
13207,-35.0,-43.0
13209,,
13211,-27.0,-41.0
13213,,
13215,-56.0,-69.0
13217,,
13219,,
13221,,
13223,,
13225,-24.0,-40.0
13227,,
13229,,
13231,,
13233,,
13235,,
13237,-59.0,-59.0
13241,,
13243,,
13245,-51.0,-54.0
13247,,
13249,,
13251,,
13253,,
13255,,
13257,,
13261,,
13263,,
13267,,
13269,,
13271,,
13273,,
13275,,
13277,-24.0,-36.0
13279,,
13281,,
13283,,
13285,-28.0,-38.0
13287,-22.0,-66.0
13289,,
13291,,
13293,,
13295,,
13297,,
13299,,
13301,,
13303,,
13305,,
13311,,
13313,-23.0,-39.0
13315,,
13317,,
13319,,
13321,,
15001,-84.0,-88.0
15003,-69.0,-73.0
15007,-83.0,-84.0
15009,-85.0,-88.0
16001,-54.0,-57.0
16005,-28.0,-29.0
16007,,
16009,,
16011,,
16013,-49.0,-59.0
16015,,
16017,,
16019,-21.0,-28.0
16021,,
16027,-15.0,-19.0
16029,,
16031,,
16035,,
16039,-25.0,-19.0
16041,,
16043,,
16045,,
16047,,
16049,,
16051,,
16053,-13.0,-4.0
16055,-18.0,-19.0
16057,,
16059,,
16063,,
16065,,
16067,-11.0,-17.0
16069,-55.0,-55.0
16071,,
16073,,
16075,,
16077,,
16079,,
16081,,
16083,,
16085,,
16087,,
17001,-30.0,-20.0
17003,,
17005,-5.0,-22.0
17007,-65.0,-59.0
17011,,
17015,,
17017,,
17019,-48.0,-41.0
17021,,
17023,-15.0,-24.0
17025,,
17027,,
17029,,
17031,-63.0,-61.0
17033,,
