FIPS,Score,TCI+,Jobs+,Trips/Week+,Routes,Transit Shed,Transit
1001,0.0,0.0,0,0,0,0,0
1003,0.3,0.1,2691,14,1,1,0
1005,0.0,0.0,0,0,0,0,0
1007,0.1,0.0,279,2,0,0,0
1009,0.0,0.0,0,0,0,0,0
1011,0.0,0.0,0,0,0,0,0
1013,0.0,0.0,0,0,0,0,0
1015,0.6,0.3,3376,42,1,2,0
1017,0.0,0.0,0,0,0,0,0
1019,0.0,0.0,0,0,0,0,0
1021,0.0,0.0,0,0,0,0,0
1023,0.0,0.0,0,0,0,0,0
1025,0.1,0.0,4,4,0,0,0
1027,0.0,0.0,0,0,0,0,0
1029,0.0,0.0,0,0,0,0,0
1031,0.0,0.0,0,0,0,0,0
1033,0.0,0.0,0,0,0,0,0
1035,0.0,0.0,0,0,0,0,0
1037,0.0,0.0,0,0,0,0,0
1039,0.0,0.0,0,0,0,0,0
1041,0.0,0.0,0,0,0,0,0
1043,0.0,0.0,0,0,0,0,0
1045,0.0,0.0,0,0,0,0,0
1047,0.1,0.0,0,1,0,0,0
1049,0.0,0.0,0,0,0,0,0
1051,0.0,0.0,0,0,0,0,0
1053,0.0,0.0,0,0,0,0,0
1055,0.7,0.3,2332,46,1,1,0
1057,0.0,0.0,0,0,0,0,0
1059,0.0,0.0,0,0,0,0,0
1061,0.0,0.0,0,0,0,0,0
1063,0.0,0.0,0,0,0,0,0
1065,0.0,0.0,0,0,0,0,0
1067,0.0,0.0,0,0,0,0,0
1069,0.0,0.0,0,0,0,0,0
1071,0.0,0.0,0,0,0,0,0
1073,0.1,0.2,1121,1,0,0,0
1075,0.0,0.0,0,0,0,0,0
1077,0.0,0.0,0,0,0,0,0
1079,0.0,0.0,0,0,0,0,0
1081,0.0,0.0,0,0,0,0,0
1083,0.0,0.0,0,0,0,0,0
1085,0.0,0.0,0,0,0,0,0
1087,0.0,0.0,0,0,0,0,1
1089,1.0,0.5,13610,66,1,4,0
1091,0.0,0.0,0,0,0,0,0
1093,0.0,0.0,0,0,0,0,0
1095,0.0,0.0,0,0,0,0,0
1097,1.7,0.9,19850,183,1,8,0
1099,0.0,0.0,0,0,0,0,0
1101,2.1,1.2,38820,152,2,16,0
1103,0.0,0.0,0,0,0,0,0
1105,0.0,0.0,0,1,0,0,0
1107,0.0,0.0,0,0,0,0,0
1109,0.0,0.0,0,0,0,0,0
1111,0.0,0.0,0,0,0,0,0
1113,0.7,0.3,2728,34,1,2,0
1115,0.0,0.0,0,0,0,0,0
1117,0.0,0.0,0,0,0,0,0
1119,0.0,0.0,0,0,0,0,0
1121,0.0,0.0,0,0,0,0,0
1123,0.0,0.0,0,0,0,0,0
1125,0.9,0.4,9455,47,1,2,0
1127,0.0,0.0,0,0,0,0,0
1129,0.0,0.0,0,0,0,0,0
1131,0.1,0.0,105,5,0,0,0
1133,0.0,0.0,0,0,0,0,0
2013,0.0,0.0,0,0,0,0,0
2016,0.0,0.0,0,0,0,0,0
2020,3.5,2.6,53537,696,2,9,1
2050,0.0,0.0,0,0,0,0,0
2060,0.0,0.0,0,0,0,0,0
2068,0.0,0.0,0,0,0,0,0
2070,0.0,0.0,0,0,0,0,0
2090,2.0,1.0,16547,213,3,12,0
2100,0.0,0.0,0,0,0,0,0
2110,2.6,1.4,12550,308,7,8,5
2122,0.0,0.0,0,0,0,0,1
2130,3.6,1.5,9157,309,2,8,3
2150,0.0,0.0,0,0,0,0,0
2164,0.0,0.0,0,0,0,0,0
2170,0.5,0.2,2828,33,2,2,0
2180,0.0,0.0,0,0,0,0,0
2185,0.0,0.0,0,0,0,0,4
2188,0.0,0.0,0,0,0,0,0
2201,0.0,0.0,0,1,0,0,1
2220,2.2,1.1,2798,218,2,4,1
2232,0.0,0.0,0,0,0,0,1
2232,0.0,0.0,0,0,0,0,3
2240,0.0,0.0,0,0,0,0,0
2261,0.0,0.0,0,0,0,0,0
2280,0.0,0.0,0,0,0,0,0
2280,0.0,0.0,0,0,0,0,0
2282,0.0,0.0,0,0,0,0,0
2290,0.0,0.0,0,0,0,0,0
4001,0.3,0.0,960,19,1,1,1
4003,0.7,0.0,1214,66,1,1,0
4005,2.1,1.2,11784,399,3,4,1
4007,0.0,0.0,0,0,0,0,0
4009,0.0,0.0,0,0,0,0,1
4011,0.0,0.0,0,0,0,0,0
4012,0.0,0.0,195,1,0,0,0
4013,4.4,3.1,100236,1146,3,25,2
4015,0.4,0.2,363,26,0,1,0
4017,0.1,0.0,24,2,0,0,1
4019,3.7,2.5,56905,885,4,20,2
4021,0.1,0.0,0,1,0,0,0
4023,0.0,0.0,0,0,0,0,0
4025,0.4,0.2,879,53,1,1,0
4027,2.0,1.1,15567,164,2,10,1
5001,0.0,0.0,0,0,0,0,0
5003,0.0,0.0,0,0,0,0,0
5005,0.0,0.0,0,0,0,0,0
5007,0.6,0.3,6197,36,1,2,0
5009,0.0,0.0,0,0,0,0,0
5011,0.0,0.0,0,0,0,0,0
5013,0.0,0.0,0,0,0,0,0
5015,0.0,0.0,0,0,0,0,0
5017,0.0,0.0,0,0,0,0,1
5019,0.2,0.1,32,1,0,0,0
5021,0.0,0.0,0,0,0,0,0
5023,0.0,0.0,0,0,0,0,0
5025,0.0,0.0,0,0,0,0,0
5027,0.0,0.0,0,0,0,0,0
5029,0.0,0.0,0,0,0,0,0
5031,1.4,0.7,7355,104,1,3,0
5033,0.0,0.0,0,0,0,0,0
5035,1.4,0.8,12452,78,1,4,0
5037,0.0,0.0,0,0,0,0,0
5039,0.0,0.0,0,0,0,0,0
5041,0.0,0.0,0,0,0,0,0
5043,0.0,0.0,0,0,0,0,0
5045,0.0,0.0,0,0,0,0,0
5047,0.0,0.0,0,0,0,0,0
5049,0.0,0.0,0,0,0,0,1
5051,0.9,0.5,4597,57,1,2,0
5053,0.0,0.0,0,0,0,0,0
5055,0.0,0.0,0,0,0,0,0
5057,0.3,0.2,0,5,0,0,0
5059,0.3,0.2,12,3,0,0,0
5061,0.0,0.0,0,0,0,0,1
5063,0.0,0.0,0,0,0,0,0
5065,0.0,0.0,0,0,0,0,0
5067,0.0,0.0,0,0,0,0,0
5069,0.0,0.0,0,0,0,0,0
5071,0.0,0.0,0,0,0,0,0
5073,0.0,0.0,0,0,0,0,0
5075,0.3,0.2,0,4,0,0,0
5077,0.0,0.0,0,0,0,0,0
5079,0.0,0.0,0,0,0,0,0
5081,0.0,0.0,0,0,0,0,0
5083,0.0,0.0,0,0,0,0,0
5085,0.0,0.0,0,0,0,0,0
5087,0.0,0.0,0,0,0,0,0
5089,0.0,0.0,0,0,0,0,0
5091,1.4,0.7,8913,94,2,7,0
5093,0.0,0.0,0,0,0,0,0
5095,0.0,0.0,0,0,0,0,0
5097,0.0,0.0,0,0,0,0,0
5099,0.0,0.0,0,0,0,0,0
5101,0.0,0.0,0,0,0,0,0
5103,0.0,0.0,0,0,0,0,0
5105,0.0,0.0,0,0,0,0,0
5107,0.0,0.0,0,0,0,0,0
5109,0.0,0.0,0,0,0,0,0
5111,0.0,0.0,0,0,0,0,0
5113,0.0,0.0,0,0,0,0,0
5115,0.0,0.0,0,0,0,0,0
5117,0.0,0.0,0,0,0,0,0
5119,2.3,1.4,69678,222,2,19,1
5121,0.0,0.0,0,0,0,0,0
5123,0.0,0.0,0,0,0,0,0
5125,0.0,0.0,0,0,0,0,0
5127,0.0,0.0,0,0,0,0,0
5129,0.0,0.0,0,0,0,0,0
5131,1.4,0.8,11216,70,1,5,0
5133,0.0,0.0,0,0,0,0,0
5135,0.0,0.0,0,0,0,0,0
5137,0.0,0.0,0,0,0,0,0
5139,0.0,0.0,0,0,0,0,0
5141,0.0,0.0,0,0,0,0,0
5143,2.5,1.5,20706,565,6,9,0
5145,0.0,0.0,0,0,0,0,0
5147,0.0,0.0,0,0,0,0,1
5149,0.0,0.0,0,0,0,0,0
6001,7.1,8.9,222025,2682,10,32,15
6003,0.0,0.0,0,0,0,0,0
6005,0.8,0.3,2268,66,2,4,0
6007,2.9,1.7,28092,478,5,13,1
6009,0.6,0.1,972,51,1,1,1
6011,0.0,0.0,0,0,0,0,0
6013,5.0,4.0,91167,1068,7,26,11
6015,2.1,1.1,4316,220,4,7,0
6017,1.3,0.6,5406,134,2,3,1
6019,3.2,2.1,48607,611,3,16,1
6021,0.0,0.0,0,0,0,0,0
6023,2.1,1.1,12880,198,3,6,2
6025,0.1,0.0,803,3,0,0,0
6027,0.4,0.1,216,27,1,1,1
6029,3.1,1.9,26813,552,3,12,0
6031,3.0,0.8,9939,450,7,7,0
6033,1.8,0.9,3318,174,2,7,1
6035,0.9,0.4,1638,51,2,3,0
6037,6.8,8.0,321664,2608,8,46,6
6039,1.2,0.6,6065,101,2,2,0
6041,4.8,3.6,79497,1153,10,17,10
6043,0.4,0.1,7938,52,0,5,2
6045,1.6,0.8,6309,142,2,4,0
6047,2.4,1.5,11658,268,4,7,1
6049,0.3,0.1,100,8,0,0,0
6051,3.5,1.9,2830,1178,6,3,21
6053,4.2,2.4,33243,870,6,16,1
6055,3.3,2.0,21478,475,4,7,1
6057,1.2,0.5,5333,105,2,4,1
6059,4.2,2.7,172595,528,4,32,2
6061,2.0,0.9,22351,184,3,7,1
6063,0.7,0.2,859,45,1,2,0
6065,3.3,2.0,27262,589,3,13,1
6067,4.8,4.1,93403,729,6,22,2
6069,1.7,1.0,4149,110,2,3,0
6071,4.4,3.1,44660,1098,3,17,1
6073,5.3,5.1,82735,1358,4,19,3
6075,9.6,31.7,653730,11896,26,37,36
6077,3.0,1.8,33035,373,5,12,1
