,FIPS,Geographic Area Name,Total population,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),Under 18 years,16 years and over,18 years and over,21 years and over,62 years and over,65 years and over,18 years and over.1,18 years and over!!Male,18 years and over!!Female,65 years and over.1,65 years and over!!Male,65 years and over!!Female,Total population,One race,Two or more races,One race.1,Race_1 White,Race_1 Black or African American,Margin of Error!!Race_1 Black or African American,Race_1 American Indian and Alaska Native,Race_1 American Indian and Alaska Native!!Cherokee tribal grouping,Race_1 American Indian and Alaska Native!!Chippewa tribal grouping,Race_1 American Indian and Alaska Native!!Navajo tribal grouping,Race_1 American Indian and Alaska Native!!Sioux tribal grouping,Race_1 Asian,Race_1 Asian!!Asian Indian,Race_1 Asian!!Chinese,Race_1 Asian!!Filipino,Race_1 Asian!!Japanese,Race_1 Asian!!Korean,Race_1 Asian!!Vietnamese,Race_1 Asian!!Other Asian,Race_1 Native Hawaiian and Other Pacific Islander,Race_1 Native Hawaiian and Other Pacific Islander!!Native Hawaiian,Race_1 Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro,Race_1 Native Hawaiian and Other Pacific Islander!!Samoan,Race_1 Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,Race_1 Some other race,Two or more races.1,Race_2+ White and Black or African American,Race_2+ White and American Indian and Alaska Native,Race_2+ White and Asian,Race_2+ Black or African American and American Indian and Alaska Native,Race_Total Total population,Race_Total White,Race_Total Black or African American,Race_Total American Indian and Alaska Native,Race_Total Asian,Race_Total Native Hawaiian and Other Pacific Islander,Race_Total Some other race,Hispanic: Total population,Hispanic: Hispanic or Latino (of any race),Hispanic: Hispanic or Latino (of any race)!!Mexican,Hispanic: Hispanic or Latino (of any race)!!Puerto Rican,Hispanic: Hispanic or Latino (of any race)!!Cuban,Hispanic: Hispanic or Latino (of any race)!!Other Hispanic or Latino,Hispanic: Not Hispanic or Latino,Hispanic: Not Hispanic or Latino!!White alone,Hispanic: Not Hispanic or Latino!!Black or African American alone,Hispanic: Not Hispanic or Latino!!American Indian and Alaska Native alone,Hispanic: Not Hispanic or Latino!!Asian alone,Hispanic: Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Hispanic: Not Hispanic or Latino!!Some other race alone,Hispanic: Not Hispanic or Latino!!Two or more races,Hispanic: Not Hispanic or Latino!!Race_2+ Two races including Some other race,"Hispanic: Not Hispanic or Latino!!Race_2+ Two races excluding Some other race, and Three or more races",Total housing units
0,1103,"Morgan County, Alabama",119089,59216,59873,6941,8123,7325,7903,7421,13754,14793,15950,7894,8521,12050,5867,2547,40.7,27098,95485,91991,87590,25752,20464,91991,44401,47590,20464,8649,11815,119089,117595,1494,117595,91390,17107,795,327,N,N,N,N,613,N,N,N,N,N,N,N,0,N,N,N,N,8158,1494,538,331,434,0,119089,92884,17794,807,1047,N,8200,119089,10067,N,N,N,N,109022,89588,16962,279,613,0,86,1494,42,1452,52284
1,6031,"Kings County, California",151366,83591,67775,10990,11819,11672,10792,11790,25319,21572,17598,8863,5538,8751,5250,1412,32.0,40773,114798,110593,103531,19049,15413,110593,62677,47916,15413,7012,8401,151366,145868,5498,145868,96634,10428,1396,1502,N,N,N,N,6833,N,N,N,N,N,N,N,273,N,N,N,N,30198,5498,1676,1188,767,12,151366,101386,12375,2931,8058,615,31573,151366,83200,80586,276,62,2276,68166,47706,9286,1046,6683,67,370,3008,13,2995,46649
2,6053,"Monterey County, California",435594,221011,214583,30774,31438,33757,30063,31653,61898,57220,51007,24421,23872,34393,16735,8363,34.7,114103,333147,321491,302080,74816,59491,321491,163335,158156,59491,27073,32418,435594,419461,16133,419461,205303,11753,1233,6540,N,N,N,N,25748,2492,4024,9335,1964,3596,2964,1373,2232,554,577,86,1015,167885,16133,2149,2363,4499,18,435594,218580,15458,9383,34939,5405,171031,435594,257572,239028,2875,566,15103,178022,128610,10904,1019,24563,2138,47,10741,323,10418,142414
3,6057,"Nevada County, California",99696,48808,50888,3931,4439,6037,4260,3523,9913,11461,11607,7941,8838,17493,7101,3152,50.5,17079,84536,82617,80575,33053,27746,82617,40029,42588,27746,12775,14971,99696,95778,3918,95778,91285,534,381,345,N,N,N,N,1249,N,N,N,N,N,N,N,158,N,N,N,N,2207,3918,23,1865,1390,0,99696,95203,825,2522,3066,N,2420,99696,9644,N,N,N,N,90052,84666,534,258,1249,158,0,3187,0,3187,54264
4,6089,"Shasta County, California",180040,88679,91361,9933,11842,10347,10511,10406,22402,20206,20670,12905,13791,21481,11594,3952,41.5,38584,145037,141456,135347,45457,37027,141456,68699,72757,37027,16941,20086,180040,172328,7712,172328,153562,2080,585,4384,N,N,N,N,5654,981,501,626,141,482,1380,1543,341,N,N,N,N,6307,7712,1160,3914,851,0,180040,160377,3596,8371,7381,1058,7172,180040,18560,14681,439,48,3392,161480,142589,2035,3662,5654,332,410,6798,269,6529,79187
5,6115,"Yuba County, California",78041,39819,38222,5920,5294,6460,5556,5223,12263,9488,8455,4392,5607,5796,2558,1029,33.8,21261,59048,56780,54188,12898,9383,56780,28463,28317,9383,4222,5161,78041,72780,5261,72780,60004,2132,717,1513,N,N,N,N,5721,N,N,N,N,N,N,N,1025,N,N,N,N,2385,5261,1581,1603,249,234,78041,64633,4742,3644,6229,1458,3252,78041,22428,N,N,N,N,55613,42283,2090,1010,5626,1025,0,3579,232,3347,28688
6,8035,"Douglas County, Colorado",342776,171478,171298,20193,23925,27069,25916,17236,38066,51438,55309,24119,19583,25884,10289,3749,39.1,88978,266177,253798,243957,50477,39922,253798,125272,128526,39922,18482,21440,342776,332544,10232,332544,305784,5180,965,1497,N,N,N,N,16299,6139,3362,1998,464,1100,1495,1741,87,N,N,N,N,3697,10232,977,1507,5501,86,342776,314710,6430,3651,23122,N,5268,342776,30763,20232,2287,1716,6528,312013,280060,5099,1065,15885,87,1279,8538,636,7902,128744
7,9001,"Fairfield County, Connecticut",943823,459662,484161,51774,55583,65106,65626,59920,107630,117323,138237,69219,63581,82023,45911,21890,40.8,211990,758754,731833,695465,187586,149824,731833,351628,380205,149824,64953,84871,943823,913246,30577,913246,672515,108358,3869,2417,N,N,N,N,52072,21819,13491,2402,1691,2539,2197,7933,494,N,N,N,N,77390,30577,12540,1728,6481,221,943823,699201,124714,6113,60454,840,85066,943823,190436,20503,55886,4138,109909,753387,576736,100240,1309,51812,244,5243,17803,1521,16282,374480
8,10001,"Kent County, Delaware",178550,85805,92745,10932,10379,12757,12428,11898,23990,20496,22390,12665,10803,17338,9494,2980,38.1,40645,141800,137905,129791,36324,29812,137905,65216,72689,29812,13200,16612,178550,169594,8956,169594,116529,45522,1826,1556,N,N,N,N,4144,N,N,N,N,N,N,N,106,N,N,N,N,1737,8956,4504,829,1229,472,178550,124330,52096,3845,6016,N,2301,178550,13193,2631,5215,572,4775,165357,108519,43778,729,4071,30,283,7947,27,7920,73086
9,10003,"New Castle County, Delaware",559335,271116,288219,32177,31169,35953,36653,36356,81197,69112,74341,39316,35968,51061,25867,10165,38.4,120253,453995,439082,413065,108428,87093,439082,210239,228843,87093,37820,49273,559335,546143,13192,546143,353694,144954,2929,1512,N,N,N,N,31543,14169,6531,2233,471,1356,2134,4649,357,N,N,N,N,14083,13192,5447,774,3011,722,559335,365076,152997,3623,35393,459,16030,559335,57481,25765,17356,653,13707,501854,317314,140207,1415,31468,357,187,10906,790,10116,224481
