,County,Mask Required,Number of Hospitals,HCP_Total_Number_Vaccinated,HCP_Total_Number_Working,HCP_Percent_Vaccinated,Emp_Number_Vaccinated,Emp_Number_Working,Emp_Percent_Vaccinated,Cont_Number_Vaccinated,Cont_Number_Working,Cont_Percent_Vaccinated,Lip_Number_Vaccinated,Lip_Number_Working,Lip_Percent_Vaccinated,StudVol_Number_Vaccinated,StudVol_Number_Working,StudVol_Percent_Vaccinated,On Track to Achieve 90% by 2020 (>=87% in 2018-19),FIPS
0,Alameda,Yes,15,29836.0,34209.0,87.0,20588.0,23710.0,87.0,1228.0,1459.0,84.0,5386.0,6126.0,88.0,2634.0,2914.0,90.0,Yes,6001
1,Amador,Yes,1,538.0,625.0,86.0,375.0,429.0,87.0,45.0,74.0,61.0,58.0,59.0,98.0,60.0,63.0,95.0,No,6005
2,Butte,Yes,4,5907.0,7325.0,81.0,4891.0,5774.0,85.0,300.0,533.0,56.0,287.0,461.0,62.0,429.0,557.0,77.0,No,6007
3,Calaveras,Yes,1,361.0,392.0,92.0,275.0,305.0,90.0,0.0,0.0,,46.0,47.0,98.0,40.0,40.0,100.0,Yes,6009
4,Contra Costa,Yes,8,21585.0,25197.0,86.0,15106.0,17679.0,85.0,1029.0,1395.0,74.0,3346.0,3778.0,89.0,2104.0,2345.0,90.0,No,6013
5,Del Norte,No,1,468.0,511.0,92.0,393.0,412.0,95.0,0.0,0.0,,48.0,68.0,71.0,27.0,31.0,87.0,Yes,6015
6,El Dorado,Yes,2,3079.0,3432.0,90.0,2499.0,2744.0,91.0,39.0,39.0,100.0,340.0,397.0,86.0,201.0,252.0,80.0,Yes,6017
7,Fresno,Yes,9,19240.0,22314.0,86.0,13398.0,14771.0,91.0,285.0,407.0,70.0,3968.0,5440.0,73.0,1589.0,1696.0,94.0,No,6019
8,Glenn,No,1,,,,,,,,,,,,,,,,,6021
9,Humboldt,Yes,5,2605.0,2885.0,90.0,1878.0,2096.0,90.0,170.0,182.0,93.0,302.0,341.0,89.0,255.0,266.0,96.0,Yes,6023
10,Imperial,No,2,2637.0,2982.0,88.0,1863.0,1996.0,93.0,208.0,231.0,90.0,198.0,366.0,54.0,368.0,389.0,95.0,Yes,6025
11,Inyo,No,2,664.0,683.0,97.0,495.0,506.0,98.0,56.0,60.0,93.0,71.0,73.0,97.0,42.0,44.0,95.0,Yes,6027
12,Kern,Yes,12,14430.0,18469.0,78.0,9365.0,11160.0,84.0,1580.0,2184.0,72.0,1596.0,2684.0,59.0,1889.0,2441.0,77.0,No,6029
13,Kings,No,1,2218.0,2495.0,89.0,1758.0,1991.0,88.0,0.0,0.0,,240.0,271.0,89.0,220.0,233.0,94.0,Yes,6031
14,Lake,Yes,2,471.0,572.0,82.0,345.0,383.0,90.0,19.0,45.0,42.0,53.0,84.0,63.0,54.0,60.0,90.0,No,6033
15,Lassen,No,1,230.0,241.0,95.0,182.0,191.0,95.0,0.0,0.0,,48.0,50.0,96.0,0.0,0.0,,Yes,6035
