FIPS,Total population,Male,Female,Under 5 years,5 to 9 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),16 years and over,18 years and over,62 years and over,65 years and over,18 years and over!!Male,18 years and over!!Female,65 years and over!!Male,65 years and over!!Female,One race,Two or more races,Exclusively White,Exclusively Black or African American,Margin of Error!!Exclusively Black or African American,Exclusively American Indian and Alaska Native,Exclusively American Indian and Alaska Native!!Cherokee tribal grouping,Exclusively American Indian and Alaska Native!!Chippewa tribal grouping,Exclusively American Indian and Alaska Native!!Navajo tribal grouping,Exclusively American Indian and Alaska Native!!Sioux tribal grouping,Exclusively Asian,Exclusively Asian!!Asian Indian,Exclusively Asian!!Chinese,Exclusively Asian!!Filipino,Exclusively Asian!!Japanese,Exclusively Asian!!Korean,Exclusively Asian!!Vietnamese,Exclusively Asian!!Other Asian,Exclusively Native Hawaiian and Other Pacific Islander,Exclusively Native Hawaiian and Other Pacific Islander!!Native Hawaiian,Exclusively Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro,Exclusively Native Hawaiian and Other Pacific Islander!!Samoan,Exclusively Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,Exclusively Some other race,Interracial White and Black or African American,Interracial White and American Indian and Alaska Native,Interracial White and Asian,Interracial Black or African American and American Indian and Alaska Native,Total White,Total Black or African American,Total American Indian and Alaska Native,Total Asian,Total Native Hawaiian and Other Pacific Islander,Total Some other race,Hispanic or Latino (of any race),Hispanic or Latino (of any race)!!Mexican,Hispanic or Latino (of any race)!!Puerto Rican,Hispanic or Latino (of any race)!!Cuban,Hispanic or Latino (of any race)!!Other Hispanic or Latino,Not Hispanic or Latino,Not Hispanic or Latino!!White alone,Not Hispanic or Latino!!Black or African American alone,Not Hispanic or Latino!!American Indian and Alaska Native alone,Not Hispanic or Latino!!Asian alone,Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino!!Some other race alone,Not Hispanic or Latino!!Two or more races,Not Hispanic or Latino!!Interracial Two races including Some other race,"Not Hispanic or Latino!!Interracial Two races excluding Some other race, and Three or more races",Total housing units
1003,218022,105437,112585,10878,9445,10426,23498,25990,30117,16569,15074,27152,13464,3827,44.0,176222,170866,53676,44443,81046,89820,20457,23986,214558,3464,187759,20554,446,1276,0,0,0,0,2338,0,0,0,0,0,0,0,45,0,0,0,0,2586,227,2100,739,0,191157,20781,3442,3143,0,2798,10132,5148,1543,321,3120,207890,180926,20328,1209,2338,45,148,2896,127,2769,116632
1015,114277,55054,59223,7142,7158,7451,16273,12608,13616,8305,7855,12240,6514,1761,40.1,93284,89793,24963,20515,42655,47138,8619,11896,111498,2779,85046,24737,642,107,0,0,0,0,426,0,0,0,0,0,0,0,0,0,0,0,0,1182,487,304,767,26,87105,25595,489,1594,0,2024,4469,0,0,0,0,109808,82308,24737,107,426,0,0,2230,293,1937,53888
1043,83442,40794,42648,5329,4798,4500,10274,10131,10843,5407,6123,9116,5570,855,40.6,66680,64550,18429,15541,31490,33060,7048,8493,81383,2059,78643,906,335,301,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,1367,0,0,0,0,80522,1246,1210,903,0,1702,3699,0,0,0,0,79743,0,0,0,0,0,0,0,0,0,38029
1049,71385,35048,36337,3989,3851,4176,8645,8261,9548,4533,4921,7377,3342,1542,39.5,57239,54240,15204,12261,26083,28157,5423,6838,70116,1269,60157,1335,201,868,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,7583,0,0,0,0,61426,1348,1722,588,0,7583,10595,0,0,0,0,60790,57199,1335,814,173,0,0,1269,0,1269,31656
1051,81887,39988,41899,5246,4443,4847,12140,10087,11642,5364,5261,7550,3764,985,38.4,65407,63325,15329,12299,30034,33291,5538,6761,79941,1946,60622,17113,1682,345,0,0,0,0,522,0,0,0,0,0,0,0,0,0,0,0,0,1339,0,0,0,0,62491,18388,838,707,0,1395,2467,0,0,0,0,79420,59771,16836,345,522,0,0,1946,56,1890,34416
1055,102501,48830,53671,6130,6712,7116,12260,12232,13422,5946,7877,11519,5919,2194,41.3,82575,80469,24397,19632,38016,42453,8411,11221,100768,1733,81129,17474,1256,209,0,0,0,0,862,0,0,0,0,0,0,0,0,0,0,0,0,1094,0,0,0,0,82862,18369,755,944,0,1476,4116,0,0,0,0,98385,79629,16401,60,862,0,0,1433,0,1433,47847
1069,104722,50400,54322,6412,6290,6223,13763,12633,13289,6694,7020,11027,5909,1854,40.2,83421,80601,22958,18790,37820,42781,8075,10715,102780,1942,72687,29214,471,66,0,0,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0,113,833,276,265,21,74364,30168,701,1406,0,264,3600,2181,472,200,747,101122,69413,29136,53,700,0,37,1783,110,1673,47805
1073,659300,312159,347141,41749,42651,41548,95714,84162,80533,41326,45488,61976,31130,11594,38.2,527740,509753,131563,104700,235778,273975,43526,61174,646626,12674,341227,282596,2292,1786,0,0,0,0,9564,3613,1844,697,351,1246,272,1541,724,0,0,0,0,10729,4822,1686,2369,952,351092,288682,4517,13687,1100,12896,26246,18305,1845,665,5431,633054,326993,281806,1456,9564,724,972,11539,1259,10280,309579
1077,92387,45646,46741,4920,4433,7145,11317,10100,11718,7136,5713,10360,5897,2162,41.1,76012,74511,22017,18419,35246,39265,8073,10346,91238,1149,80452,9614,234,89,0,0,0,0,667,0,0,0,0,0,0,0,133,0,0,0,0,283,160,714,151,0,81601,9825,803,869,0,356,2644,0,0,0,0,89743,78080,9614,89,667,133,84,1076,0,1076,45468
1081,163941,80832,83109,8755,7948,22390,21562,18918,19737,8274,9275,13335,4776,1776,32.1,132509,129146,25145,19887,62885,66261,9011,10876,161317,2624,115009,38323,1324,453,0,0,0,0,6950,0,0,0,0,0,0,0,0,0,0,0,0,582,879,470,567,224,117409,39531,1147,7622,0,868,6164,2282,2000,212,1670,157777,110621,37482,453,6950,0,0,2271,0,2271,70372
