FIPS,01/01/20,01/02/20,01/03/20,01/04/20,01/05/20,01/06/20,01/07/20,01/08/20,01/09/20,01/10/20,01/11/20,01/12/20,01/13/20,01/14/20,01/15/20,01/16/20,01/17/20,01/18/20,01/19/20,01/20/20,01/21/20,01/22/20,01/23/20,01/24/20,01/25/20,01/26/20,01/27/20,01/28/20,01/29/20,01/30/20,01/31/20,02/01/20,02/02/20,02/03/20,02/04/20,02/05/20,02/06/20,02/07/20,02/08/20,02/09/20,02/10/20,02/11/20,02/12/20,02/13/20,02/14/20,02/15/20,02/16/20,02/17/20,02/18/20,02/19/20,02/20/20,02/21/20,02/22/20,02/23/20,02/24/20,02/25/20,02/26/20,02/27/20,02/28/20,02/29/20,03/01/20,03/02/20,03/03/20,03/04/20,03/05/20,03/06/20,03/07/20,03/08/20,03/09/20,03/10/20,03/11/20,03/12/20,03/13/20,03/14/20,03/15/20,03/16/20,03/17/20,03/18/20,03/19/20,03/20/20,03/21/20,03/22/20,03/23/20,03/24/20,03/25/20,03/26/20,03/27/20,03/28/20,03/29/20,03/30/20,03/31/20,04/10/20,04/11/20,04/12/20
1003,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,,,,,,,,,,,,,,,18.5,,,,,,,,,,22.0,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,,,,,,,,,,,,,,,2.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,,,,,,,,,,0.0,,,,,0.0,,,,,,,23.0,0.6666666666666666,0.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,825.0,256.25,481.25,1043.75,1180.0,1087.5,900.0,275.0,875.0,,,,,,1566.6666666666667,1893.75,2137.5,1012.5,1118.75,525.0,1131.25,335.7142857142857,358.3333333333333,1275.0,1406.6666666666667,1393.3333333333333,566.6666666666666,1093.3333333333333,460.0,700.0,887.5,700.0,680.0,412.5,360.0,406.6666666666667,433.3333333333333,593.3333333333334,406.6666666666667,487.5,813.3333333333334,300.0,118.75,407.6923076923077,1185.7142857142858,146.66666666666666,893.3333333333334,318.75,273.3333333333333,350.0,312.5,786.6666666666666,420.0,106.66666666666667,1100.0,1368.75,343.75,1085.7142857142858,1368.75,681.25,143.75,856.25,230.76923076923077,235.71428571428572,100.0,1086.6666666666667,143.75,120.0,380.0,125.0,725.0,950.0,1040.0,823.0769230769231,625.0,761.5384615384615,575.0,206.25,262.5,681.25,356.25,175.0,786.6666666666666,587.5,606.25,412.5,312.5,112.5,218.75,506.25,450.0,493.75,387.5,270.0
2068,,,,,,,,,,,,,,,38.0,,,,,,,,,,38.0,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2090,281.25,325.0,873.3333333333334,456.25,431.25,653.3333333333334,562.5,692.3076923076923,826.6666666666666,,,,,,533.6666666666666,640.0,837.5,526.6666666666666,681.25,718.75,281.8181818181818,326.9166666666667,491.1,65.0,355.90909090909093,788.8888888888889,342.85714285714283,380.0,400.0,312.5,231.25,387.5,414.2857142857143,712.5,566.6666666666666,645.4545454545455,200.5,353.3333333333333,421.42857142857144,337.5,257.14285714285717,300.0,200.0,243.42857142857142,518.1818181818181,420.0,393.3333333333333,473.3333333333333,466.6666666666667,323.0769230769231,487.5,420.0,307.14285714285717,106.66666666666667,400.0,633.3333333333334,606.25,660.6,250.0,475.0,281.25,120.0,384.61538461538464,550.0,493.3333333333333,620.0,375.0,413.3333333333333,271.42857142857144,120.0,539.3846153846154,331.25,360.0,350.0,287.5,194.0625,466.6666666666667,287.5,287.5,200.0,156.25,100.0,,,200.0,120.0,156.25,118.75,100.0,212.5,100.0,200.0,225.0,300.0
4001,,,,,,,,,,,,,,,37.0,,,,,,,,,,16.0,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4003,,,,,,,,,,,,,,,41.5,,,,,,,,,,30.0,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
