,staffed_beds,licensed_beds,icu_beds,FIPS
16,55,85,6,1001
17,362,410,44,1003
18,30,74,5,1005
19,25,35,0,1007
20,25,40,6,1009
21,30,61,0,1011
22,44,72,7,1013
23,413,486,24,1015
24,0,115,0,1017
25,45,60,0,1019
26,26,30,6,1021
27,25,25,0,1023
28,56,85,0,1025
29,46,53,4,1027
30,99,131,7,1031
31,300,363,22,1033
32,44,58,0,1035
33,128,187,13,1039
34,57,93,0,1041
35,185,185,12,1043
36,77,89,6,1045
37,109,175,23,1047
38,97,134,12,1049
39,70,138,5,1051
40,95,142,14,1053
41,590,739,40,1055
42,45,61,8,1057
43,74,125,7,1059
44,73,83,6,1061
45,20,20,0,1063
46,28,39,0,1065
47,769,782,66,1069
48,92,170,10,1071
49,3945,4750,281,1073
50,233,358,36,1077
51,43,98,6,1079
52,372,314,20,1081
53,97,102,10,1083
54,143,143,0,1087
55,1280,1241,58,1089
56,37,99,5,1091
57,97,120,8,1093
58,240,240,20,1095
59,1490,1929,76,1097
60,49,94,8,1099
61,1018,1226,58,1101
62,320,393,23,1103
63,97,97,9,1109
64,15,0,0,1111
65,105,128,8,1113
66,40,40,6,1115
67,246,286,32,1117
68,33,33,0,1119
69,207,285,14,1121
70,80,127,6,1123
71,981,1087,52,1125
72,207,267,12,1127
73,15,25,0,1129
74,21,30,0,1131
75,49,59,4,1133
0,1077,1014,60,2020
1,34,50,0,2050
2,16,16,0,2070
3,145,152,13,2090
4,45,73,9,2110
5,76,77,6,2122
6,25,25,4,2130
7,24,25,0,2150
8,74,74,14,2170
9,18,18,0,2180
10,20,14,0,2185
11,17,17,0,2188
13,25,27,0,2220
14,24,24,0,2261
12,12,12,0,2280
15,8,8,0,2280
130,162,50,0,4001
131,135,160,12,4003
132,396,381,41,4005
133,58,196,8,4007
134,49,49,0,4009
135,42,42,3,4012
136,10040,10105,715,4013
137,551,610,80,4015
138,176,170,12,4017
139,3108,3206,287,4019
140,262,214,24,4021
141,25,25,0,4023
142,374,364,39,4025
143,447,51,42,4027
76,74,74,0,5001
77,25,33,6,5003
78,170,268,17,5005
79,439,524,30,5007
80,120,174,24,5009
81,25,33,0,5011
82,40,40,0,5015
83,35,25,0,5017
84,25,25,0,5019
85,25,25,0,5021
86,25,25,0,5023
87,30,49,6,5027
88,25,25,0,5029
89,553,666,66,5031
90,35,103,8,5033
91,63,52,0,5035
92,15,25,0,5037
93,22,25,0,5039
94,50,50,0,5041
95,49,49,5,5043
96,355,371,25,5045
97,25,25,0,5047
98,25,25,0,5049
99,423,522,41,5051
100,114,129,8,5055
101,67,0,8,5057
102,64,72,6,5059
103,20,20,0,5061
104,184,224,12,5063
105,25,25,0,5065
106,133,133,0,5067
107,271,471,34,5069
108,57,90,8,5071
109,25,25,0,5075
110,25,25,0,5081
111,40,41,0,5083
112,50,62,0,5091
113,124,25,5,5093
114,82,98,8,5103
115,127,155,6,5107
116,41,65,6,5113
117,137,170,11,5115
118,3570,3887,144,5119
119,32,50,2,5121
120,56,118,6,5123
121,207,257,16,5125
122,24,24,0,5127
123,803,983,69,5131
124,25,25,0,5137
125,111,166,16,5139
126,25,25,0,5141
127,900,1083,61,5143
128,465,465,13,5145
129,55,66,0,5149
144,3633,2939,323,6001
145,52,52,6,6005
146,471,157,43,6007
147,25,48,0,6009
148,1636,1624,163,6013
149,39,49,6,6015
150,189,174,28,6017
151,3056,1750,141,6019
152,15,47,0,6021
153,233,260,20,6023
154,268,268,28,6025
155,29,29,4,6027
156,1618,1330,137,6029
157,142,173,22,6031
158,50,62,8,6033
159,25,38,0,6035
160,22916,21234,2004,6037
161,464,464,52,6039
162,441,441,30,6041
163,18,18,0,6043
164,161,142,14,6045
165,242,226,24,6047
166,20,20,0,6049
167,17,17,2,6051
168,709,747,47,6053
169,318,359,48,6055
170,129,139,10,6057
171,5985,5134,629,6059
172,693,732,70,6061
173,42,44,0,6063
174,3564,3583,365,6065
175,3530,2843,262,6067
176,49,49,8,6069
177,6383,3628,350,6071
178,7504,6861,540,6073
179,2947,2397,293,6075
180,1334,1192,110,6077
181,1685,451,54,6079
182,2161,1600,110,6081
183,631,815,62,6083
184,4395,3805,283,6085
185,354,358,22,6087
186,571,581,81,6089
187,50,61,8,6093
188,1006,678,92,6095
189,824,732,82,6097
190,1380,1378,74,6099
191,30,14,0,6101
192,65,76,8,6103
193,25,25,0,6105
194,746,624,65,6107
195,84,140,6,6109
196,1456,1371,153,6111
197,125,125,14,6113
198,149,221,24,6115
199,1362,1434,161,8001
200,49,49,6,8003
201,1156,1329,127,8005
202,11,11,0,8007
203,15,23,0,8009
204,665,816,66,8013
205,92,100,20,8014
206,25,25,2,8015
207,11,25,0,8017
208,17,17,0,8021
209,49,49,6,8029
210,2030,2040,208,8031
211,691,611,54,8035
212,56,56,5,8037
213,1497,921,91,8041
214,25,25,4,8043
215,53,103,5,8045
216,23,25,0,8049
217,20,24,0,8051
218,16,20,0,8055
219,496,653,46,8059
220,25,25,0,8061
221,19,19,0,8063
