,fips,pclon10,pclat10
0,1001,-86.494165,32.500389
1,1003,-87.762381,30.548923
2,1005,-85.310038,31.844036
3,1007,-87.127659,33.030921
4,1009,-86.591491,33.955242999999996
5,1011,-85.701192,32.116327000000005
6,1013,-86.65355,31.773539000000003
7,1015,-85.81944200000001,33.72546
8,1017,-85.266474,32.860439
9,1019,-85.629194,34.179333
10,1021,-86.68740600000001,32.877547
11,1023,-88.26416400000001,32.016562
12,1025,-87.815673,31.685685
13,1027,-85.820227,33.272412
14,1029,-85.494315,33.62977
15,1031,-85.904715,31.354433
16,1033,-87.685151,34.723385
17,1035,-86.996483,31.418674
18,1037,-86.155035,32.975932
19,1039,-86.410955,31.282449
20,1041,-86.29708000000001,31.743487
21,1043,-86.831859,34.162362
22,1045,-85.641269,31.383346000000003
23,1047,-87.03495500000001,32.408815000000004
24,1049,-85.817208,34.45511
25,1051,-86.225647,32.559652
26,1053,-87.282053,31.088737
27,1055,-86.02539300000001,34.013692999999996
28,1057,-87.77035500000001,33.726422
29,1059,-87.793594,34.460481
30,1061,-85.788849,31.09426
31,1063,-87.92399999999999,32.830505
32,1065,-87.62608399999999,32.775804
33,1067,-85.268828,31.478593
34,1069,-85.391221,31.20455
35,1071,-85.938698,34.731984000000004
36,1073,-86.814688,33.518601000000004
37,1075,-88.109649,33.762769
38,1077,-87.60875899999999,34.866178999999995
39,1079,-87.272414,34.543683
40,1081,-85.345833,32.588091999999996
41,1083,-86.93897199999999,34.815612
42,1085,-86.618688,32.162415
43,1087,-85.715007,32.425739
44,1089,-86.613232,34.746392
45,1091,-87.800648,32.340478999999995
46,1093,-87.8743,34.111796999999996
47,1095,-86.293279,34.311974
48,1097,-88.170637,30.683993
49,1099,-87.36089399999999,31.505611
50,1101,-86.243797,32.346175
51,1103,-86.93078100000001,34.514252
52,1105,-87.369219,32.581066
53,1107,-88.06647199999999,33.292972999999996
54,1109,-85.948647,31.787277000000003
55,1111,-85.427266,33.257607
56,1113,-85.062843,32.421972
