,FIPS,hospitals,staffed_beds,licensed_beds,icu_beds_Pre,icu_beds_Post
0,1001,1,55.0,85.0,6.0,6
1,1003,3,362.0,410.0,44.0,51
2,1005,1,30.0,74.0,5.0,5
3,1007,1,25.0,35.0,0.0,0
4,1009,1,25.0,40.0,6.0,6
5,1011,1,30.0,61.0,0.0,0
6,1013,1,44.0,72.0,7.0,7
7,1015,2,413.0,486.0,24.0,24
8,1017,0,0.0,115.0,0.0,0
9,1019,1,45.0,60.0,0.0,0
10,1021,1,26.0,30.0,6.0,6
11,1023,1,25.0,25.0,0.0,0
12,1025,2,56.0,85.0,0.0,0
13,1027,1,46.0,53.0,4.0,4
15,1031,1,99.0,131.0,7.0,7
16,1033,2,300.0,363.0,22.0,22
17,1035,1,44.0,58.0,0.0,0
19,1039,2,128.0,187.0,13.0,13
20,1041,1,57.0,93.0,0.0,0
21,1043,1,185.0,185.0,12.0,12
22,1045,1,77.0,89.0,6.0,6
23,1047,1,109.0,175.0,23.0,18
24,1049,1,97.0,134.0,12.0,12
25,1051,2,70.0,138.0,5.0,5
26,1053,2,95.0,142.0,14.0,14
27,1055,2,590.0,739.0,40.0,56
28,1057,2,45.0,61.0,8.0,12
29,1059,2,74.0,125.0,7.0,7
30,1061,1,73.0,83.0,6.0,6
31,1063,1,20.0,20.0,0.0,0
32,1065,1,28.0,39.0,0.0,0
34,1069,2,769.0,782.0,66.0,66
35,1071,1,92.0,170.0,10.0,10
36,1073,8,3945.0,4750.0,281.0,471
38,1077,1,233.0,358.0,36.0,48
39,1079,1,43.0,98.0,6.0,6
40,1081,1,372.0,314.0,20.0,28
41,1083,1,97.0,102.0,10.0,10
43,1087,0,143.0,143.0,0.0,0
44,1089,2,1280.0,1241.0,58.0,100
45,1091,1,37.0,99.0,5.0,5
46,1093,1,97.0,120.0,8.0,4
47,1095,1,240.0,240.0,20.0,20
48,1097,4,1490.0,1929.0,76.0,157
49,1099,1,49.0,94.0,8.0,8
50,1101,3,1018.0,1226.0,58.0,88
51,1103,1,320.0,393.0,23.0,34
54,1109,1,97.0,97.0,9.0,9
55,1111,1,15.0,0.0,0.0,0
56,1113,1,105.0,128.0,8.0,8
57,1115,1,40.0,40.0,6.0,6
58,1117,1,246.0,286.0,32.0,32
59,1119,1,33.0,33.0,0.0,0
60,1121,2,207.0,285.0,14.0,14
61,1123,2,80.0,127.0,6.0,6
62,1125,1,981.0,1087.0,52.0,84
63,1127,1,207.0,267.0,12.0,12
64,1129,1,15.0,25.0,0.0,0
65,1131,1,21.0,30.0,0.0,0
66,1133,1,49.0,59.0,4.0,4
69,2020,3,1077.0,1014.0,60.0,73
70,2050,1,34.0,50.0,0.0,0
73,2070,1,16.0,16.0,0.0,0
74,2090,1,145.0,152.0,13.0,13
77,2110,1,45.0,73.0,9.0,9
78,2122,3,76.0,77.0,6.0,6
79,2130,1,25.0,25.0,4.0,4
80,2150,1,24.0,25.0,0.0,0
83,2170,1,74.0,74.0,14.0,14
84,2180,1,18.0,18.0,0.0,0
85,2185,1,20.0,14.0,0.0,0
86,2188,1,17.0,17.0,0.0,0
89,2220,2,25.0,27.0,0.0,0
92,2261,2,24.0,24.0,0.0,0
96,4001,4,162.0,50.0,0.0,0
97,4003,4,135.0,160.0,12.0,12
98,4005,3,396.0,381.0,41.0,41
99,4007,3,58.0,196.0,8.0,8
100,4009,1,49.0,49.0,0.0,0
102,4012,2,42.0,42.0,3.0,3
103,4013,34,10040.0,10105.0,715.0,1004
104,4015,4,551.0,610.0,80.0,80
105,4017,4,176.0,170.0,12.0,12
106,4019,9,3108.0,3206.0,287.0,296
107,4021,4,262.0,214.0,24.0,22
108,4023,1,25.0,25.0,0.0,0
109,4025,2,374.0,364.0,39.0,39
110,4027,1,447.0,51.0,42.0,42
111,5001,2,74.0,74.0,0.0,0
112,5003,1,25.0,33.0,6.0,6
113,5005,2,170.0,268.0,17.0,17
114,5007,3,439.0,524.0,30.0,30
115,5009,1,120.0,174.0,24.0,24
116,5011,1,25.0,33.0,0.0,0
118,5015,2,40.0,40.0,0.0,0
119,5017,1,35.0,25.0,0.0,0
120,5019,1,25.0,25.0,0.0,0
121,5021,1,25.0,25.0,0.0,0
122,5023,1,25.0,25.0,0.0,0
124,5027,1,30.0,49.0,6.0,6
125,5029,1,25.0,25.0,0.0,0
126,5031,2,553.0,666.0,66.0,66
127,5033,1,35.0,103.0,8.0,8
128,5035,1,63.0,52.0,0.0,0
129,5037,1,15.0,25.0,0.0,0
130,5039,1,22.0,25.0,0.0,0
131,5041,2,50.0,50.0,0.0,0
132,5043,1,49.0,49.0,5.0,5
133,5045,2,355.0,371.0,25.0,25
134,5047,1,25.0,25.0,0.0,0
135,5049,1,25.0,25.0,0.0,0
136,5051,3,423.0,522.0,41.0,41
138,5055,1,114.0,129.0,8.0,8
139,5057,1,67.0,0.0,8.0,8
140,5059,1,64.0,72.0,6.0,6
141,5061,1,20.0,20.0,0.0,0
142,5063,1,184.0,224.0,12.0,12
143,5065,0,25.0,25.0,0.0,0
144,5067,0,133.0,133.0,0.0,0
145,5069,1,271.0,471.0,34.0,34
