,FIPS,ST,COUNTY
0,1001,AL,Autauga County
1,1003,AL,Baldwin County
2,1005,AL,Barbour County
3,1007,AL,Bibb County
4,1009,AL,Blount County
5,1011,AL,Bullock County
6,1013,AL,Butler County
7,1015,AL,Calhoun County
8,1017,AL,Chambers County
9,1019,AL,Cherokee County
10,1021,AL,Chilton County
11,1023,AL,Choctaw County
12,1025,AL,Clarke County
13,1027,AL,Clay County
14,1029,AL,Cleburne County
15,1031,AL,Coffee County
16,1033,AL,Colbert County
17,1035,AL,Conecuh County
18,1037,AL,Coosa County
19,1039,AL,Covington County
20,1041,AL,Crenshaw County
21,1043,AL,Cullman County
22,1045,AL,Dale County
23,1047,AL,Dallas County
24,1049,AL,De Kalb County
25,1049,AL,DeKalb County
26,1051,AL,Elmore County
27,1053,AL,Escambia County
28,1055,AL,Etowah County
29,1057,AL,Fayette County
30,1059,AL,Franklin County
31,1061,AL,Geneva County
32,1063,AL,Greene County
33,1065,AL,Hale County
34,1067,AL,Henry County
35,1069,AL,Houston County
36,1071,AL,Jackson County
37,1073,AL,Jefferson County
38,1075,AL,Lamar County
39,1077,AL,Lauderdale County
40,1079,AL,Lawrence County
41,1081,AL,Lee County
42,1083,AL,Limestone County
43,1085,AL,Lowndes County
44,1087,AL,Macon County
45,1089,AL,Madison County
46,1091,AL,Marengo County
47,1093,AL,Marion County
48,1095,AL,Marshall County
49,1097,AL,Mobile County
50,1099,AL,Monroe County
51,1101,AL,Montgomery County
52,1103,AL,Morgan County
53,1105,AL,Perry County
54,1107,AL,Pickens County
55,1109,AL,Pike County
56,1111,AL,Randolph County
57,1113,AL,Russell County
58,1115,AL,St. Clair County
59,1117,AL,Shelby County
60,1119,AL,Sumter County
61,1121,AL,Talladega County
62,1123,AL,Tallapoosa County
63,1125,AL,Tuscaloosa County
64,1127,AL,Walker County
65,1129,AL,Washington County
66,1131,AL,Wilcox County
67,1133,AL,Winston County
68,2013,AK,Aleutians East Borough
69,2016,AK,Aleutians West Census Area
70,2020,AK,Anchorage Municipality
71,2020,AK,Anchorage Borough
72,2050,AK,Bethel Census Area
73,2060,AK,Bristol Bay Borough
74,2068,AK,Denali Borough
75,2068,AK,Denali Census Area
76,2070,AK,Dillingham Census Area
77,2090,AK,Fairbanks North Star Borough
78,2100,AK,Haines Borough
79,2110,AK,Juneau City and Borough
80,2110,AK,Juneau Borough
81,2122,AK,Kenai Peninsula Borough
82,2130,AK,Ketchikan Gateway Borough
83,2150,AK,Kodiak Island Borough
84,2164,AK,Lake and Peninsula Borough
85,2068,AK,Denali Census Area
86,2170,AK,Matanuska-Susitna Borough
87,2180,AK,Nome Census Area
88,2185,AK,North Slope Borough
89,2188,AK,Northwest Arctic Borough
90,2201,AK,Prince of Wales-Hyder Census Area
91,2201,AK,Prince of Wales-Outer Ketchikan Census Area
92,2220,AK,Sitka City and Borough
93,2220,AK,Sitka Borough
94,2232,AK,Hoonah-Angoon Census Area
95,2232,AK,Skagway Municipality
96,2232,AK,Skagway/Hoonah/Angoon Census Area
97,2240,AK,Southeast Fairbanks Census Area
98,2261,AK,Valdez-Cordova Census Area
99,2270,AK,Wade Hampton Census Area
100,2280,AK,Petersburg Borough
101,2280,AK,Wrangell City and Borough
102,2280,AK,Wrangell-Petersburg Census Area
103,2282,AK,Yakutat City and Borough
104,2290,AK,Yukon-Koyukuk Census Area
105,4001,AZ,Apache County
106,4003,AZ,Cochise County
107,4005,AZ,Coconino County
108,4007,AZ,Gila County
109,4009,AZ,Graham County
110,4011,AZ,Greenlee County
111,4012,AZ,La Paz County
112,4013,AZ,Maricopa County
113,4015,AZ,Mohave County
114,4017,AZ,Navajo County
115,4019,AZ,Pima County
116,4021,AZ,Pinal County
117,4023,AZ,Santa Cruz County
118,4025,AZ,Yavapai County
119,4027,AZ,Yuma County
120,5001,AR,Arkansas County
121,5003,AR,Ashley County
122,5005,AR,Baxter County
123,5007,AR,Benton County
124,5009,AR,Boone County
125,5011,AR,Bradley County
126,5013,AR,Calhoun County
127,5015,AR,Carroll County
128,5017,AR,Chicot County
129,5019,AR,Clark County
130,5021,AR,Clay County
131,5023,AR,Cleburne County
132,5025,AR,Cleveland County
133,5027,AR,Columbia County
134,5029,AR,Conway County
135,5031,AR,Craighead County
136,5033,AR,Crawford County
137,5035,AR,Crittenden County
138,5037,AR,Cross County
139,5039,AR,Dallas County
140,5041,AR,Desha County
141,5043,AR,Drew County
142,5045,AR,Faulkner County
143,5047,AR,Franklin County
144,5049,AR,Fulton County
145,5051,AR,Garland County
146,5053,AR,Grant County
147,5055,AR,Greene County
148,5057,AR,Hempstead County
149,5059,AR,Hot Spring County
150,5061,AR,Howard County
151,5063,AR,Independence County
152,5065,AR,Izard County
153,5067,AR,Jackson County
154,5069,AR,Jefferson County
155,5071,AR,Johnson County
156,5073,AR,Lafayette County
157,5075,AR,Lawrence County
158,5077,AR,Lee County
159,5079,AR,Lincoln County
160,5081,AR,Little River County
161,5083,AR,Logan County
162,5085,AR,Lonoke County
163,5087,AR,Madison County
164,5089,AR,Marion County
165,5091,AR,Miller County
166,5093,AR,Mississippi County
167,5095,AR,Monroe County
168,5097,AR,Montgomery County
169,5099,AR,Nevada County
170,5101,AR,Newton County
171,5103,AR,Ouachita County
172,5105,AR,Perry County
173,5107,AR,Phillips County
174,5109,AR,Pike County
175,5111,AR,Poinsett County
176,5113,AR,Polk County
177,5115,AR,Pope County
178,5117,AR,Prairie County
179,5119,AR,Pulaski County
180,5121,AR,Randolph County
181,5123,AR,St. Francis County
182,5125,AR,Saline County
183,5127,AR,Scott County
184,5129,AR,Searcy County
185,5131,AR,Sebastian County
186,5133,AR,Sevier County
187,5135,AR,Sharp County
188,5137,AR,Stone County
189,5139,AR,Union County
190,5141,AR,Van Buren County
191,5143,AR,Washington County
192,5145,AR,White County
193,5147,AR,Woodruff County
194,5149,AR,Yell County
195,6001,CA,Alameda County
196,6003,CA,Alpine County
197,6005,CA,Amador County
198,6007,CA,Butte County
199,6009,CA,Calaveras County
200,6011,CA,Colusa County
201,6013,CA,Contra Costa County
202,6015,CA,Del Norte County
203,6017,CA,El Dorado County
204,6019,CA,Fresno County
205,6021,CA,Glenn County
206,6023,CA,Humboldt County
207,6025,CA,Imperial County
208,6027,CA,Inyo County
209,6029,CA,Kern County
210,6031,CA,Kings County
211,6033,CA,Lake County
212,6035,CA,Lassen County
213,6037,CA,Los Angeles County
214,6039,CA,Madera County
215,6041,CA,Marin County
216,6043,CA,Mariposa County
217,6045,CA,Mendocino County
218,6047,CA,Merced County
219,6049,CA,Modoc County
220,6051,CA,Mono County
221,6053,CA,Monterey County
222,6055,CA,Napa County
223,6057,CA,Nevada County
224,6059,CA,Orange County
225,6061,CA,Placer County
226,6063,CA,Plumas County
227,6065,CA,Riverside County
228,6067,CA,Sacramento County
229,6069,CA,San Benito County
230,6071,CA,San Bernardino County
231,6073,CA,San Diego County
232,6075,CA,San Francisco County
233,6077,CA,San Joaquin County
234,6079,CA,San Luis Obispo County
235,6081,CA,San Mateo County
236,6083,CA,Santa Barbara County
237,6085,CA,Santa Clara County
238,6087,CA,Santa Cruz County
239,6089,CA,Shasta County
240,6091,CA,Sierra County
241,6093,CA,Siskiyou County
242,6095,CA,Solano County
243,6097,CA,Sonoma County
244,6099,CA,Stanislaus County
245,6101,CA,Sutter County
246,6103,CA,Tehama County
247,6105,CA,Trinity County
248,6107,CA,Tulare County
249,6109,CA,Tuolumne County
250,6111,CA,Ventura County
251,6113,CA,Yolo County
