FIPS,01/01/20,01/02/20,01/03/20,01/04/20,01/05/20,01/06/20,01/07/20,01/08/20,01/09/20,01/10/20,01/11/20,01/12/20,01/13/20,01/14/20,01/15/20,01/16/20,01/17/20,01/18/20,01/19/20,01/20/20,01/21/20,01/22/20,01/23/20,01/24/20,01/25/20,01/26/20,01/27/20,01/28/20,01/29/20,01/30/20,01/31/20,02/01/20,02/02/20,02/03/20,02/04/20,02/05/20,02/06/20,02/07/20,02/08/20,02/09/20,02/10/20,02/11/20,02/12/20,02/13/20,02/14/20,02/15/20,02/16/20,02/17/20,02/18/20,02/19/20,02/20/20,02/21/20,02/22/20,02/23/20,02/24/20,02/25/20,02/26/20,02/27/20,02/28/20,02/29/20,03/01/20,03/02/20,03/03/20,03/04/20,03/05/20,03/06/20,03/07/20,03/08/20,03/09/20,03/10/20,03/11/20,03/12/20,03/13/20,03/14/20,03/15/20,03/16/20,03/17/20,03/18/20,03/19/20,03/20/20,03/21/20,03/22/20,03/23/20,03/24/20,03/25/20,03/26/20,03/27/20,03/28/20,03/29/20,03/30/20,03/31/20,04/10/20,04/11/20,04/12/20
1073,30.03125,26.8125,21.578125,31.140625,26.953125,32.6875,40.0625,37.278688524590166,40.61818181818182,36.328125,30.203125,24.765625,38.1875,20.203125,24.375,24.109375,18.625,28.203125,17.078125,28.0625,33.109375,32.0625,30.71875,32.78125,31.765625,34.984375,31.171875,37.078125,34.109375,44.453125,41.0,35.171875,25.296875,35.296875,28.25,28.984375,17.625,38.234375,31.578125,33.671875,28.09375,21.578125,25.4375,23.046875,23.6875,28.3125,47.546875,34.296875,24.0625,21.982142857142858,19.654545454545456,23.6875,31.421875,51.296875,43.875,28.482758620689655,24.553571428571427,23.671875,26.65625,27.84375,51.859375,38.265625,43.79365079365079,38.578125,16.421875,24.734375,21.8125,32.53125,45.25806451612903,27.609375,27.65625,33.484375,39.484375,37.40625,22.65625,30.421875,66.609375,51.703125,36.296875,37.484375,20.265625,26.234375,36.8125,29.671875,25.5,34.265625,59.890625,46.515625,33.40625,25.625,34.828125,22.796875,34.484375,51.81395348837209
1089,35.625,27.1875,19.125,29.0,25.9375,34.3125,29.625,30.125,37.875,39.625,27.4375,20.6875,44.8125,19.5625,25.75,31.0625,19.375,24.6875,16.625,29.8125,27.5625,29.625,28.125,19.5,22.375,35.25,31.5625,44.1875,47.375,45.5,47.0,38.375,24.875,40.625,28.75,22.9375,15.8125,26.125,28.875,32.375,23.1875,17.6875,21.125,20.5,25.75,26.1875,39.375,41.625,17.5,32.3125,24.3125,25.375,32.3125,43.5,35.6875,20.75,21.375,24.6875,24.1875,25.25,46.75,32.125,37.5,35.4375,35.0625,20.4375,23.625,31.75,44.75,25.3125,30.6875,37.8125,35.625,25.5625,10.9375,22.9375,51.25,40.4375,39.125,35.75,20.625,21.5625,23.3125,25.1875,14.0625,30.5,63.625,49.625,27.0625,26.3,27.9375,23.125,34.1875,52.18181818181818
1101,54.5,54.8125,29.875,20.3125,35.875,55.625,41.1875,41.4375,63.8125,54.5625,41.75,26.875,46.5625,31.5,42.75,27.0625,28.0,40.875,28.0625,,48.4,48.375,53.5,47.4375,30.75,48.75,36.5,46.0625,45.4375,43.5,51.3125,40.1875,44.0625,45.0625,40.3125,36.0,25.1875,20.8125,44.75,49.0,53.875,36.125,35.25,22.375,28.125,44.875,58.4375,48.5,49.25,20.0,32.125,32.9375,45.5625,59.3125,57.3125,28.8125,33.625,31.8125,47.0625,,,66.2,44.9375,31.875,36.875,34.5,35.6875,56.625,60.8125,52.142857142857146,58.75,45.4375,51.0625,65.0,76.9375,59.5,82.625,78.9375,58.9375,63.625,50.8125,49.0625,55.5625,39.875,52.8125,57.6875,63.6875,32.9375,57.125,53.3125,52.0,11.0,29.25,22.727272727272727
1103,19.75,19.3125,14.8125,25.125,23.1875,25.875,19.8125,19.3125,25.1875,23.5625,11.625,10.1875,28.6875,12.6875,7.5625,16.125,11.6875,19.6875,9.0,25.25,28.75,26.4375,22.9375,8.1875,15.5,22.9375,21.3125,20.0625,25.5,27.9375,32.625,29.5625,9.375,12.875,14.25,8.1875,4.125,17.3125,16.1875,21.25,21.8125,3.8125,22.6875,11.25,25.125,23.5625,26.9375,21.75,9.875,29.75,14.125,27.5,21.25,29.1875,25.6875,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,48.75,30.1875,22.6875,20.75,26.125,36.5,31.375,39.0,48.625,41.0,28.4375,25.5,37.125,20.0,24.875,21.555555555555557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,19.4375,11.9375,5.125,18.5,16.75,25.25,25.3125,13.4375,,,,,,6.75,8.6875,21.0625,18.25,19.1875,10.9375,17.6875,29.3125,31.625,36.3125,15.4375,17.25,20.0,13.8125,14.25,20.875,23.8125,24.375,21.8125,16.875,16.0,10.1875,13.1875,8.25,20.4375,23.4375,24.1875,19.125,3.5,11.4375,10.75,27.6875,18.8125,34.125,21.8125,14.5,15.625,13.0625,30.6875,26.375,40.5,39.5,15.125,15.5,19.9375,22.9375,20.125,36.3125,22.5625,22.1875,22.0,6.214285714285714,25.75,17.9375,24.3125,34.6875,12.6875,20.8125,27.625,24.4375,42.4375,47.0,26.4375,49.25,28.3125,21.5,25.0,23.3125,19.5,17.1875,10.75,26.0,28.625,47.5625,37.1875,24.8125,24.4375,31.9375,5.0,21.3125,27.818181818181817
2020,51.9375,32.90625,54.625,78.96875,95.0,75.71875,66.4375,61.8125,52.5,,,,,39.6,48.0625,42.3125,52.75,60.59375,58.3125,18.15625,26.03125,22.09375,21.59375,54.25,46.03125,40.375,42.34375,35.8125,19.0625,21.28125,49.4375,35.46875,34.71875,10.0625,19.1875,24.21875,14.03125,18.0625,13.5625,16.1875,16.28125,32.1875,18.71875,18.875,37.71875,20.59375,44.71875,20.483870967741936,3.526315789473684,5.75,8.75,8.59375,11.3125,10.380952380952381,43.625,29.9375,15.5625,30.96875,34.96875,31.5,8.925925925925926,10.772727272727273,19.28125,11.34375,14.625,43.96875,18.71875,13.34375,11.90625,9.46875,28.34375,37.375,42.65625,45.75,39.84375,32.3125,37.03125,27.84375,34.21875,15.483870967741936,24.25,13.625,52.6875,38.473684210526315,34.8125,28.09375,22.875,14.375,25.9375,25.90625,23.15625,24.09375,29.46875,42.45454545454545
2050,21.8125,32.6875,15.875,19.6875,23.1875,16.6875,14.5,10.4375,14.125,,,,,21.2,26.4375,15.3125,19.5625,15.3125,22.0625,26.625,14.4375,14.8125,14.875,21.0625,20.8125,17.6875,15.6875,11.1875,13.0,21.0,28.875,27.75,6.8125,7.8125,3.875,9.4375,24.75,22.0625,15.375,35.125,26.875,20.625,24.125,17.3125,14.875,14.0625,12.9375,5.125,9.875,28.3125,14.6875,27.4375,35.1875,50.6875,22.1875,14.25,16.1875,16.375,18.0,9.875,14.25,31.125,29.0,23.3125,40.3125,25.25,17.0625,18.25,21.75,25.125,35.0,15.9375,19.25,21.3125,19.4375,18.5625,3.625,29.1875,16.0625,33.6875,17.9375,20.125,14.875,11.0625,4.625,10.5625,9.9375,15.75,22.25,15.0625,20.6875,17.5,22.8125,14.818181818181818
2090,52.458333333333336,33.604166666666664,97.02083333333333,101.08333333333333,92.89583333333333,97.875,88.33333333333333,115.47916666666667,111.5,,,,,24.5,48.145833333333336,66.97916666666667,84.375,108.83333333333333,126.54166666666667,112.29166666666667,57.020833333333336,59.854166666666664,65.52083333333333,32.041666666666664,61.457142857142856,87.8125,63.36363636363637,57.520833333333336,66.37142857142857,39.916666666666664,40.041666666666664,58.416666666666664,77.3125,84.125,76.70833333333333,66.97916666666667,51.708333333333336,24.625,48.791666666666664,34.708333333333336,12.020833333333334,50.479166666666664,37.645833333333336,51.395833333333336,79.66666666666667,56.3125,66.60416666666667,71.66666666666667,53.6875,32.979166666666664,45.71739130434783,34.05882352941177,40.0,18.166666666666668,74.08333333333333,80.54166666666667,86.6875,90.1875,74.58333333333333,83.39583333333333,31.5625,6.181818181818182,68.97916666666667,70.93023255813954,92.04166666666667,89.1875,49.104166666666664,46.604166666666664,10.125,17.916666666666668,82.625,47.708333333333336,43.06521739130435,57.333333333333336,32.291666666666664,14.270833333333334,47.916666666666664,15.791666666666666,15.270833333333334,5.111111111111111,8.25,4.833333333333333,5.5625,12.416666666666666,2.2708333333333335,3.2083333333333335,12.375,8.25,12.208333333333334,18.9375,6.895833333333333,27.6875,13.958333333333334,43.666666666666664
2110,49.0,12.875,17.625,29.9375,42.0,22.75,12.9375,26.5625,23.8125,,,,,44.8,38.375,11.75,15.0625,45.25,33.25,39.625,33.3125,44.8125,24.875,5.0,10.9375,3.0,1.25,2.8125,3.25,9.75,5.125,10.0,12.6875,17.4375,10.4375,16.25,20.1875,13.875,16.0625,14.5,4.1875,12.0625,3.1875,19.5,16.125,20.6875,8.3125,11.75,5.8125,3.5625,0.3333333333333333,4.5,5.8125,6.0625,7.1875,0.7,5.625,0.0,2.6875,13.0625,2.0625,6.5625,3.4375,6.625,7.5,10.0,19.25,16.5,3.9375,10.75,18.5625,23.3125,26.5625,34.875,50.0625,42.5,42.5625,30.375,16.3125,33.25,29.5,5.0,6.5,28.75,39.625,23.5,,7.5,5.4375,12.375,19.4375,19.875,28.75,47.72727272727273
