,FIPS,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,federal guidelines,foreign travel ban
2,1001,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
3,1003,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
4,1005,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
5,1007,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
6,1009,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
7,1011,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
8,1013,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
9,1015,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
10,1017,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
11,1019,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
12,1021,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
13,1023,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
14,1025,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
15,1027,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
16,1029,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
17,1031,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
18,1033,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
19,1035,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
20,1037,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
21,1039,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
22,1041,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
23,1043,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
24,1045,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
25,1047,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
26,1049,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
27,1051,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
28,1053,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
29,1055,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
30,1057,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
31,1059,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
32,1061,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
33,1063,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
34,1065,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
35,1067,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
36,1069,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
37,1071,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
38,1073,737510.0,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
39,1075,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
40,1077,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
41,1079,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
42,1081,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
43,1083,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
44,1085,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
45,1087,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
46,1089,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
47,1091,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
48,1093,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
49,1095,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
50,1097,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
51,1099,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
52,1101,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
