FIPS,01/01/20,01/02/20,01/03/20,01/04/20,01/05/20,01/06/20,01/07/20,01/08/20,01/09/20,01/10/20,01/11/20,01/12/20,01/13/20,01/14/20,01/15/20,01/16/20,01/17/20,01/18/20,01/19/20,01/20/20,01/21/20,01/22/20,01/23/20,01/24/20,01/25/20,01/26/20,01/27/20,01/28/20,01/29/20,01/30/20,01/31/20,02/01/20,02/02/20,02/03/20,02/04/20,02/05/20,02/06/20,02/07/20,02/08/20,02/09/20,02/10/20,02/11/20,02/13/20,02/14/20,02/15/20,02/16/20,02/18/20,02/19/20,02/21/20,02/22/20,02/23/20,02/24/20,02/25/20,02/26/20,02/27/20,02/28/20,02/29/20,03/01/20,03/02/20,03/03/20,03/04/20,03/05/20,03/06/20,03/07/20,03/08/20,03/09/20,03/10/20,03/11/20,03/12/20,03/13/20,03/14/20,03/15/20,03/16/20,03/17/20,03/18/20,03/19/20,03/20/20,03/21/20,03/22/20,03/23/20,03/24/20,03/25/20,03/26/20,03/27/20,03/28/20,03/29/20,03/30/20,03/31/20,04/09/20
1073,,,,,,,,,,,,,,,17.0,,,,,,,,,36.285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,1.0666666666666667,1.0,1.0666666666666667,1.0,0.4666666666666667,1.0,1.0,0.2727272727272727,0.9333333333333333,0.9230769230769231,1.0,0.9333333333333333,1.7333333333333334,1.0,1.1111111111111112,1.2666666666666666,0.8666666666666667,1.0,0.8,0.7333333333333333,0.6,0.8461538461538461,1.0,1.0,1.0,1.0,1.3571428571428572,1.0,1.0,0.8181818181818182,-0.3076923076923077,0.0,0.2857142857142857,0.0,0.0,0.07142857142857142,0.9090909090909091,0.0,0.07142857142857142,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,3.230769230769231,3.0,,,,,,,,,
1103,,,,,,,,,,,,,,,2.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,0.42857142857142855,0.5833333333333334,0.13333333333333333,0.0,0.06666666666666667,0.2857142857142857,0.0,7.153846153846154,1.7333333333333334,0.0,0.0,0.2,0.14285714285714285,0.6428571428571429,0.375,0.0,2.6,0.0,0.0,0.07692307692307693,0.13333333333333333,4.3076923076923075,2.727272727272727,0.16666666666666666,0.0,0.2857142857142857,0.0,1.3571428571428572,0.9230769230769231,4.214285714285714,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,200.0,1400.0,1200.0,1000.0,200.0,1700.0,1500.0,,,,1000.0,,400.0,300.0,100.0,300.0,100.0,,1600.0,,1750.0,1100.0,100.0,800.0,200.0,,,300.0,100.0,1000.0,,,3100.0,,,,,500.0,300.0,,700.0,,,300.0,,1450.0,,1600.0,800.0,,,,,,,,,1000.0,,,,,,,,,
2068,,,,,,,,,,,,,,,38.0,,,,,,,,,38.42857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2090,2.125,2.1538461538461537,12.466666666666667,10.0625,11.625,10.666666666666666,12.5625,13.0,19.333333333333332,,,,,,1.0,12.6875,17.75,9.933333333333334,17.0,19.75,2.4166666666666665,7.4,56.75,28.1,13.818181818181818,12.11111111111111,4.333333333333333,7.8,8.0,3.125,0.0,3.375,28.266666666666666,13.8,34.625,55.06666666666667,8.181818181818182,15.5,25.666666666666668,5.125,15.071428571428571,7.0,401.3333333333333,550.0,200.0,300.0,200.0,3.5,1.4,19.0,6.625,31.5625,14.4,9.3125,119.92857142857143,,11.3125,5.5,-1.3333333333333333,400.0,83.46153846153847,10.2,36.625,7.625,5.866666666666666,12.625,2.3125,91.46153846153847,5.8125,23.8125,71.86666666666666,4.125,1.4285714285714286,6.8,2.0,2.5625,0.0,2.8125,-0.125,,,0.4375,0.4,2.75,0.375,0.26666666666666666,4.6875,-0.5625,2.75
4001,,,,,,,,,,,,,,,42.0,,,,,,,,,28.714285714285715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4003,,,,,,,,,,,,,,,44.0,,,,,,,,,40.142857142857146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4005,,,,,,,,,,,,,,,49.5,,,,,,,,,39.785714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
