,Score,TCI+,Jobs+,Trips/Week+,Routes,Transit Shed,Transit,FIPS
2106,0.0,0.0,0,0,0,0,0,1001
799,0.3,0.1,2691,14,1,1,0,1003
2121,0.0,0.0,0,0,0,0,0,1005
1009,0.1,0.0,279,2,0,0,0,1007
2178,0.0,0.0,0,0,0,0,0,1009
2233,0.0,0.0,0,0,0,0,0,1011
2240,0.0,0.0,0,0,0,0,0,1013
673,0.6,0.3,3376,42,1,2,0,1015
2319,0.0,0.0,0,0,0,0,0,1017
2334,0.0,0.0,0,0,0,0,0,1019
2352,0.0,0.0,0,0,0,0,0,1021
2355,0.0,0.0,0,0,0,0,0,1023
977,0.1,0.0,4,4,0,0,0,1025
2380,0.0,0.0,0,0,0,0,0,1027
2398,0.0,0.0,0,0,0,0,0,1029
2414,0.0,0.0,0,0,0,0,0,1031
2419,0.0,0.0,0,0,0,0,0,1033
2437,0.0,0.0,0,0,0,0,0,1035
2444,0.0,0.0,0,0,0,0,0,1037
2453,0.0,0.0,0,0,0,0,0,1039
2469,0.0,0.0,0,0,0,0,0,1041
2480,0.0,0.0,0,0,0,0,0,1043
2496,0.0,0.0,0,0,0,0,0,1045
1016,0.1,0.0,0,1,0,0,0,1047
2523,0.0,0.0,0,0,0,0,0,1049
2596,0.0,0.0,0,0,0,0,0,1051
2604,0.0,0.0,0,0,0,0,0,1053
665,0.7,0.3,2332,46,1,1,0,1055
2620,0.0,0.0,0,0,0,0,0,1057
2645,0.0,0.0,0,0,0,0,0,1059
2696,0.0,0.0,0,0,0,0,0,1061
2756,0.0,0.0,0,0,0,0,0,1063
2786,0.0,0.0,0,0,0,0,0,1065
2852,0.0,0.0,0,0,0,0,0,1067
2886,0.0,0.0,0,0,0,0,0,1069
2932,0.0,0.0,0,0,0,0,0,1071
973,0.1,0.2,1121,1,0,0,0,1073
3067,0.0,0.0,0,0,0,0,0,1075
3085,0.0,0.0,0,0,0,0,0,1077
3091,0.0,0.0,0,0,0,0,0,1079
3102,0.0,0.0,0,0,0,0,0,1081
3128,0.0,0.0,0,0,0,0,0,1083
1137,0.0,0.0,0,0,0,0,0,1085
1152,0.0,0.0,0,0,0,0,1,1087
564,1.0,0.5,13610,66,1,4,0,1089
1176,0.0,0.0,0,0,0,0,0,1091
1179,0.0,0.0,0,0,0,0,0,1093
1192,0.0,0.0,0,0,0,0,0,1095
426,1.7,0.9,19850,183,1,8,0,1097
1291,0.0,0.0,0,0,0,0,0,1099
359,2.1,1.2,38820,152,2,16,0,1101
1318,0.0,0.0,0,0,0,0,0,1103
1051,0.0,0.0,0,1,0,0,0,1105
1478,0.0,0.0,0,0,0,0,0,1107
1483,0.0,0.0,0,0,0,0,0,1109
1556,0.0,0.0,0,0,0,0,0,1111
640,0.7,0.3,2728,34,1,2,0,1113
1738,0.0,0.0,0,0,0,0,0,1115
1688,0.0,0.0,0,0,0,0,0,1117
1773,0.0,0.0,0,0,0,0,0,1119
1788,0.0,0.0,0,0,0,0,0,1121
1790,0.0,0.0,0,0,0,0,0,1123
587,0.9,0.4,9455,47,1,2,0,1125
1898,0.0,0.0,0,0,0,0,0,1127
1919,0.0,0.0,0,0,0,0,0,1129
950,0.1,0.0,105,5,0,0,0,1131
1999,0.0,0.0,0,0,0,0,0,1133
2057,0.0,0.0,0,0,0,0,0,2013
2058,0.0,0.0,0,0,0,0,0,2016
153,3.5,2.6,53537,696,2,9,1,2020
2163,0.0,0.0,0,0,0,0,0,2050
2211,0.0,0.0,0,0,0,0,0,2060
2531,0.0,0.0,0,0,0,0,0,2068
2548,0.0,0.0,0,0,0,0,0,2070
375,2.0,1.0,16547,213,3,12,0,2090
2785,0.0,0.0,0,0,0,0,0,2100
259,2.6,1.4,12550,308,7,8,5,2110
3012,0.0,0.0,0,0,0,0,1,2122
147,3.6,1.5,9157,309,2,8,3,2130
3046,0.0,0.0,0,0,0,0,0,2150
3059,0.0,0.0,0,0,0,0,0,2164
696,0.5,0.2,2828,33,2,2,0,2170
1371,0.0,0.0,0,0,0,0,0,2180
1375,0.0,0.0,0,0,0,0,4,2185
1378,0.0,0.0,0,0,0,0,0,2188
1060,0.0,0.0,0,1,0,0,1,2201
339,2.2,1.1,2798,218,2,4,1,2220
1715,0.0,0.0,0,0,0,0,1,2232
2881,0.0,0.0,0,0,0,0,3,2232
1725,0.0,0.0,0,0,0,0,0,2240
1875,0.0,0.0,0,0,0,0,0,2261
1470,0.0,0.0,0,0,0,0,0,2280
2015,0.0,0.0,0,0,0,0,0,2280
2023,0.0,0.0,0,0,0,0,0,2282
2033,0.0,0.0,0,0,0,0,0,2290
816,0.3,0.0,960,19,1,1,1,4001
642,0.7,0.0,1214,66,1,1,0,4003
352,2.1,1.2,11784,399,3,4,1,4005
2701,0.0,0.0,0,0,0,0,0,4007
2729,0.0,0.0,0,0,0,0,1,4009
2766,0.0,0.0,0,0,0,0,0,4011
1045,0.0,0.0,195,1,0,0,0,4012
93,4.4,3.1,100236,1146,3,25,2,4013
761,0.4,0.2,363,26,0,1,0,4015
964,0.1,0.0,24,2,0,0,1,4017
139,3.7,2.5,56905,885,4,20,2,4019
1015,0.1,0.0,0,1,0,0,0,4021
1649,0.0,0.0,0,0,0,0,0,4023
748,0.4,0.2,879,53,1,1,0,4025
362,2.0,1.1,15567,164,2,10,1,4027
2085,0.0,0.0,0,0,0,0,0,5001
2092,0.0,0.0,0,0,0,0,0,5003
2136,0.0,0.0,0,0,0,0,0,5005
676,0.6,0.3,6197,36,1,2,0,5007
2186,0.0,0.0,0,0,0,0,0,5009
2201,0.0,0.0,0,0,0,0,0,5011
2253,0.0,0.0,0,0,0,0,0,5013
2283,0.0,0.0,0,0,0,0,0,5015
2350,0.0,0.0,0,0,0,0,1,5017
873,0.2,0.1,32,1,0,0,0,5019
2381,0.0,0.0,0,0,0,0,0,5021
2399,0.0,0.0,0,0,0,0,0,5023
2400,0.0,0.0,0,0,0,0,0,5025
2426,0.0,0.0,0,0,0,0,0,5027
2440,0.0,0.0,0,0,0,0,0,5029
488,1.4,0.7,7355,104,1,3,0,5031
2459,0.0,0.0,0,0,0,0,0,5033
