,FIPS,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline
Date,,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11
0,1001,-4.0,-4.0,-27.0,2.0,2.0,1.0,3.0,8.0,5.0,2.0,3.0,4.0,2.0,2.0,5.0,3.0,5.0,4.0,3.0,3.0,4.0,10.0,9.0,4.0,-2.0,4.0,2.0,3.0,3.0,-6.0,-13.0,-18.0,-23.0,-26.0,-29.0,-18.0,-32.0,-34.0,-34.0,-37.0,-36.0,-36.0,-19.0,-35.0,-36.0,-39.0,-39.0,-38.0,-39.0,-25.0,-38.0,-40.0,-42.0,-43.0,-43.0,-49.0,-30.0
1,1003,6.0,-3.0,-3.0,2.0,3.0,0.0,1.0,4.0,4.0,-15.0,-23.0,2.0,1.0,2.0,9.0,8.0,4.0,4.0,3.0,3.0,4.0,12.0,8.0,5.0,4.0,6.0,3.0,-3.0,10.0,6.0,-2.0,-7.0,-15.0,-18.0,-24.0,-15.0,-25.0,-27.0,-29.0,-30.0,-32.0,-33.0,-23.0,-32.0,-33.0,-35.0,-34.0,-35.0,-36.0,-27.0,-35.0,-37.0,-37.0,-38.0,-40.0,-45.0,-28.0
2,1005,-5.0,-8.0,-14.0,1.0,0.0,2.0,1.0,-4.0,5.0,6.0,2.0,4.0,7.0,-2.0,0.0,-2.0,10.0,1.0,-9.0,1.0,5.0,4.0,5.0,8.0,4.0,3.0,4.0,4.0,-8.0,-2.0,3.0,-8.0,-6.0,-12.0,-15.0,-9.0,-21.0,-17.0,-21.0,-21.0,-23.0,-25.0,-24.0,-23.0,-19.0,-24.0,-25.0,-23.0,-29.0,-29.0,-30.0,-26.0,-26.0,-30.0,-29.0,-37.0,-31.0
3,1007,3.0,-3.0,-13.0,1.0,0.0,1.0,4.0,19.0,-2.0,2.0,4.0,6.0,6.0,5.0,6.0,3.0,2.0,3.0,-1.0,2.0,3.0,11.0,2.0,6.0,4.0,2.0,9.0,11.0,16.0,-3.0,-8.0,-9.0,-12.0,-17.0,-18.0,-10.0,-32.0,-31.0,-30.0,-31.0,-30.0,-34.0,-16.0,-32.0,-30.0,-33.0,-31.0,-34.0,-31.0,-21.0,-35.0,-32.0,-33.0,-36.0,-36.0,-42.0,-19.0
4,1009,8.0,0.0,-13.0,1.0,1.0,-1.0,0.0,6.0,1.0,1.0,1.0,0.0,2.0,3.0,8.0,1.0,3.0,1.0,1.0,1.0,1.0,7.0,-2.0,4.0,0.0,2.0,2.0,1.0,10.0,-11.0,-6.0,-17.0,-21.0,-26.0,-29.0,-18.0,-29.0,-31.0,-32.0,-34.0,-34.0,-34.0,-18.0,-29.0,-31.0,-37.0,-37.0,-36.0,-36.0,-22.0,-33.0,-37.0,-39.0,-40.0,-38.0,-45.0,-24.0
5,1011,-2.7009259306725704,-5.246839608498065,-24.0,2.0,-1.0,-4.0,0.0,2.7384935700793545,-1.577059862966394,-3.0,2.0,-1.0,0.0,-5.0,-0.79806611467497,-1.0467749540737774,-1.0,-2.0,-12.0,-1.0,2.0,3.4683576084774916,0.09110259069530562,-4.0,2.0,-3.0,-4.0,-3.0,-3.322858550825415,-6.256127941519947,-13.0,-11.0,-21.0,-21.0,-25.0,-17.705101756980742,-25.87397538314741,-22.0,-20.0,-25.0,-22.0,-24.0,-25.223457576081657,-29.699451310285948,-28.0,-24.0,-24.0,-27.0,-29.0,-29.50730340776111,-34.7332737136149,-31.0,-30.0,-34.0,-31.0,-33.0,
6,1013,-21.463681664654498,-19.430551526703034,-22.803843678707707,-32.99052003741345,0.0,-8.0,-16.0,-2.0,-1.0,-1.0,-2.0,15.0,-2.0,-4.0,-2.0,0.0,0.0,-1.0,0.0,-4.0,-1.0,-1.0,-3.0,0.0,-2.0,20.0,14.0,-1.0,1.0,-1.0,1.0,0.0,3.0,0.0,-7.0,-7.0,-6.0,-19.0,-28.0,-20.0,-26.0,-24.0,-28.0,-27.0,-30.0,-31.0,-18.0,-30.0,-36.0,-37.0,-35.0,-36.0,-35.0,-28.0,-30.0,-41.0,-42.0
7,1015,-40.0,-40.0,-50.0,-33.0,2.0,2.0,-21.0,0.0,2.0,0.0,3.0,6.0,3.0,0.0,3.0,1.0,1.0,0.0,5.0,3.0,0.0,1.0,-1.0,0.0,2.0,4.0,3.0,-1.0,1.0,0.0,1.0,-3.0,1.0,-3.0,-4.0,-10.0,-16.0,-20.0,-24.0,-16.0,-28.0,-32.0,-31.0,-33.0,-33.0,-36.0,-22.0,-33.0,-34.0,-36.0,-37.0,-37.0,-37.0,-26.0,-36.0,-41.0,-42.0
8,1017,-44.0,-43.0,-52.0,-29.0,2.0,-3.0,-12.0,1.0,3.0,4.0,5.0,7.0,-2.0,2.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,1.0,2.0,3.0,12.0,6.0,0.0,2.0,-2.0,2.0,1.0,6.0,3.0,-5.0,-9.0,-17.0,-28.0,-34.0,-17.0,-26.0,-26.0,-24.0,-26.0,-24.0,-26.0,-18.0,-28.0,-45.0,-47.0,-47.0,-47.0,-48.0,-32.0,-36.0,-49.0,-50.0
9,1019,-53.0,-51.0,-56.0,-32.0,0.0,3.0,-9.0,-3.0,1.0,-3.0,-1.0,2.0,1.0,0.0,-1.0,-2.0,1.0,-1.0,1.0,6.0,2.0,0.0,-2.0,-2.0,1.0,7.0,4.0,3.0,-1.0,-2.0,1.0,-1.0,6.0,0.0,-6.0,-14.0,-18.0,-19.0,-21.0,-16.0,-26.0,-29.0,-31.0,-33.0,-29.0,-30.0,-16.0,-29.0,-31.0,-36.0,-34.0,-33.0,-32.0,-22.0,-31.0,-30.0,-33.0
10,1021,-35.0,-33.0,-40.0,-18.0,3.0,-1.0,-14.0,3.0,4.0,2.0,5.0,9.0,5.0,3.0,6.0,5.0,5.0,2.0,10.0,3.0,4.0,4.0,2.0,3.0,6.0,14.0,9.0,4.0,7.0,4.0,5.0,4.0,9.0,2.0,-8.0,-13.0,-20.0,-18.0,-23.0,1.0,-23.0,-30.0,-30.0,-33.0,-31.0,-35.0,-12.0,-26.0,-32.0,-36.0,-34.0,-34.0,-35.0,-14.0,-32.0,-37.0,-38.0
11,1023,-40.0,-36.0,-44.0,-25.0,3.027140720927345,-0.30637747254615827,-13.0,6.0,2.0,0.0,-2.0,3.9762446350115885,-1.7106071805643854,5.0,5.0,6.0,10.0,3.0,3.6811902645391266,0.6726979379838544,7.0,5.0,0.0,8.0,7.0,10.788089406986977,5.433646624043487,8.0,10.0,2.0,6.0,2.0,2.0888053284962877,-1.2447128649772154,0.0,-5.0,-9.0,-15.0,-16.0,-9.227173631446162,-21.288283658594594,-18.0,-22.0,-23.0,-26.0,-28.0,-11.842759352056902,-26.232280602062495,-26.0,-22.0,-26.0,-27.0,-38.0,-17.38147278031736,-27.878392399539514,-30.0,
12,1025,-29.0,-29.75158865131239,-28.0,-16.885755997130367,-32.0,-12.946497089186966,-43.0,-17.36926823131629,0.0,-2.0,-14.0,4.0,2.0,-2.0,2.0,4.0,-6.0,1.0,0.0,1.0,1.0,-1.0,6.0,0.0,2.0,2.0,-1.0,2.0,3.0,13.0,10.0,-3.0,2.0,-3.0,0.0,0.0,4.0,2.0,-5.0,-11.0,-15.0,-19.0,-19.0,-4.0,-25.0,-21.0,-24.0,-26.0,-26.0,-26.0,-11.0,-27.0,-20.0,-23.0,-29.0,-25.0,-27.0
13,1027,-9.0,-27.0,-26.0,-27.0,-32.0,-29.0,-37.0,-9.0,3.3980240726660345,-6.529255117665891,-19.0,-13.0,0.0,-6.0,6.0,4.319961293177087,1.375800543598433,7.0,3.0,4.0,2.0,3.0,1.1424165081035131,1.8940175953003795,4.0,9.0,8.0,3.0,6.0,4.617344930964376,0.22083341391465808,3.0,-2.0,6.0,0.0,7.0,3.0685372691413195,-5.55299120234981,-3.0,-10.0,-9.0,-13.0,-15.0,-14.457943246607815,-25.372775432365803,-16.0,-16.0,-19.0,-23.0,-20.0,-19.278821414296385,-26.942648193962334,-19.0,-22.0,-22.0,-23.0,
14,1029,-26.0,-22.54281771991922,-8.565774018541806,-32.22199184320878,-27.0,-34.56759541284717,-25.0,-32.0,-6.079300881190084,-33.0,-41.0,-24.636697145037207,4.1638608873442715,-2.292307413775015,-9.0,2.0,6.0,-1.0,2.0,5.831517175240313,1.150395382588315,6.0,1.0,6.0,6.0,0.0,3.766342422470302,1.765135962519269,5.0,1.0,2.0,3.0,2.0,3.692824710513767,1.0062908823504182,-3.0,2.0,4.0,5.0,-2.0,3.0384551594835685,-7.597051704535445,7.0,-8.0,-11.0,-14.0,-19.0,-7.0,-25.403812884594036,-17.0,-22.0,-22.0,-25.0,-33.0,-9.0,-31.161261984096083,-24.0
15,1031,-30.0,-29.0,-32.0,-33.0,-16.0,-34.341912561734965,-31.0,-39.0,-36.0,-36.0,-41.0,-14.0,2.0,-5.0,-35.0,3.0,4.0,-1.0,2.0,7.0,-1.0,1.0,4.0,2.0,3.0,3.0,5.0,5.0,3.0,4.0,-1.0,2.0,4.0,5.0,4.0,1.0,-2.0,2.0,4.0,2.0,7.0,2.0,-3.0,-6.0,-13.0,-19.0,-22.0,-13.0,-23.0,-24.0,-23.0,-26.0,-26.0,-28.0,-17.0,-26.0,-31.0
16,1033,-32.0,-33.0,-33.0,-35.0,-24.0,-33.0,-41.0,-41.0,-42.0,-42.0,-45.0,-27.0,2.0,1.0,-12.0,0.0,0.0,-1.0,0.0,6.0,4.0,0.0,2.0,1.0,2.0,0.0,4.0,6.0,2.0,2.0,2.0,2.0,3.0,6.0,5.0,3.0,1.0,3.0,3.0,0.0,7.0,0.0,-5.0,-10.0,-14.0,-14.0,-19.0,-9.0,-20.0,-26.0,-29.0,-29.0,-29.0,-31.0,-15.0,-22.0,-32.0
17,1035,-34.0,-33.0,-33.0,-35.0,-21.0,-29.0,-34.0,-36.0,-35.0,-37.0,-43.0,-21.0,1.9937410684119987,-4.29124234063876,-5.0,9.0,11.0,6.0,3.0,5.843840817683817,0.6687691745882725,11.0,3.0,11.0,9.0,3.0,0.6106713401607223,2.2991267453447817,14.0,3.0,8.0,10.0,2.0,8.059353583239979,7.24967697492459,9.0,0.0,6.0,6.0,8.0,6.096070739383209,-0.05919583670697884,6.0,-9.0,-6.0,-13.0,-20.0,-13.624639597424826,-21.81099840921239,-9.0,-24.0,-15.0,-15.0,-21.0,-19.19049923266214,-26.878346316629138,-18.0
18,1037,,,-20.0,-15.0,-24.0,-14.150931118065712,-13.654287100650748,,,-26.0,-26.34756369641019,-32.136764972781066,-32.008267606294424,-27.498944018457497,,,0.7906026089134524,-2.498155729035235,-23.0,-31.0,-30.0,,,-11.816803424739703,-1.191125463442138,-0.4692980438060524,0.4535961803180928,-18.708357374181727,,,-14.917126885505287,-32.0,-36.0,-26.246781020079354,-6.461668745757704,,,-7.478549349877578,2.4498659925466155,-2.630414900712052,-15.32538919996646,-11.009716120294247,,,-7.441174688889352,-12.585211239732631,-15.934434794611208,-3.6399312309717207,-12.0,,,0.0,3.0,-0.9650137327424302,-22.56351680517076,-14.997151510449173,
19,1039,-0.7757103780007832,4.0,5.0,-19.768288320751616,-13.011108073600331,-29.58260183369584,-24.599045795657126,8.473834302750037,-3.2562037731304265,-0.6025461900299717,2.8075715655355626,0.0,-31.72409042451444,-31.066378754592645,7.0,-1.0,-17.856002480567557,-10.505365773043719,-13.517866834886998,-17.034289847709633,-13.233446209324239,6.0,4.0,5.191846852038705,4.920605440427445,-15.208677961276438,-11.13387991644587,1.0,-19.002728198326942,-11.971059529917238,5.0,0.0,-20.63755732951915,-22.36161641661628,2.0,-4.0,8.970567755840875,-25.102556735782287,-11.863576457603946,-28.589108928178558,5.709042116739639,6.0,4.0,-6.0,4.0,-8.068448632981815,-4.120040811569069,1.0,6.549323035746098,-2.7779927605745827,0.0,-2.0,-8.70340866230262,-7.279075402300812,-10.0,-7.0,-15.0
20,1041,-13.866985330729088,-27.047422611541045,-13.266994337551832,-23.0,-18.0,-23.0,-20.0,-28.0,-18.521890933943403,-30.608346853754668,-28.0,-29.0,-31.0,-22.0,-31.0,-24.304331903202833,-34.79250069334721,-37.0,-31.0,-39.0,-29.0,-44.0,-29.45684848412983,0.0,-3.0,-15.0,-1.0,2.0,-2.0,5.0,4.0,2.0,7.0,0.0,3.0,1.0,1.0,5.0,6.0,5.0,-1.0,-2.0,2.0,3.0,9.0,5.0,5.0,-1.0,3.0,3.0,-1.0,7.0,-4.0,2.0,-7.0,-9.0,-15.0
21,1043,-15.0,-5.0,-14.0,-18.0,-24.0,-25.0,-24.0,-22.0,-15.0,-23.0,-21.0,-26.0,-24.0,-28.0,-28.0,-21.0,-33.0,-30.0,-35.0,-37.0,-33.0,-40.0,-20.0,-0.6305084041431653,-4.237345517763217,-26.0,-2.0,0.0,0.0,-5.0,6.171868237388202,-0.6139469196574893,0.0,1.0,0.0,1.0,-2.0,2.0524624512845424,2.3809439432165904,0.0,-3.0,-2.0,1.0,-1.0,8.448752839588396,4.666644737522628,1.0,-4.0,0.0,-5.0,-8.0,1.622162618871918,-3.607739719187352,-6.0,-12.0,-15.0,-22.0
