,Retail & recreation,Retail & recreation,Grocery & pharmacy,Grocery & pharmacy,Parks,Parks,Transit stations,Transit stations,Workplaces,Workplaces,Residential,Residential
Date,2020-03-29,2020-04-05,2020-03-29,2020-04-05,2020-03-29,2020-04-05,2020-03-29,2020-04-05,2020-03-29,2020-04-05,2020-03-29,2020-04-05
FIPS,,,,,,,,,,,,
1001,-42.0,-53.0,-8.0,-8.0,-14.0,-14.0,,,-35.0,-38.0,16.0,17.0
1003,-47.0,-55.0,-19.0,-27.0,-27.0,-44.0,-24.0,-39.0,-32.0,-35.0,9.0,11.0
1005,-27.0,-40.0,-20.0,-20.0,,,,,-23.0,-30.0,,
1007,-25.0,-42.0,-10.0,-15.0,,,,,-32.0,-35.0,,
1009,-36.0,-49.0,-2.0,-17.0,,,,,-29.0,-33.0,15.0,14.0
1011,-37.0,-22.0,-13.0,-27.0,,,,,-24.0,-29.0,,
1013,-37.0,-47.0,-5.0,-9.0,,,-45.0,-64.0,-30.0,-30.0,,
1015,-40.0,-53.0,-17.0,-22.0,-22.0,-22.0,,,-33.0,-36.0,8.0,11.0
1017,-34.0,-46.0,1.0,-12.0,,,-12.0,-29.0,-28.0,-36.0,13.0,15.0
1019,-24.0,-41.0,6.0,-5.0,,,,,-29.0,-31.0,,
1021,-41.0,-49.0,-11.0,-14.0,,,-27.0,-45.0,-26.0,-32.0,14.0,13.0
1023,-13.0,-13.0,-16.0,-19.0,,,,,-28.0,-38.0,,
1025,-27.0,-40.0,-24.0,-29.0,,,,,-27.0,-27.0,,
1027,-33.0,-43.0,-14.0,-20.0,,,,,-20.0,-26.0,,
1029,-22.0,-35.0,-3.0,-13.0,,,-36.0,-48.0,-9.0,-16.0,,
1031,-28.0,-42.0,-15.0,-19.0,,,,,-26.0,-33.0,11.0,13.0
1033,-30.0,-45.0,-6.0,-16.0,-14.0,-23.0,-20.0,-23.0,-22.0,-29.0,12.0,12.0
1035,-49.0,-65.0,-10.0,-10.0,,,-33.0,-44.0,-21.0,-26.0,,
1037,,,,,,,,,-28.0,-31.0,,
1039,-37.0,-47.0,-15.0,-17.0,,,,,-23.0,-33.0,7.0,8.0
1041,-57.0,-58.0,-17.0,-10.0,,,,,-35.0,-28.0,,
1043,-33.0,-53.0,-2.0,-10.0,86.0,65.0,-33.0,-38.0,-29.0,-34.0,8.0,9.0
1045,-34.0,-44.0,-9.0,-22.0,,,-17.0,-39.0,-25.0,-31.0,11.0,12.0
1047,-27.0,-37.0,-2.0,-16.0,,,,,-22.0,-35.0,5.0,5.0
1049,-38.0,-52.0,-7.0,-21.0,9.0,-4.0,-33.0,-49.0,-23.0,-23.0,11.0,12.0
1051,-40.0,-47.0,-13.0,-11.0,50.0,30.0,,,-37.0,-40.0,8.0,16.0
1053,-35.0,-39.0,-20.0,-7.0,,,,,-27.0,-31.0,7.0,7.0
1055,-47.0,-58.0,-13.0,-22.0,19.0,-23.0,-27.0,-35.0,-33.0,-36.0,9.0,11.0
1057,-23.0,-39.0,,,,,,,-28.0,-28.0,,
1059,-27.0,-45.0,-4.0,-15.0,,,,,-14.0,-21.0,5.0,5.0
1061,-34.0,-42.0,-4.0,-7.0,,,,,-28.0,-33.0,-2.0,-2.0
1063,11.0,11.0,-22.0,-29.0,,,-32.0,-40.0,-33.0,-33.0,,
1065,-46.0,-41.0,-29.0,-36.0,,,,,-14.0,-39.0,,
1067,-46.0,-49.0,-8.0,-19.0,,,,,-29.0,-33.0,,
1069,-46.0,-58.0,-18.0,-25.0,23.0,2.0,-27.0,-44.0,-30.0,-36.0,9.0,11.0
1071,-31.0,-49.0,-4.0,-10.0,,,,,-25.0,-33.0,12.0,12.0
1073,-48.0,-56.0,-16.0,-17.0,7.0,-20.0,-43.0,-46.0,-36.0,-42.0,11.0,13.0
1075,0.0,-32.0,2.0,0.0,,,,,-28.0,-32.0,,
1077,-43.0,-54.0,-14.0,-16.0,-15.0,-15.0,,,-33.0,-36.0,9.0,8.0
1079,-27.0,-41.0,-6.0,-16.0,,,,,-25.0,-30.0,7.0,7.0
1081,-52.0,-58.0,-23.0,-27.0,-14.0,-14.0,,,-36.0,-43.0,11.0,13.0
1083,-35.0,-46.0,-12.0,-18.0,38.0,32.0,,,-32.0,-37.0,9.0,10.0
1085,,,,,,,-29.0,-44.0,-34.0,-41.0,,
1087,-29.0,-46.0,-12.0,-5.0,,,-42.0,-54.0,-37.0,-39.0,,
1089,-46.0,-56.0,-17.0,-28.0,35.0,8.0,-39.0,-53.0,-38.0,-43.0,10.0,13.0
1091,-18.0,-26.0,-4.0,5.0,,,,,-17.0,-19.0,,
1093,-31.0,-43.0,-4.0,-13.0,,,,,-24.0,-31.0,,
1095,-34.0,-50.0,-4.0,-12.0,107.0,63.0,,,-30.0,-31.0,8.0,8.0
1097,-39.0,-42.0,-11.0,-10.0,-21.0,-30.0,-30.0,-37.0,-29.0,-33.0,9.0,11.0
1099,-28.0,-52.0,-7.0,36.0,,,,,-27.0,-34.0,,
1101,-44.0,-52.0,-14.0,-17.0,-9.0,-16.0,-14.0,-30.0,-34.0,-38.0,11.0,13.0
1103,-37.0,-49.0,-4.0,-14.0,18.0,-1.0,-27.0,-32.0,-27.0,-34.0,8.0,11.0
1105,-53.0,-58.0,4.0,-16.0,,,,,-29.0,-37.0,,
1107,-36.0,-36.0,-4.0,9.0,,,,,-36.0,-35.0,,
1109,-39.0,-43.0,-36.0,-34.0,,,,,-25.0,-31.0,0.0,0.0
1111,-29.0,-45.0,-14.0,-7.0,,,,,-22.0,-31.0,,
1113,-28.0,-46.0,-5.0,19.0,,,,,-27.0,-35.0,13.0,16.0
1115,-30.0,-45.0,-15.0,-15.0,,,-24.0,-32.0,-34.0,-37.0,9.0,10.0
1117,-43.0,-53.0,-20.0,-27.0,44.0,8.0,,,-36.0,-41.0,12.0,14.0
1119,-52.0,-61.0,-6.0,-11.0,,,,,-31.0,-33.0,,
1121,-31.0,-44.0,-10.0,-13.0,17.0,0.0,-12.0,-29.0,-33.0,-35.0,7.0,10.0
1123,-31.0,-43.0,-9.0,-9.0,,,,,-25.0,-30.0,13.0,14.0
1125,-46.0,-52.0,-14.0,-18.0,-1.0,-13.0,-29.0,-38.0,-40.0,-42.0,12.0,13.0
1127,-37.0,-46.0,-10.0,-14.0,,,-32.0,-40.0,-24.0,-26.0,12.0,13.0
1129,,,-13.0,-16.0,,,,,-25.0,-23.0,,
1131,-49.0,-61.0,-17.0,-17.0,,,,,-31.0,-38.0,,
1133,-28.0,-42.0,1.0,-12.0,,,,,-21.0,-27.0,,
2122,-49.0,-37.0,-28.0,-15.0,,,,,-24.0,-21.0,14.0,14.0
4001,-38.0,-38.0,-13.0,-8.0,-35.0,-23.0,-8.0,-16.0,-27.0,-30.0,20.0,17.0
4003,-37.0,-41.0,-21.0,-22.0,-14.0,-18.0,-23.0,-30.0,-29.0,-34.0,8.0,9.0
4005,-55.0,-59.0,-24.0,-27.0,-25.0,-34.0,-34.0,-36.0,-38.0,-41.0,12.0,13.0
4007,-14.0,-21.0,16.0,9.0,95.0,72.0,,,-28.0,-32.0,11.0,11.0
4009,-21.0,-17.0,14.0,17.0,-63.0,-63.0,,,-19.0,-24.0,11.0,12.0
4011,-37.0,-65.0,-10.0,-13.0,,,,,-28.0,-30.0,,
4012,-61.0,-64.0,-35.0,-42.0,-54.0,-65.0,-50.0,-54.0,-21.0,-23.0,,
4013,-40.0,-44.0,-18.0,-21.0,-6.0,-26.0,-44.0,-50.0,-33.0,-38.0,10.0,11.0
4015,-36.0,-39.0,-13.0,-11.0,-13.0,-27.0,-23.0,-30.0,-37.0,-39.0,9.0,9.0
4017,-29.0,-35.0,-9.0,-15.0,11.0,5.0,-12.0,-21.0,-28.0,-34.0,10.0,11.0
4019,-43.0,-45.0,-16.0,-16.0,-16.0,-27.0,-43.0,-48.0,-36.0,-39.0,10.0,11.0
4021,-27.0,-31.0,-23.0,-22.0,1.0,-21.0,-28.0,-39.0,-31.0,-33.0,8.0,9.0
4023,-56.0,-58.0,-47.0,-49.0,-29.0,-40.0,-25.0,-31.0,-33.0,-37.0,18.0,19.0
4025,-40.0,-45.0,-15.0,-15.0,6.0,-10.0,-27.0,-30.0,-38.0,-42.0,9.0,9.0
4027,-45.0,-52.0,-21.0,-24.0,-17.0,-41.0,-53.0,-61.0,-27.0,-28.0,10.0,11.0
5001,-22.0,-23.0,-7.0,8.0,,,,,-11.0,-26.0,,
5003,-24.0,-32.0,-4.0,6.0,,,,,-27.0,-21.0,,
5005,-30.0,-33.0,-2.0,18.0,,,,,-26.0,-26.0,11.0,13.0
5007,-36.0,-48.0,-16.0,-21.0,56.0,-16.0,-65.0,-74.0,-34.0,-35.0,9.0,11.0
5009,-25.0,-36.0,-17.0,-12.0,,,,,-32.0,-37.0,14.0,17.0
5011,-28.0,-40.0,-17.0,-7.0,,,,,-37.0,-33.0,,
5015,-27.0,-49.0,14.0,-3.0,,,,,-27.0,-33.0,-1.0,-1.0
5017,-19.0,-22.0,6.0,4.0,,,,,-25.0,-27.0,,
5019,-33.0,-42.0,2.0,-4.0,,,-23.0,-35.0,-22.0,-31.0,,
5021,-7.0,-10.0,-2.0,-2.0,,,,,-21.0,-32.0,,
5023,-16.0,-48.0,0.0,43.0,,,,,-37.0,-35.0,,
5025,,,,,,,,,-33.0,-33.0,,
5027,-18.0,-20.0,-20.0,-11.0,,,,,-20.0,-31.0,,
5029,2.0,-25.0,4.0,2.0,,,-2.0,-21.0,-25.0,-23.0,,
5031,-32.0,-39.0,-3.0,0.0,-59.0,-59.0,-5.0,-9.0,-24.0,-28.0,4.0,7.0
5033,-16.0,-28.0,-1.0,4.0,,,-11.0,-16.0,-21.0,-24.0,14.0,16.0
5035,-15.0,-29.0,-11.0,6.0,,,-17.0,-22.0,-26.0,-28.0,15.0,15.0
5037,-49.0,-55.0,90.0,93.0,,,,,-7.0,-17.0,,
5039,-17.0,-25.0,,,,,,,-32.0,-30.0,,
5041,-8.0,-22.0,0.0,11.0,,,,,-33.0,-25.0,,
5043,-27.0,-27.0,-10.0,5.0,,,,,-16.0,-20.0,,
5045,-32.0,-40.0,-15.0,-14.0,-21.0,-23.0,,,-31.0,-31.0,8.0,10.0
5047,-8.0,-10.0,12.0,-3.0,,,8.0,-19.0,-16.0,-20.0,,
5049,,,,,,,,,-28.0,-24.0,,
5051,-32.0,-40.0,-12.0,-1.0,17.0,-14.0,,,-32.0,-37.0,7.0,9.0
5053,-10.0,-6.0,-17.0,6.0,,,,,-26.0,-29.0,,
5055,-18.0,-32.0,-4.0,-2.0,,,,,-20.0,-24.0,12.0,14.0
5057,-19.0,-33.0,-13.0,-3.0,,,,,-24.0,-27.0,,
5059,5.0,-16.0,9.0,21.0,,,-28.0,-30.0,-24.0,-22.0,10.0,8.0
5061,-8.0,-36.0,-7.0,4.0,,,,,-29.0,-17.0,,
5063,-27.0,-40.0,9.0,50.0,,,,,-24.0,-21.0,13.0,12.0
5065,-24.0,-22.0,-15.0,8.0,,,,,-29.0,-25.0,,
5067,-10.0,-12.0,-12.0,24.0,,,,,-14.0,-25.0,,
5069,-30.0,-32.0,4.0,13.0,,,-14.0,-18.0,-26.0,-27.0,11.0,12.0
5071,-24.0,-34.0,12.0,4.0,-28.0,-12.0,,,-14.0,-18.0,-2.0,-2.0
5075,-19.0,-22.0,-6.0,-1.0,,,,,-30.0,-32.0,,
5079,-60.0,-60.0,-16.0,-4.0,,,,,-23.0,-20.0,,
5081,-7.0,-25.0,5.0,-4.0,,,,,-34.0,-31.0,,
5083,-5.0,-24.0,13.0,9.0,,,,,-18.0,-21.0,,
5085,-23.0,-29.0,-5.0,4.0,,,,,-27.0,-26.0,15.0,16.0
5087,-10.0,-31.0,17.0,-13.0,,,,,-11.0,-32.0,,
5089,4.0,-16.0,5.0,3.0,,,,,-26.0,-24.0,,
5091,-33.0,-35.0,-10.0,-9.0,-35.0,-37.0,-24.0,-38.0,-32.0,-35.0,12.0,15.0
5093,-11.0,-14.0,-1.0,18.0,,,-18.0,-24.0,-15.0,-20.0,10.0,11.0
5095,-26.0,-40.0,-8.0,-8.0,,,,,-34.0,-20.0,,
5097,,,,,,,,,-33.0,-33.0,,
5099,-61.0,-61.0,,,,,-23.0,-36.0,-21.0,-28.0,,
5101,,,,,,,,,-38.0,-31.0,,
5103,-9.0,-16.0,-21.0,-20.0,,,,,-16.0,-18.0,,
5105,,,,,,,,,-35.0,-33.0,,
5107,-1.0,-5.0,-6.0,16.0,,,,,-32.0,-29.0,,
5109,-30.0,-30.0,13.0,-8.0,,,,,-33.0,-28.0,,
5111,2.0,-2.0,-5.0,7.0,,,,,-15.0,-19.0,,
5113,-17.0,-51.0,3.0,31.0,,,,,-25.0,-23.0,,
5115,-32.0,-40.0,-9.0,-4.0,,,-11.0,-25.0,-22.0,-21.0,12.0,14.0
5117,,,,,,,,,-26.0,-24.0,,
5119,-35.0,-38.0,-9.0,-5.0,73.0,34.0,-38.0,-45.0,-30.0,-31.0,9.0,9.0
5121,-22.0,-33.0,12.0,12.0,,,,,-23.0,-28.0,,
5123,-16.0,-26.0,10.0,28.0,,,-22.0,-29.0,-25.0,-14.0,,
5125,-26.0,-30.0,-13.0,-7.0,-52.0,-65.0,-10.0,-22.0,-33.0,-32.0,7.0,8.0
5127,-39.0,-53.0,,,,,,,-27.0,-23.0,,
5129,,,,,,,,,-39.0,-43.0,,
5131,-36.0,-42.0,-11.0,-7.0,45.0,-10.0,-41.0,-41.0,-27.0,-30.0,7.0,9.0
5133,-24.0,-35.0,-11.0,-8.0,,,,,-19.0,-28.0,,
5135,-17.0,-27.0,-7.0,0.0,,,,,-26.0,-24.0,,
5137,-11.0,-23.0,-29.0,8.0,,,,,-26.0,-26.0,,
5139,-33.0,-32.0,-8.0,-2.0,,,,,-24.0,-23.0,8.0,9.0
5141,-20.0,-33.0,,,,,,,-39.0,-32.0,,
5143,-37.0,-45.0,-16.0,-18.0,37.0,-21.0,-10.0,-29.0,-34.0,-36.0,8.0,11.0
5145,-27.0,-32.0,-12.0,5.0,-19.0,-23.0,4.0,-6.0,-21.0,-26.0,9.0,13.0
5149,-11.0,-27.0,13.0,10.0,16.0,-27.0,,,-19.0,-15.0,,
6001,-58.0,-65.0,-27.0,-36.0,-14.0,-61.0,-64.0,-72.0,-44.0,-49.0,17.0,18.0
