FIPS,03/29/20_grocery,03/29/20_parks,03/29/20_residential,03/29/20_transit,03/29/20_workplaces,03/29/20retail,04/05/20_grocery,04/05/20_parks,04/05/20_residential,04/05/20_transit,04/05/20_workplaces,04/05/20retail,04/11/20_grocery,04/11/20_parks,04/11/20_residential,04/11/20_transit,04/11/20_workplaces,04/11/20retail
1001,-8.0,-14.0,16.0,,-35.0,-42.0,-8.0,-14.0,17.0,,-38.0,-53.0,16.0,-14.0,20.0,,-30.0,-37.0
1003,-19.0,-27.0,9.0,-24.0,-32.0,-47.0,-27.0,-44.0,11.0,-39.0,-35.0,-55.0,-10.0,-42.0,11.0,-39.0,-28.0,-44.0
1005,-20.0,,,,-23.0,-27.0,-20.0,,,,-30.0,-40.0,-20.0,,,,-31.0,-18.0
1007,-10.0,,,,-32.0,-25.0,-15.0,,,,-35.0,-42.0,-15.0,,,,-19.0,-42.0
1009,-2.0,,15.0,,-29.0,-36.0,-17.0,,14.0,,-33.0,-49.0,18.0,,20.0,,-24.0,-20.0
1011,-13.0,,,,-24.0,-37.0,-27.0,,,,-29.0,-22.0,-27.0,,,,-33.0,-22.0
1013,-5.0,,,-45.0,-30.0,-37.0,-9.0,,,-64.0,-30.0,-47.0,-9.0,,,-57.0,-33.0,-47.0
1015,-17.0,-22.0,8.0,,-33.0,-40.0,-22.0,-22.0,11.0,,-36.0,-53.0,1.0,-22.0,9.0,,-29.0,-40.0
1017,1.0,,13.0,-12.0,-28.0,-34.0,-12.0,,15.0,-29.0,-36.0,-46.0,-3.0,,15.0,-40.0,-32.0,-35.0
1019,6.0,,,,-29.0,-24.0,-5.0,,,,-31.0,-41.0,-5.0,,,,-18.0,-41.0
1021,-11.0,,14.0,-27.0,-26.0,-41.0,-14.0,,13.0,-45.0,-32.0,-49.0,11.0,,17.0,-30.0,-25.0,-28.0
1023,-16.0,,,,-28.0,-13.0,-19.0,,,,-38.0,-13.0,-19.0,,,,-43.0,-13.0
1025,-24.0,,,,-27.0,-27.0,-29.0,,,,-27.0,-40.0,-29.0,,,,-9.0,-22.0
1027,-14.0,,,,-20.0,-33.0,-20.0,,,,-26.0,-43.0,-20.0,,,,-41.0,-43.0
1029,-3.0,,,-36.0,-9.0,-22.0,-13.0,,,-48.0,-16.0,-35.0,-13.0,,,-42.0,-14.0,-35.0
1031,-15.0,,11.0,,-26.0,-28.0,-19.0,,13.0,,-33.0,-42.0,-2.0,,18.0,,-27.0,-25.0
1033,-6.0,-14.0,12.0,-20.0,-22.0,-30.0,-16.0,-23.0,12.0,-23.0,-29.0,-45.0,11.0,-37.0,16.0,-23.0,-21.0,-27.0
1035,-10.0,,,-33.0,-21.0,-49.0,-10.0,,,-44.0,-26.0,-65.0,-10.0,,,-41.0,-36.0,-65.0
1037,,,,,-28.0,,,,,,-31.0,,,,,,-44.0,
1039,-15.0,,7.0,,-23.0,-37.0,-17.0,,8.0,,-33.0,-47.0,6.0,,8.0,,-20.0,-30.0
