FIPS,03/29/20_residential,04/05/20_residential,03/29/20_workplaces,04/05/20_workplaces,03/29/20_transit,04/05/20_transit,03/29/20_parks,04/05/20_parks,03/29/20_grocery,04/05/20_grocery,03/29/20retail,04/05/20retail
1001,16.0,17.0,-35.0,-38.0,,,-14.0,-14.0,-8.0,-8.0,-42.0,-53.0
1003,9.0,11.0,-32.0,-35.0,-24.0,-39.0,-27.0,-44.0,-19.0,-27.0,-47.0,-55.0
1005,,,-23.0,-30.0,,,,,-20.0,-20.0,-27.0,-40.0
1007,,,-32.0,-35.0,,,,,-10.0,-15.0,-25.0,-42.0
1009,15.0,14.0,-29.0,-33.0,,,,,-2.0,-17.0,-36.0,-49.0
1011,,,-24.0,-29.0,,,,,-13.0,-27.0,-37.0,-22.0
1013,,,-30.0,-30.0,-45.0,-64.0,,,-5.0,-9.0,-37.0,-47.0
1015,8.0,11.0,-33.0,-36.0,,,-22.0,-22.0,-17.0,-22.0,-40.0,-53.0
1017,13.0,15.0,-28.0,-36.0,-12.0,-29.0,,,1.0,-12.0,-34.0,-46.0
1019,,,-29.0,-31.0,,,,,6.0,-5.0,-24.0,-41.0
1021,14.0,13.0,-26.0,-32.0,-27.0,-45.0,,,-11.0,-14.0,-41.0,-49.0
1023,,,-28.0,-38.0,,,,,-16.0,-19.0,-13.0,-13.0
1025,,,-27.0,-27.0,,,,,-24.0,-29.0,-27.0,-40.0
1027,,,-20.0,-26.0,,,,,-14.0,-20.0,-33.0,-43.0
1029,,,-9.0,-16.0,-36.0,-48.0,,,-3.0,-13.0,-22.0,-35.0
1031,11.0,13.0,-26.0,-33.0,,,,,-15.0,-19.0,-28.0,-42.0
1033,12.0,12.0,-22.0,-29.0,-20.0,-23.0,-14.0,-23.0,-6.0,-16.0,-30.0,-45.0
1035,,,-21.0,-26.0,-33.0,-44.0,,,-10.0,-10.0,-49.0,-65.0
1037,,,-28.0,-31.0,,,,,,,,
1039,7.0,8.0,-23.0,-33.0,,,,,-15.0,-17.0,-37.0,-47.0
1041,,,-35.0,-28.0,,,,,-17.0,-10.0,-57.0,-58.0
1043,8.0,9.0,-29.0,-34.0,-33.0,-38.0,86.0,65.0,-2.0,-10.0,-33.0,-53.0
1045,11.0,12.0,-25.0,-31.0,-17.0,-39.0,,,-9.0,-22.0,-34.0,-44.0
1047,5.0,5.0,-22.0,-35.0,,,,,-2.0,-16.0,-27.0,-37.0
1049,11.0,12.0,-23.0,-23.0,-33.0,-49.0,9.0,-4.0,-7.0,-21.0,-38.0,-52.0
1051,8.0,16.0,-37.0,-40.0,,,50.0,30.0,-13.0,-11.0,-40.0,-47.0
1053,7.0,7.0,-27.0,-31.0,,,,,-20.0,-7.0,-35.0,-39.0
1055,9.0,11.0,-33.0,-36.0,-27.0,-35.0,19.0,-23.0,-13.0,-22.0,-47.0,-58.0
1057,,,-28.0,-28.0,,,,,,,-23.0,-39.0
1059,5.0,5.0,-14.0,-21.0,,,,,-4.0,-15.0,-27.0,-45.0
1061,-2.0,-2.0,-28.0,-33.0,,,,,-4.0,-7.0,-34.0,-42.0
1063,,,-33.0,-33.0,-32.0,-40.0,,,-22.0,-29.0,11.0,11.0
1065,,,-14.0,-39.0,,,,,-29.0,-36.0,-46.0,-41.0
1067,,,-29.0,-33.0,,,,,-8.0,-19.0,-46.0,-49.0
1069,9.0,11.0,-30.0,-36.0,-27.0,-44.0,23.0,2.0,-18.0,-25.0,-46.0,-58.0
1071,12.0,12.0,-25.0,-33.0,,,,,-4.0,-10.0,-31.0,-49.0
1073,11.0,13.0,-36.0,-42.0,-43.0,-46.0,7.0,-20.0,-16.0,-17.0,-48.0,-56.0
1075,,,-28.0,-32.0,,,,,2.0,0.0,0.0,-32.0
1077,9.0,8.0,-33.0,-36.0,,,-15.0,-15.0,-14.0,-16.0,-43.0,-54.0
1079,7.0,7.0,-25.0,-30.0,,,,,-6.0,-16.0,-27.0,-41.0
1081,11.0,13.0,-36.0,-43.0,,,-14.0,-14.0,-23.0,-27.0,-52.0,-58.0
1083,9.0,10.0,-32.0,-37.0,,,38.0,32.0,-12.0,-18.0,-35.0,-46.0
1085,,,-34.0,-41.0,-29.0,-44.0,,,,,,
1087,,,-37.0,-39.0,-42.0,-54.0,,,-12.0,-5.0,-29.0,-46.0
1089,10.0,13.0,-38.0,-43.0,-39.0,-53.0,35.0,8.0,-17.0,-28.0,-46.0,-56.0
1091,,,-17.0,-19.0,,,,,-4.0,5.0,-18.0,-26.0
1093,,,-24.0,-31.0,,,,,-4.0,-13.0,-31.0,-43.0
1095,8.0,8.0,-30.0,-31.0,,,107.0,63.0,-4.0,-12.0,-34.0,-50.0
1097,9.0,11.0,-29.0,-33.0,-30.0,-37.0,-21.0,-30.0,-11.0,-10.0,-39.0,-42.0
1099,,,-27.0,-34.0,,,,,-7.0,36.0,-28.0,-52.0
1101,11.0,13.0,-34.0,-38.0,-14.0,-30.0,-9.0,-16.0,-14.0,-17.0,-44.0,-52.0
1103,8.0,11.0,-27.0,-34.0,-27.0,-32.0,18.0,-1.0,-4.0,-14.0,-37.0,-49.0
1105,,,-29.0,-37.0,,,,,4.0,-16.0,-53.0,-58.0
1107,,,-36.0,-35.0,,,,,-4.0,9.0,-36.0,-36.0
1109,0.0,0.0,-25.0,-31.0,,,,,-36.0,-34.0,-39.0,-43.0
1111,,,-22.0,-31.0,,,,,-14.0,-7.0,-29.0,-45.0
1113,13.0,16.0,-27.0,-35.0,,,,,-5.0,19.0,-28.0,-46.0
1115,9.0,10.0,-34.0,-37.0,-24.0,-32.0,,,-15.0,-15.0,-30.0,-45.0
1117,12.0,14.0,-36.0,-41.0,,,44.0,8.0,-20.0,-27.0,-43.0,-53.0
1119,,,-31.0,-33.0,,,,,-6.0,-11.0,-52.0,-61.0
1121,7.0,10.0,-33.0,-35.0,-12.0,-29.0,17.0,0.0,-10.0,-13.0,-31.0,-44.0
1123,13.0,14.0,-25.0,-30.0,,,,,-9.0,-9.0,-31.0,-43.0
