,Grocery & pharmacy,Grocery & pharmacy,Grocery & pharmacy
Date,2020-03-29,2020-04-05,2020-04-11
FIPS,,,
1001,-8.0,-8.0,16.0
1003,-19.0,-27.0,-10.0
1005,-20.0,-20.0,-20.0
1007,-10.0,-15.0,-15.0
1009,-2.0,-17.0,18.0
1011,-13.0,-27.0,-27.0
1013,-5.0,-9.0,-9.0
1015,-17.0,-22.0,1.0
1017,1.0,-12.0,-3.0
1019,6.0,-5.0,-5.0
1021,-11.0,-14.0,11.0
1023,-16.0,-19.0,-19.0
1025,-24.0,-29.0,-29.0
1027,-14.0,-20.0,-20.0
1029,-3.0,-13.0,-13.0
1031,-15.0,-19.0,-2.0
1033,-6.0,-16.0,11.0
1035,-10.0,-10.0,-10.0
1037,,,
1039,-15.0,-17.0,6.0
1041,-17.0,-10.0,-10.0
1043,-2.0,-10.0,13.0
1045,-9.0,-22.0,0.0
1047,-2.0,-16.0,7.0
1049,-7.0,-21.0,2.0
1051,-13.0,-11.0,6.0
1053,-20.0,-7.0,-7.0
1055,-13.0,-22.0,1.0
1057,,,
1059,-4.0,-15.0,-15.0
1061,-4.0,-7.0,14.0
1063,-22.0,-29.0,-29.0
1065,-29.0,-36.0,-36.0
1067,-8.0,-19.0,-19.0
1069,-18.0,-25.0,-5.0
1071,-4.0,-10.0,14.0
1073,-16.0,-17.0,3.0
1075,2.0,0.0,0.0
1077,-14.0,-16.0,6.0
1079,-6.0,-16.0,-16.0
1081,-23.0,-27.0,-9.0
1083,-12.0,-18.0,5.0
1085,,,
1087,-12.0,-5.0,-5.0
1089,-17.0,-28.0,-5.0
1091,-4.0,5.0,5.0
1093,-4.0,-13.0,-13.0
1095,-4.0,-12.0,7.0
1097,-11.0,-10.0,6.0
1099,-7.0,36.0,36.0
1101,-14.0,-17.0,-2.0
1103,-4.0,-14.0,11.0
1105,4.0,-16.0,-16.0
1107,-4.0,9.0,9.0
1109,-36.0,-34.0,-20.0
1111,-14.0,-7.0,-7.0
1113,-5.0,19.0,48.0
1115,-15.0,-15.0,8.0
1117,-20.0,-27.0,-4.0
1119,-6.0,-11.0,-11.0
1121,-10.0,-13.0,11.0
1123,-9.0,-9.0,6.0
1125,-14.0,-18.0,5.0
1127,-10.0,-14.0,7.0
1129,-13.0,-16.0,-16.0
1131,-17.0,-17.0,
1133,1.0,-12.0,-12.0
2122,-28.0,-15.0,-8.0
4001,-13.0,-8.0,-54.0
4003,-21.0,-22.0,-18.0
4005,-24.0,-27.0,-32.0
4007,16.0,9.0,16.0
4009,14.0,17.0,12.0
4011,-10.0,-13.0,-13.0
4012,-35.0,-42.0,-39.0
4013,-18.0,-21.0,-13.0
4015,-13.0,-11.0,-5.0
4017,-9.0,-15.0,-23.0
4019,-16.0,-16.0,-14.0
4021,-23.0,-22.0,-16.0
4023,-47.0,-49.0,-43.0
4025,-15.0,-15.0,-6.0
4027,-21.0,-24.0,-23.0
5001,-7.0,8.0,8.0
5003,-4.0,6.0,6.0
5005,-2.0,18.0,18.0
5007,-16.0,-21.0,-7.0
5009,-17.0,-12.0,5.0
5011,-17.0,-7.0,-7.0
5015,14.0,-3.0,-3.0
5017,6.0,4.0,4.0
5019,2.0,-4.0,-4.0
5021,-2.0,-2.0,-2.0
5023,0.0,43.0,43.0
5025,,,
5027,-20.0,-11.0,-11.0
5029,4.0,2.0,2.0
5031,-3.0,0.0,-6.0
5033,-1.0,4.0,6.0
5035,-11.0,6.0,10.0
5037,90.0,93.0,93.0
5039,,,
5041,0.0,11.0,11.0
5043,-10.0,5.0,5.0
5045,-15.0,-14.0,-11.0
5047,12.0,-3.0,-3.0
5049,,,
5051,-12.0,-1.0,0.0
5053,-17.0,6.0,6.0
5055,-4.0,-2.0,5.0
5057,-13.0,-3.0,-3.0
5059,9.0,21.0,21.0
5061,-7.0,4.0,4.0
5063,9.0,50.0,50.0
5065,-15.0,8.0,8.0
5067,-12.0,24.0,24.0
5069,4.0,13.0,21.0
5071,12.0,4.0,4.0
5075,-6.0,-1.0,-1.0
5079,-16.0,-4.0,-4.0
5081,5.0,-4.0,-4.0
5083,13.0,9.0,9.0
5085,-5.0,4.0,12.0
5087,17.0,-13.0,-13.0
5089,5.0,3.0,3.0
5091,-10.0,-9.0,-2.0
5093,-1.0,18.0,18.0
5095,-8.0,-8.0,-8.0
5097,,,
5099,,,
5101,,,
5103,-21.0,-20.0,-20.0
5105,,,
5107,-6.0,16.0,16.0
5109,13.0,-8.0,-8.0
5111,-5.0,7.0,7.0
5113,3.0,31.0,31.0
5115,-9.0,-4.0,-6.0
5117,,,
5119,-9.0,-5.0,-5.0
5121,12.0,12.0,12.0
5123,10.0,28.0,28.0
5125,-13.0,-7.0,-3.0
5127,,,
5129,,,
5131,-11.0,-7.0,-3.0
5133,-11.0,-8.0,-8.0
