,Date,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplaces,Residential,FIPS
0,2020-03-29,-35.0,7.0,,,-30.0,,45001
1,2020-04-05,-30.0,7.0,,,-39.0,,45001
2,2020-04-11,-30.0,7.0,,,-25.0,,45001
3,2020-03-29,-24.0,-5.0,,-36.0,-21.0,15.0,22001
4,2020-04-05,-27.0,11.0,,-46.0,-30.0,16.0,22001
5,2020-04-11,-31.0,23.0,,-52.0,-28.0,12.0,22001
6,2020-03-29,-30.0,-18.0,,,-26.0,13.0,51001
7,2020-04-05,-30.0,-19.0,,,-25.0,14.0,51001
8,2020-04-11,-24.0,-4.0,,,-19.0,14.0,51001
9,2020-03-29,-49.0,-23.0,33.0,-54.0,-43.0,11.0,16001
10,2020-04-05,-47.0,-20.0,42.0,-57.0,-44.0,11.0,16001
11,2020-04-11,-45.0,-6.0,24.0,-54.0,-40.0,13.0,16001
12,2020-03-29,-46.0,-3.0,,,-33.0,,19001
13,2020-04-05,-44.0,2.0,,,-36.0,,19001
14,2020-04-11,-44.0,2.0,,,-43.0,,19001
15,2020-03-29,-22.0,-16.0,,,-39.0,,21001
16,2020-04-05,-28.0,6.0,,,-43.0,,21001
17,2020-04-11,-28.0,6.0,,,-52.0,,21001
18,2020-03-29,-40.0,55.0,,,-20.0,-1.0,29001
19,2020-04-05,-41.0,57.0,,,-24.0,-1.0,29001
20,2020-04-11,-50.0,57.0,,,-29.0,-1.0,29001
21,2020-03-29,-3.0,8.0,,,-23.0,,40001
22,2020-04-05,-22.0,8.0,,,-28.0,,40001
23,2020-04-11,-22.0,8.0,,,-33.0,,40001
24,2020-03-29,-49.0,-25.0,-12.0,-30.0,-36.0,13.0,8001
25,2020-04-05,-43.0,-15.0,10.0,-24.0,-36.0,12.0,8001
26,2020-04-11,-41.0,-4.0,0.0,-27.0,-36.0,14.0,8001
27,2020-03-29,-42.0,-15.0,,-30.0,-27.0,16.0,17001
28,2020-04-05,-42.0,-15.0,,-20.0,-26.0,16.0,17001
29,2020-04-11,-51.0,-7.0,,-2.0,-29.0,19.0,17001
30,2020-03-29,-43.0,-25.0,,,-33.0,8.0,18001
31,2020-04-05,-37.0,-29.0,,,-33.0,8.0,18001
32,2020-04-11,-35.0,-29.0,,,-27.0,8.0,18001
33,2020-03-29,-33.0,-10.0,,,-34.0,,28001
34,2020-04-05,-43.0,-26.0,,,-37.0,,28001
35,2020-04-11,-36.0,-14.0,,,-29.0,,28001
36,2020-03-29,-24.0,-14.0,,,-18.0,13.0,31001
37,2020-04-05,-37.0,-9.0,,,-26.0,17.0,31001
38,2020-04-11,-38.0,-9.0,,,-19.0,18.0,31001
39,2020-03-29,-25.0,-4.0,,,-22.0,-2.0,39001
40,2020-04-05,-39.0,32.0,,,-25.0,-2.0,39001
41,2020-04-11,-39.0,32.0,,,-23.0,-2.0,39001
42,2020-03-29,-58.0,-29.0,0.0,,-41.0,16.0,42001
43,2020-04-05,-57.0,-26.0,35.0,,-39.0,15.0,42001
44,2020-04-11,-54.0,-3.0,16.0,,-40.0,14.0,42001
45,2020-03-29,-31.0,4.0,,-31.0,-27.0,,53001
46,2020-04-05,-38.0,19.0,,-15.0,-31.0,,53001
47,2020-04-11,-38.0,19.0,,-17.0,-31.0,,53001
48,2020-03-29,-62.0,-16.0,,,-36.0,,55001
49,2020-04-05,-43.0,1.0,,,-39.0,,55001
50,2020-04-11,-43.0,1.0,,,-37.0,,55001
51,2020-03-29,-55.0,-38.0,,,-35.0,6.0,50001
52,2020-04-05,-46.0,-32.0,,,-35.0,6.0,50001
53,2020-04-11,-46.0,-32.0,,,-32.0,6.0,50001
54,2020-03-29,-31.0,-11.0,-1.0,0.0,-33.0,8.0,45003
55,2020-04-05,-35.0,-11.0,-11.0,-20.0,-37.0,10.0,45003
56,2020-04-11,-32.0,-1.0,-19.0,-27.0,-33.0,11.0,45003
57,2020-03-29,-63.0,-46.0,-65.0,,-41.0,,27001
58,2020-04-05,-47.0,-35.0,-50.0,,-46.0,,27001
59,2020-04-11,-47.0,-35.0,-58.0,,-33.0,,27001
60,2020-03-29,-54.0,-26.0,-32.0,-48.0,-37.0,12.0,12001
61,2020-04-05,-57.0,-30.0,-53.0,-54.0,-40.0,14.0,12001
62,2020-04-11,-51.0,-19.0,-39.0,-49.0,-32.0,14.0,12001
63,2020-03-29,-39.0,-7.0,34.0,-18.0,-33.0,9.0,37001
64,2020-04-05,-41.0,-6.0,39.0,-29.0,-35.0,10.0,37001
65,2020-04-11,-43.0,4.0,57.0,-32.0,-32.0,11.0,37001
66,2020-03-29,-58.0,-27.0,-14.0,-64.0,-44.0,17.0,6001
67,2020-04-05,-65.0,-36.0,-61.0,-72.0,-49.0,18.0,6001
68,2020-04-11,-59.0,-23.0,-30.0,-65.0,-45.0,19.0,6001
69,2020-03-29,-44.0,-28.0,,,-28.0,,8003
70,2020-04-05,-40.0,-15.0,,,-17.0,,8003
71,2020-04-11,-40.0,-15.0,,,-24.0,,8003
72,2020-03-29,-59.0,-30.0,-15.0,-64.0,-36.0,13.0,36001
73,2020-04-05,-56.0,-23.0,91.0,-62.0,-37.0,11.0,36001
74,2020-04-11,-62.0,37.0,66.0,-54.0,-37.0,14.0,36001
75,2020-03-29,-42.0,-27.0,-4.0,1.0,-29.0,16.0,56001
76,2020-04-05,-39.0,-20.0,-4.0,-10.0,-29.0,21.0,56001
77,2020-04-11,-40.0,-20.0,-4.0,8.0,-32.0,16.0,56001
78,2020-03-29,-50.0,-30.0,36.0,-55.0,-47.0,23.0,51003
79,2020-04-05,-53.0,-27.0,21.0,-67.0,-48.0,24.0,51003
80,2020-04-11,-48.0,-18.0,-2.0,-61.0,-39.0,25.0,51003
81,2020-03-29,1.0,,,,-45.0,,26001
82,2020-04-05,1.0,,,,-50.0,,26001
83,2020-04-11,1.0,,,,-50.0,,26001
84,2020-03-29,-32.0,-9.0,,,-28.0,1.0,28003
85,2020-04-05,-43.0,-13.0,,,-38.0,1.0,28003
86,2020-04-11,-40.0,-13.0,,,-31.0,1.0,28003
87,2020-03-29,,,,,-30.0,,17003
88,2020-04-05,,,,,-27.0,,17003
89,2020-04-11,,,,,-43.0,,17003
90,2020-03-29,-24.0,10.0,,,-23.0,12.0,37003
91,2020-04-05,-32.0,13.0,,,-30.0,15.0,37003
92,2020-04-11,-30.0,13.0,,,-33.0,16.0,37003
93,2020-03-29,-79.0,-57.0,-54.0,,-56.0,,26003
94,2020-04-05,-79.0,-45.0,-49.0,,-56.0,,26003
95,2020-04-11,-79.0,-45.0,-14.0,,-62.0,,26003
96,2020-03-29,-57.0,-27.0,,,-22.0,,19005
97,2020-04-05,-75.0,-5.0,,,-25.0,,19005
98,2020-04-11,-75.0,-5.0,,,-38.0,,19005
99,2020-03-29,-49.0,-17.0,-21.0,-36.0,-39.0,12.0,26005
100,2020-04-05,-42.0,-10.0,-21.0,-30.0,-39.0,10.0,26005
101,2020-04-11,-49.0,-4.0,,-51.0,-41.0,15.0,26005
102,2020-03-29,-39.0,-17.0,-8.0,-32.0,-31.0,16.0,24001
103,2020-04-05,-48.0,-22.0,-33.0,-44.0,-32.0,18.0,24001
