,Parks,Parks,Parks
Date,2020-03-29,2020-04-05,2020-04-11
FIPS,,,
1001,-14.0,-14.0,-14.0
1003,-27.0,-44.0,-42.0
1005,,,
1007,,,
1009,,,
1011,,,
1013,,,
1015,-22.0,-22.0,-22.0
1017,,,
1019,,,
1021,,,
1023,,,
1025,,,
1027,,,
1029,,,
1031,,,
1033,-14.0,-23.0,-37.0
1035,,,
1037,,,
1039,,,
1041,,,
1043,86.0,65.0,38.0
1045,,,
1047,,,
1049,9.0,-4.0,-4.0
1051,50.0,30.0,49.0
1053,,,
1055,19.0,-23.0,-23.0
1057,,,
1059,,,
1061,,,
1063,,,
1065,,,
1067,,,
1069,23.0,2.0,14.0
1071,,,
1073,7.0,-20.0,20.0
1075,,,
1077,-15.0,-15.0,-15.0
1079,,,
1081,-14.0,-14.0,-14.0
1083,38.0,32.0,-1.0
1085,,,
1087,,,
1089,35.0,8.0,55.0
1091,,,
1093,,,
1095,107.0,63.0,94.0
1097,-21.0,-30.0,-33.0
1099,,,
1101,-9.0,-16.0,0.0
1103,18.0,-1.0,49.0
1105,,,
1107,,,
1109,,,
1111,,,
1113,,,
1115,,,
1117,44.0,8.0,56.0
1119,,,
1121,17.0,0.0,16.0
1123,,,
1125,-1.0,-13.0,-10.0
1127,,,
1129,,,
1131,,,
1133,,,
2122,,,
4001,-35.0,-23.0,-59.0
4003,-14.0,-18.0,-44.0
4005,-25.0,-34.0,-46.0
4007,95.0,72.0,41.0
4009,-63.0,-63.0,
4011,,,
4012,-54.0,-65.0,-67.0
4013,-6.0,-26.0,-41.0
4015,-13.0,-27.0,-27.0
4017,11.0,5.0,5.0
4019,-16.0,-27.0,-52.0
4021,1.0,-21.0,-45.0
4023,-29.0,-40.0,-62.0
4025,6.0,-10.0,-32.0
4027,-17.0,-41.0,-53.0
5001,,,
5003,,,
5005,,,
5007,56.0,-16.0,21.0
5009,,,
5011,,,
5015,,,
5017,,,
5019,,,
5021,,,
5023,,,
5025,,,
5027,,,
5029,,,
5031,-59.0,-59.0,-59.0
5033,,,
5035,,,
5037,,,
5039,,,
5041,,,
5043,,,
5045,-21.0,-23.0,-2.0
5047,,,
5049,,,
5051,17.0,-14.0,-43.0
5053,,,
5055,,,
5057,,,
5059,,,
5061,,,
5063,,,
5065,,,
5067,,,
5069,,,
5071,-28.0,-12.0,-12.0
5075,,,
5079,,,
5081,,,
5083,,,
5085,,,
5087,,,
5089,,,
5091,-35.0,-37.0,-33.0
5093,,,
5095,,,
5097,,,
5099,,,
5101,,,
5103,,,
5105,,,
5107,,,
5109,,,
5111,,,
5113,,,
5115,,,
5117,,,
5119,73.0,34.0,-18.0
5121,,,
5123,,,
5125,-52.0,-65.0,-44.0
5127,,,
5129,,,
5131,45.0,-10.0,0.0
5133,,,
5135,,,
5137,,,
5139,,,
5141,,,
5143,37.0,-21.0,13.0
5145,-19.0,-23.0,-9.0
5149,16.0,-27.0,18.0
6001,-14.0,-61.0,-30.0
6005,-50.0,-64.0,-64.0
6007,-23.0,-63.0,-22.0
6009,-28.0,-75.0,-54.0
6011,,,
6013,-15.0,-53.0,-17.0
6015,-26.0,-32.0,20.0
6017,-35.0,-83.0,-45.0
6019,-27.0,-66.0,-46.0
6021,-11.0,-36.0,-36.0
6023,-10.0,-29.0,-18.0
6025,-65.0,-74.0,-77.0
6027,-35.0,-54.0,-52.0
6029,-16.0,-27.0,-24.0
6031,-12.0,-52.0,-39.0
6033,-42.0,-49.0,-40.0
6035,,,
6037,-48.0,-59.0,-54.0
6039,-20.0,-59.0,-29.0
6041,-59.0,-70.0,-63.0
6043,-72.0,-87.0,-83.0
6045,-39.0,-51.0,-51.0
6047,-1.0,-60.0,-25.0
6049,,,
6051,-57.0,-61.0,-46.0
6053,-48.0,-79.0,-56.0
6055,-24.0,-52.0,-14.0
6057,-48.0,-70.0,-48.0
6059,-31.0,-53.0,-42.0
6061,-2.0,-69.0,-15.0
6063,,,
6065,-44.0,-60.0,-59.0
6067,-1.0,-58.0,-23.0
6069,-36.0,-76.0,-54.0
6071,-36.0,-49.0,-44.0
6073,-51.0,-70.0,-68.0
6075,-55.0,-65.0,-59.0
6077,-16.0,-58.0,-14.0
6079,-27.0,-77.0,-37.0
6081,-35.0,-63.0,-38.0
6083,-30.0,-67.0,-33.0
6085,-22.0,-70.0,-17.0
6087,-40.0,-75.0,-63.0
6089,-21.0,-41.0,33.0
6093,-6.0,-20.0,37.0
6095,-18.0,-52.0,-18.0
6097,-58.0,-61.0,-59.0
6099,-12.0,-62.0,-15.0
6101,-28.0,-47.0,-19.0
6103,-9.0,-31.0,-5.0
6105,,,
6107,-27.0,-50.0,-47.0
6109,-67.0,-83.0,-72.0
6111,-24.0,-56.0,-38.0
6113,2.0,-48.0,-9.0
6115,24.0,-37.0,37.0
