,Workplaces,Workplaces,Workplaces
Date,2020-03-29,2020-04-05,2020-04-11
FIPS,,,
1001,-35.0,-38.0,-30.0
1003,-32.0,-35.0,-28.0
1005,-23.0,-30.0,-31.0
1007,-32.0,-35.0,-19.0
1009,-29.0,-33.0,-24.0
1011,-24.0,-29.0,-33.0
1013,-30.0,-30.0,-33.0
1015,-33.0,-36.0,-29.0
1017,-28.0,-36.0,-32.0
1019,-29.0,-31.0,-18.0
1021,-26.0,-32.0,-25.0
1023,-28.0,-38.0,-43.0
1025,-27.0,-27.0,-9.0
1027,-20.0,-26.0,-41.0
1029,-9.0,-16.0,-14.0
1031,-26.0,-33.0,-27.0
1033,-22.0,-29.0,-21.0
1035,-21.0,-26.0,-36.0
1037,-28.0,-31.0,-44.0
1039,-23.0,-33.0,-20.0
1041,-35.0,-28.0,-33.0
1043,-29.0,-34.0,-28.0
1045,-25.0,-31.0,-23.0
1047,-22.0,-35.0,-22.0
1049,-23.0,-23.0,-16.0
1051,-37.0,-40.0,-33.0
1053,-27.0,-31.0,-28.0
1055,-33.0,-36.0,-30.0
1057,-28.0,-28.0,-32.0
1059,-14.0,-21.0,-21.0
1061,-28.0,-33.0,-27.0
1063,-33.0,-33.0,-44.0
1065,-14.0,-39.0,-29.0
1067,-29.0,-33.0,-21.0
1069,-30.0,-36.0,-29.0
1071,-25.0,-33.0,-21.0
1073,-36.0,-42.0,-32.0
1075,-28.0,-32.0,-39.0
1077,-33.0,-36.0,-29.0
1079,-25.0,-30.0,-22.0
1081,-36.0,-43.0,-32.0
1083,-32.0,-37.0,-24.0
1085,-34.0,-41.0,-54.0
1087,-37.0,-39.0,-39.0
1089,-38.0,-43.0,-36.0
1091,-17.0,-19.0,-9.0
1093,-24.0,-31.0,-32.0
1095,-30.0,-31.0,-28.0
1097,-29.0,-33.0,-28.0
1099,-27.0,-34.0,-24.0
1101,-34.0,-38.0,-29.0
1103,-27.0,-34.0,-31.0
1105,-29.0,-37.0,-44.0
1107,-36.0,-35.0,-36.0
1109,-25.0,-31.0,-34.0
1111,-22.0,-31.0,-26.0
1113,-27.0,-35.0,-27.0
1115,-34.0,-37.0,-26.0
1117,-36.0,-41.0,-32.0
1119,-31.0,-33.0,-45.0
1121,-33.0,-35.0,-26.0
1123,-25.0,-30.0,-31.0
1125,-40.0,-42.0,-35.0
1127,-24.0,-26.0,-15.0
1129,-25.0,-23.0,-36.0
1131,-31.0,-38.0,-44.0
1133,-21.0,-27.0,-23.0
2122,-24.0,-21.0,-24.0
4001,-27.0,-30.0,-34.0
4003,-29.0,-34.0,-34.0
4005,-38.0,-41.0,-42.0
4007,-28.0,-32.0,-27.0
4009,-19.0,-24.0,-19.0
4011,-28.0,-30.0,-37.0
4012,-21.0,-23.0,-21.0
4013,-33.0,-38.0,-37.0
4015,-37.0,-39.0,-36.0
4017,-28.0,-34.0,-30.0
4019,-36.0,-39.0,-39.0
4021,-31.0,-33.0,-31.0
4023,-33.0,-37.0,-36.0
4025,-38.0,-42.0,-37.0
4027,-27.0,-28.0,-34.0
5001,-11.0,-26.0,-24.0
5003,-27.0,-21.0,-13.0
5005,-26.0,-26.0,-22.0
5007,-34.0,-35.0,-32.0
5009,-32.0,-37.0,-35.0
5011,-37.0,-33.0,-42.0
5015,-27.0,-33.0,-43.0
5017,-25.0,-27.0,-35.0
5019,-22.0,-31.0,-13.0
5021,-21.0,-32.0,-36.0
5023,-37.0,-35.0,-27.0
5025,-33.0,-33.0,-40.0
5027,-20.0,-31.0,-21.0
5029,-25.0,-23.0,-21.0
5031,-24.0,-28.0,-26.0
5033,-21.0,-24.0,-20.0
5035,-26.0,-28.0,-25.0
5037,-7.0,-17.0,-7.0
5039,-32.0,-30.0,-25.0
5041,-33.0,-25.0,-41.0
5043,-16.0,-20.0,-27.0
5045,-31.0,-31.0,-28.0
5047,-16.0,-20.0,-20.0
5049,-28.0,-24.0,-31.0
5051,-32.0,-37.0,-34.0
5053,-26.0,-29.0,-16.0
5055,-20.0,-24.0,-23.0
5057,-24.0,-27.0,-25.0
5059,-24.0,-22.0,-19.0
5061,-29.0,-17.0,-24.0
5063,-24.0,-21.0,-16.0
5065,-29.0,-25.0,-36.0
5067,-14.0,-25.0,-32.0
5069,-26.0,-27.0,-25.0
5071,-14.0,-18.0,-20.0
5075,-30.0,-32.0,-43.0
5079,-23.0,-20.0,-39.0
5081,-34.0,-31.0,-42.0
5083,-18.0,-21.0,-15.0
5085,-27.0,-26.0,-22.0
5087,-11.0,-32.0,-20.0
5089,-26.0,-24.0,-31.0
5091,-32.0,-35.0,-26.0
5093,-15.0,-20.0,-15.0
5095,-34.0,-20.0,-39.0
5097,-33.0,-33.0,-35.0
5099,-21.0,-28.0,-33.0
5101,-38.0,-31.0,-29.0
5103,-16.0,-18.0,-19.0
