,FIPS,state,county,hospitals,staffed_beds,licensed_beds,icu_beds_Pre,icu_beds_Post
0,1001,AL,Autauga,1,55.0,85.0,6.0,6
1,1003,AL,Baldwin,3,362.0,410.0,44.0,51
2,1005,AL,Barbour,1,30.0,74.0,5.0,5
3,1007,AL,Bibb,1,25.0,35.0,0.0,0
4,1009,AL,Blount,1,25.0,40.0,6.0,6
5,1011,AL,Bullock,1,30.0,61.0,0.0,0
6,1013,AL,Butler,1,44.0,72.0,7.0,7
7,1015,AL,Calhoun,2,413.0,486.0,24.0,24
8,1017,AL,Chambers,0,0.0,115.0,0.0,0
9,1019,AL,Cherokee,1,45.0,60.0,0.0,0
10,1021,AL,Chilton,1,26.0,30.0,6.0,6
11,1023,AL,Choctaw,1,25.0,25.0,0.0,0
12,1025,AL,Clarke,2,56.0,85.0,0.0,0
13,1027,AL,Clay,1,46.0,53.0,4.0,4
14,1029,,,0,,,,0
15,1031,AL,Coffee,1,99.0,131.0,7.0,7
16,1033,AL,Colbert,2,300.0,363.0,22.0,22
17,1035,AL,Conecuh,1,44.0,58.0,0.0,0
18,1037,,,0,,,,0
19,1039,AL,Covington,2,128.0,187.0,13.0,13
20,1041,AL,Crenshaw,1,57.0,93.0,0.0,0
21,1043,AL,Cullman,1,185.0,185.0,12.0,12
22,1045,AL,Dale,1,77.0,89.0,6.0,6
23,1047,AL,Dallas,1,109.0,175.0,23.0,18
24,1049,AL,De Kalb,1,97.0,134.0,12.0,12
25,1051,AL,Elmore,2,70.0,138.0,5.0,5
26,1053,AL,Escambia,2,95.0,142.0,14.0,14
27,1055,AL,Etowah,2,590.0,739.0,40.0,56
28,1057,AL,Fayette,2,45.0,61.0,8.0,12
29,1059,AL,Franklin,2,74.0,125.0,7.0,7
30,1061,AL,Geneva,1,73.0,83.0,6.0,6
31,1063,AL,Greene,1,20.0,20.0,0.0,0
32,1065,AL,Hale,1,28.0,39.0,0.0,0
33,1067,,,0,,,,0
34,1069,AL,Houston,2,769.0,782.0,66.0,66
35,1071,AL,Jackson,1,92.0,170.0,10.0,10
36,1073,AL,Jefferson,8,3945.0,4750.0,281.0,471
37,1075,,,0,,,,0
38,1077,AL,Lauderdale,1,233.0,358.0,36.0,48
39,1079,AL,Lawrence,1,43.0,98.0,6.0,6
40,1081,AL,Lee,1,372.0,314.0,20.0,28
41,1083,AL,Limestone,1,97.0,102.0,10.0,10
42,1085,,,0,,,,0
43,1087,AL,Macon,0,143.0,143.0,0.0,0
44,1089,AL,Madison,2,1280.0,1241.0,58.0,100
45,1091,AL,Marengo,1,37.0,99.0,5.0,5
46,1093,AL,Marion,1,97.0,120.0,8.0,4
47,1095,AL,Marshall,1,240.0,240.0,20.0,20
48,1097,AL,Mobile,4,1490.0,1929.0,76.0,157
49,1099,AL,Monroe,1,49.0,94.0,8.0,8
50,1101,AL,Montgomery,3,1018.0,1226.0,58.0,88
51,1103,AL,Morgan,1,320.0,393.0,23.0,34
52,1105,,,0,,,,0
53,1107,,,1,,,,4
54,1109,AL,Pike,1,97.0,97.0,9.0,9
55,1111,AL,Randolph,1,15.0,0.0,0.0,0
56,1113,AL,Russell,1,105.0,128.0,8.0,8
57,1115,AL,Saint Clair,1,40.0,40.0,6.0,6
58,1117,AL,Shelby,1,246.0,286.0,32.0,32
