,FIPS,"Less than a high school diploma, 2014-18","High school diploma only, 2014-18","Some college or associate's degree, 2014-18","Bachelor's degree or higher, 2014-18","Percent of adults with less than a high school diploma, 2014-18","Percent of adults with a high school diploma only, 2014-18","Percent of adults completing some college or associate's degree, 2014-18","Percent of adults with a bachelor's degree or higher, 2014-18",STATE,AREA_NAME,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,federal guidelines,foreign travel ban,County FIPS,County Name,Area in square miles - Total area,Area in square miles - Land area,2010 Density per square mile of land area - Population,2010 Density per square mile of land area - Housing units,Unnamed: 0_x,state,county,hospitals,staffed_beds,licensed_beds,icu_beds_Pre,icu_beds_Post,total_pop,60plus,State,Area_name_x,Rural_urban_continuum_code_2013,Urban_influence_code_2013,Metro_2013,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Stabr,Area_name_y,Rural-urban_Continuum_Code_2003,Urban_Influence_Code_2003,Rural-urban_Continuum_Code_2013,Urban_Influence_Code_2013,POVALL_2018,CI90LBAll_2018,CI90UBALL_2018,PCTPOVALL_2018,CI90LBALLP_2018,CI90UBALLP_2018,POV017_2018,CI90LB017_2018,CI90UB017_2018,PCTPOV017_2018,CI90LB017P_2018,CI90UB017P_2018,POV517_2018,CI90LB517_2018,CI90UB517_2018,PCTPOV517_2018,CI90LB517P_2018,CI90UB517P_2018,MEDHHINC_2018,CI90LBINC_2018,CI90UBINC_2018,Name,Score,TCI+,Jobs+,Trips/Week+,Routes,Transit Shed,Transit,Population,Total_2000,Total_2004,Total_2008,Total_2012,Total_2016,Dem_2000,Dem_2004,Dem_2008,Dem_2012,Dem_2016,Unnamed: 0_y,Geographic Area Name,Total population,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),Under 18 years,16 years and over,18 years and over,21 years and over,62 years and over,65 years and over,18 years and over.1,18 years and over!!Male,18 years and over!!Female,65 years and over.1,65 years and over!!Male,65 years and over!!Female,Total population.1,One race,Two or more races,One race.1,Race_1 White,Race_1 Black or African American,Margin of Error!!Race_1 Black or African American,Race_1 American Indian and Alaska Native,Race_1 American Indian and Alaska Native!!Cherokee tribal grouping,Race_1 American Indian and Alaska Native!!Chippewa tribal grouping,Race_1 American Indian and Alaska Native!!Navajo tribal grouping,Race_1 American Indian and Alaska Native!!Sioux tribal grouping,Race_1 Asian,Race_1 Asian!!Asian Indian,Race_1 Asian!!Chinese,Race_1 Asian!!Filipino,Race_1 Asian!!Japanese,Race_1 Asian!!Korean,Race_1 Asian!!Vietnamese,Race_1 Asian!!Other Asian,Race_1 Native Hawaiian and Other Pacific Islander,Race_1 Native Hawaiian and Other Pacific Islander!!Native Hawaiian,Race_1 Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro,Race_1 Native Hawaiian and Other Pacific Islander!!Samoan,Race_1 Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,Race_1 Some other race,Two or more races.1,Race_2+ White and Black or African American,Race_2+ White and American Indian and Alaska Native,Race_2+ White and Asian,Race_2+ Black or African American and American Indian and Alaska Native,Race_Total Total population,Race_Total White,Race_Total Black or African American,Race_Total American Indian and Alaska Native,Race_Total Asian,Race_Total Native Hawaiian and Other Pacific Islander,Race_Total Some other race,Hispanic: Total population,Hispanic: Hispanic or Latino (of any race),Hispanic: Hispanic or Latino (of any race)!!Mexican,Hispanic: Hispanic or Latino (of any race)!!Puerto Rican,Hispanic: Hispanic or Latino (of any race)!!Cuban,Hispanic: Hispanic or Latino (of any race)!!Other Hispanic or Latino,Hispanic: Not Hispanic or Latino,Hispanic: Not Hispanic or Latino!!White alone,Hispanic: Not Hispanic or Latino!!Black or African American alone,Hispanic: Not Hispanic or Latino!!American Indian and Alaska Native alone,Hispanic: Not Hispanic or Latino!!Asian alone,Hispanic: Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Hispanic: Not Hispanic or Latino!!Some other race alone,Hispanic: Not Hispanic or Latino!!Two or more races,Hispanic: Not Hispanic or Latino!!Race_2+ Two races including Some other race,"Hispanic: Not Hispanic or Latino!!Race_2+ Two races excluding Some other race, and Three or more races",Total housing units
0,1003,"14,310","40,579","46,025","46,075",9.7,27.6,31.3,31.3,AL,baldwin county,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,1003,Baldwin County,2027.31,1589.78,114.6,65.5,1,AL,Baldwin,3,362.0,410.0,44.0,51,203360,53519,AL,"Baldwin County, AL",3,2,1,"93,849","90,456","3,393",3.6,"$57,588 ",115.5,AL,Baldwin County,4,5,3,2,"21,069","17,390","24,748",9.8,8.1,11.5,"6,442","4,723","8,161",13.9,10.2,17.6,"4,534","3,223","5,845",13.1,9.3,16.9,"57,588","54,437","60,739","baldwin county, al",0.3,0.1,2691,14,1,1,0,203360,56480.0,69320.0,81413.0,85338.0,95215.0,0.24782223796033995,0.22502885170225045,0.2381192192893027,0.21589444327263352,0.193856010082445,637,"Baldwin County, Alabama",218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827,44.0,47156,176222,170866,163886,53676,44443,170866,81046,89820,44443,20457,23986,218022,214558,3464,214558,187759,20554,446,1276,N,N,N,N,2338,N,N,N,N,N,N,N,45,N,N,N,N,2586,3464,227,2100,739,0,218022,191157,20781,3442,3143,N,2798,218022,10132,5148,1543,321,3120,207890,180926,20328,1209,2338,45,148,2896,127,2769,116632
1,1015,"12,620","25,653","26,643","14,219",15.9,32.4,33.7,18.0,AL,calhoun county,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,1015,Calhoun County,612.29,605.87,195.7,88.0,7,AL,Calhoun,2,413.0,486.0,24.0,24,115527,27115,AL,"Calhoun County, AL",3,2,1,"45,972","43,833","2,139",4.7,"$45,400 ",91.0,AL,Calhoun County,3,2,3,2,"21,719","18,807","24,631",19.5,16.9,22.1,"6,397","5,152","7,642",26.5,21.3,31.7,"4,265","3,314","5,216",24.1,18.7,29.5,"45,400","41,668","49,132","calhoun county, al",0.6,0.3,3376,42,1,2,0,115527,38909.0,45249.0,49242.0,46257.0,47864.0,0.40558739623223417,0.3333333333333333,0.331708703951911,0.33532222150161056,0.2766588667892362,332,"Calhoun County, Alabama",114277,55054,59223,7142,7158,5968,7386,7451,16273,12608,13616,8305,7855,12240,6514,1761,40.1,24484,93284,89793,84973,24963,20515,89793,42655,47138,20515,8619,11896,114277,111498,2779,111498,85046,24737,642,107,N,N,N,N,426,N,N,N,N,N,N,N,0,N,N,N,N,1182,2779,487,304,767,26,114277,87105,25595,489,1594,N,2024,114277,4469,N,N,N,N,109808,82308,24737,107,426,0,0,2230,293,1937,53888
2,1043,"10,405","20,382","18,559","7,866",18.2,35.6,32.4,13.7,AL,cullman county,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,1043,Cullman County,755.02,734.84,109.4,50.4,21,AL,Cullman,1,185.0,185.0,12.0,12,81703,19667,AL,"Cullman County, AL",4,3,0,"37,830","36,589","1,241",3.3,"$45,796 ",91.8,AL,Cullman County,6,3,4,3,"11,925","9,926","13,924",14.5,12.1,16.9,"3,604","2,745","4,463",19.7,15.0,24.4,"2,624","1,953","3,295",19.8,14.7,24.9,"45,796","42,695","48,897","cullman county, al",0.0,0.0,0,0,0,0,0,81703,29525.0,35191.0,35305.0,34457.0,37873.0,0.3304995766299746,0.22860958767866785,0.16609545390171362,0.14661752328989755,0.10028252316954032,224,"Cullman County, Alabama",83442,40794,42648,5329,4798,5226,5270,4500,10274,10131,10843,5407,6123,9116,5570,855,40.6,18892,66680,64550,61088,18429,15541,64550,31490,33060,15541,7048,8493,83442,81383,2059,81383,78643,906,335,301,N,N,N,N,166,N,N,N,N,N,N,N,0,N,N,N,N,1367,2059,N,N,N,N,83442,80522,1246,1210,903,N,1702,83442,3699,N,N,N,N,79743,N,N,N,N,N,N,N,N,N,38029
3,1049,"12,394","15,956","13,441","6,085",25.9,33.3,28.1,12.7,AL,dekalb county,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,1049,DeKalb County,778.69,777.09,91.5,40.0,24,AL,De Kalb,1,97.0,134.0,12.0,12,71194,15782,AL,"DeKalb County, AL",6,6,0,"30,129","28,979","1,150",3.8,"$39,491 ",79.2,AL,DeKalb County,6,6,6,6,"14,975","13,282","16,668",21.3,18.9,23.7,"4,990","4,274","5,706",29.6,25.4,33.8,"3,773","3,275","4,271",29.6,25.7,33.5,"39,491","36,085","42,897","dekalb county, al",0.0,0.0,0,0,0,0,0,71194,20285.0,24135.0,24015.0,23863.0,25826.0,0.3478432339166872,0.29384711000621505,0.23560274828232355,0.21954490214977165,0.1402462634554325,736,"DeKalb County, Alabama",71385,35048,36337,3989,3851,6121,5079,4176,8645,8261,9548,4533,4921,7377,3342,1542,39.5,17145,57239,54240,51984,15204,12261,54240,26083,28157,12261,5423,6838,71385,70116,1269,70116,60157,1335,201,868,N,N,N,N,173,N,N,N,N,N,N,N,0,N,N,N,N,7583,1269,N,N,N,N,71385,61426,1348,1722,588,N,7583,71385,10595,N,N,N,N,60790,57199,1335,814,173,0,0,1269,0,1269,31656
4,1051,"7,594","18,304","16,197","13,664",13.6,32.8,29.0,24.5,AL,elmore county,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,1051,Elmore County,657.04,618.48,128.2,52.8,25,AL,Elmore,2,70.0,138.0,5.0,5,80989,15929,AL,"Elmore County, AL",2,2,1,"37,215","35,932","1,283",3.4,"$60,367 ",121.0,AL,Elmore County,2,2,2,2,"8,559","6,765","10,353",11.2,8.9,13.5,"2,924","2,112","3,736",16.3,11.8,20.8,"2,100","1,463","2,737",15.8,11.0,20.6,"60,367","56,528","64,206","elmore county, al",0.0,0.0,0,0,0,0,0,80989,23804.0,28680.0,34315.0,35485.0,37260.0,0.2794488321290539,0.2256276150627615,0.2419058720676089,0.25233197125546003,0.2265968867418143,540,"Elmore County, Alabama",81887,39988,41899,5246,4443,5024,5534,4847,12140,10087,11642,5364,5261,7550,3764,985,38.4,18562,65407,63325,61214,15329,12299,63325,30034,33291,12299,5538,6761,81887,79941,1946,79941,60622,17113,1682,345,N,N,N,N,522,N,N,N,N,N,N,N,0,N,N,N,N,1339,1946,N,N,N,N,81887,62491,18388,838,707,N,1395,81887,2467,N,N,N,N,79420,59771,16836,345,522,0,0,1946,56,1890,34416
5,1055,"11,147","23,665","24,416","12,767",15.5,32.9,33.9,17.7,AL,etowah county,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,1055,Etowah County,548.63,534.99,195.2,88.7,27,AL,Etowah,2,590.0,739.0,40.0,56,103132,25122,AL,"Etowah County, AL",3,2,1,"43,096","41,328","1,768",4.1,"$44,903 ",90.0,AL,Etowah County,3,2,3,2,"17,509","15,140","19,878",17.5,15.1,19.9,"6,191","5,179","7,203",28.8,24.1,33.5,"3,930","3,063","4,797",25.1,19.6,30.6,"44,903","41,940","47,866","etowah county, al",0.7,0.3,2332,46,1,1,0,103132,39348.0,42680.0,44737.0,42530.0,44164.0,0.4430466605672461,0.3591377694470478,0.3016965822473568,0.3010345638372913,0.2364369169459288,333,"Etowah County, Alabama",102501,48830,53671,6130,6712,5659,5515,7116,12260,12232,13422,5946,7877,11519,5919,2194,41.3,22032,82575,80469,77369,24397,19632,80469,38016,42453,19632,8411,11221,102501,100768,1733,100768,81129,17474,1256,209,N,N,N,N,862,N,N,N,N,N,N,N,0,N,N,N,N,1094,1733,N,N,N,N,102501,82862,18369,755,944,N,1476,102501,4116,N,N,N,N,98385,79629,16401,60,862,0,0,1433,0,1433,47847
6,1069,"10,261","22,680","23,681","15,076",14.3,31.6,33.0,21.0,AL,houston county,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,1069,Houston County,581.65,579.82,175.1,78.2,34,AL,Houston,2,769.0,782.0,66.0,66,104108,23474,AL,"Houston County, AL",3,2,1,"45,150","43,325","1,825",4.0,"$47,993 ",96.2,AL,Houston County,3,2,3,2,"17,032","14,978","19,086",16.5,14.5,18.5,"5,158","4,126","6,190",21.9,17.5,26.3,"3,759","2,933","4,585",21.7,16.9,26.5,"47,993","45,283","50,703","houston county, al",0.0,0.0,0,0,0,0,0,104108,32057.0,36201.0,41735.0,41918.0,42639.0,0.29360202139938235,0.2525897074666445,0.292919611836588,0.2950283887590057,0.25009967400736416,439,"Houston County, Alabama",104722,50400,54322,6412,6290,7050,6558,6223,13763,12633,13289,6694,7020,11027,5909,1854,40.2,24121,83421,80601,76990,22958,18790,80601,37820,42781,18790,8075,10715,104722,102780,1942,102780,72687,29214,471,66,N,N,N,N,700,N,N,N,N,N,N,N,0,N,N,N,N,113,1942,833,276,265,21,104722,74364,30168,701,1406,N,264,104722,3600,2181,472,200,747,101122,69413,29136,53,700,0,37,1783,110,1673,47805
7,1073,"46,025","120,037","137,208","145,462",10.3,26.8,30.6,32.4,AL,jefferson county,737510.0,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,1073,Jefferson County,1123.81,1111.28,592.5,270.5,36,AL,Jefferson,8,3945.0,4750.0,281.0,471,659460,138161,AL,"Jefferson County, AL",1,1,1,"314,014","302,359","11,655",3.7,"$55,013 ",110.3,AL,Jefferson County,1,1,1,1,"103,604","95,029","112,179",16.1,14.8,17.4,"33,329","29,089","37,569",22.6,19.7,25.5,"22,431","19,003","25,859",21.1,17.9,24.3,"55,013","53,290","56,736","jefferson county, al",0.1,0.2,1121,1,0,0,0,659460,273763.0,292967.0,318524.0,303918.0,304191.0,0.4744578339658756,0.4515389105257589,0.5215336991875024,0.5260497897459183,0.5157055928676391,737,"Jefferson County, Alabama",659300,312159,347141,41749,42651,40669,40760,41548,95714,84162,80533,41326,45488,61976,31130,11594,38.2,149547,527740,509753,483902,131563,104700,509753,235778,273975,104700,43526,61174,659300,646626,12674,646626,341227,282596,2292,1786,N,N,N,N,9564,3613,1844,697,351,1246,272,1541,724,N,N,N,N,10729,12674,4822,1686,2369,952,659300,351092,288682,4517,13687,1100,12896,659300,26246,18305,1845,665,5431,633054,326993,281806,1456,9564,724,972,11539,1259,10280,309579
8,1077,"7,979","22,812","17,453","15,185",12.6,36.0,27.5,23.9,AL,lauderdale county,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,1077,Lauderdale County,720.99,667.7,138.8,65.6,38,AL,Lauderdale,1,233.0,358.0,36.0,48,92590,23452,AL,"Lauderdale County, AL",3,2,1,"42,141","40,375","1,766",4.2,"$48,707 ",97.6,AL,Lauderdale County,3,2,3,2,"12,645","10,581","14,709",14.0,11.7,16.3,"3,196","2,413","3,979",17.9,13.5,22.3,"2,113","1,523","2,703",16.0,11.5,20.5,"48,707","44,800","52,614","lauderdale county, al",0.0,0.0,0,0,0,0,0,92590,32137.0,37107.0,38104.0,36924.0,39525.0,0.4317453402620033,0.3942113347885844,0.34980579466722656,0.33883111255551945,0.2517900063251107,638,"Lauderdale County, Alabama",92387,45646,46741,4920,4433,5483,6003,7145,11317,10100,11718,7136,5713,10360,5897,2162,41.1,17876,76012,74511,69546,22017,18419,74511,35246,39265,18419,8073,10346,92387,91238,1149,91238,80452,9614,234,89,N,N,N,N,667,N,N,N,N,N,N,N,133,N,N,N,N,283,1149,160,714,151,0,92387,81601,9825,803,869,N,356,92387,2644,N,N,N,N,89743,78080,9614,89,667,133,84,1076,0,1076,45468
9,1081,"9,049","22,855","30,707","32,377",9.5,24.1,32.3,34.1,AL,lee county,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,1081,Lee County,615.85,607.54,230.8,102.7,40,AL,Lee,1,372.0,314.0,20.0,28,156597,24513,AL,"Lee County, AL",3,2,1,"74,654","71,951","2,703",3.6,"$48,937 ",98.1,AL,Lee County,3,2,3,2,"30,075","26,732","33,418",19.0,16.9,21.1,"6,608","5,327","7,889",19.3,15.6,23.0,"4,770","3,799","5,741",19.2,15.3,23.1,"48,937","44,909","52,965","lee county, al",0.0,0.0,0,0,0,0,0,156597,38264.0,44610.0,54325.0,54359.0,59191.0,0.3808802007108509,0.3637525218560861,0.3957294063506673,0.3933295314483342,0.3586693923062628,334,"Lee County, Alabama",163941,80832,83109,8755,7948,13072,14123,22390,21562,18918,19737,8274,9275,13335,4776,1776,32.1,34795,132509,129146,113550,25145,19887,129146,62885,66261,19887,9011,10876,163941,161317,2624,161317,115009,38323,1324,453,N,N,N,N,6950,N,N,N,N,N,N,N,0,N,N,N,N,582,2624,879,470,567,224,163941,117409,39531,1147,7622,N,868,163941,6164,2282,2000,212,1670,157777,110621,37482,453,6950,0,0,2271,0,2271,70372
