,FIPS,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,federal guidelines,foreign travel ban,Score,TCI+,Jobs+,Trips/Week+,Routes,Transit Shed,Transit
0,1001,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
1,1003,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.3,0.1,2691,14,1,1,0
2,1005,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
3,1007,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.1,0.0,279,2,0,0,0
4,1009,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5,1011,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
6,1013,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
7,1015,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.6,0.3,3376,42,1,2,0
8,1017,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
9,1019,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
10,1021,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
11,1023,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
12,1025,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.1,0.0,4,4,0,0,0
13,1027,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
14,1029,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
15,1031,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
16,1033,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
17,1035,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
18,1037,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
19,1039,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
20,1041,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
21,1043,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
22,1045,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
23,1047,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.1,0.0,0,1,0,0,0
24,1049,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
25,1051,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
26,1053,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
