,state,population,bedsper1000,Approx_Beds
0,AL,4903185,3.0,15200.0
1,AK,731545,2.0,1609.0
2,AZ,7278717,2.0,13830.0
3,AR,3017825,3.0,9657.0
4,CA,39512223,2.0,71122.0
5,CO,5758736,2.0,10942.0
6,CT,3565287,2.0,7131.0
7,DE,973764,2.0,2142.0
8,DC,705749,4.0,3105.0
9,FL,21477737,3.0,55842.0
10,GA,10617423,2.0,25482.0
11,HI,1415872,2.0,2690.0
12,ID,1787147,2.0,3396.0
13,IL,12671821,2.0,31680.0
14,IN,6732219,3.0,18177.0
15,IA,3155070,3.0,9465.0
16,KS,2913314,3.0,9614.0
17,KY,4467673,3.0,14297.0
18,LA,4648794,3.0,15341.0
19,ME,1344212,2.0,3361.0
20,MD,6045680,2.0,11487.0
21,MA,6949503,2.0,15984.0
22,MI,9986857,2.0,24967.0
23,MN,5639632,2.0,14099.0
24,MS,2976149,4.0,11905.0
25,MO,6137428,3.0,19026.0
26,MT,1068778,3.0,3527.0
27,NE,1934408,4.0,6964.0
28,NV,3080156,2.0,6468.0
29,NH,1359711,2.0,2855.0
30,NJ,8882190,2.0,21317.0
31,NM,2096829,2.0,3774.0
32,NY,19453561,3.0,52525.0
33,NC,10488084,2.0,22025.0
34,ND,762062,4.0,3277.0
35,OH,11689100,3.0,32729.0
36,OK,3956971,3.0,11080.0
37,OR,4217737,2.0,6748.0
38,PA,12801989,3.0,37126.0
39,RI,1059361,2.0,2225.0
40,SC,5148714,2.0,12357.0
41,SD,884659,5.0,4246.0
42,TN,6833174,3.0,19816.0
43,TX,28995881,2.0,66691.0
44,UT,3205958,2.0,5771.0
45,VT,623989,2.0,1310.0
46,VA,8535519,2.0,17925.0
47,WA,7614893,2.0,12945.0
48,WV,1792065,4.0,6810.0
49,WI,5822434,2.0,12227.0
50,WY,578759,4.0,2026.0
51,PR,3193694,3.0,8623.0
52,VI,106405,2.0,181.0
